source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/indy,2019,United Shore Baseball League,adams,B00403,Adams,Pat,0,East Side,,,49,,
minoraverages/indy,2019,United Shore Baseball League,bain,B01135,Bain,Max,0,Utica,,,14,,
minoraverages/indy,2019,United Shore Baseball League,bain,P10486,Bain,Max,0,Utica,,,,14,
minoraverages/indy,2019,United Shore Baseball League,baker,B00356,Baker,Patrick Jr.,0,Birmingham-Bloomfield,,,7,,
minoraverages/indy,2019,United Shore Baseball League,baker,P10159,Baker,Patrick Jr,0,Birmingham-Bloomfield,,,,7,
minoraverages/indy,2019,United Shore Baseball League,barbee,B01313,Barbee,Jake,0,Westside,,,41,,
minoraverages/indy,2019,United Shore Baseball League,bardzell,B00879,Bardzell,Ashton,0,Utica,,,20,,
minoraverages/indy,2019,United Shore Baseball League,batten,B01489,Batten,Brady,0,Westside,,,10,,
minoraverages/indy,2019,United Shore Baseball League,batten,P10640,Batten,Brady,0,Westside,,,,10,
minoraverages/indy,2019,United Shore Baseball League,beals,B00502,Beals,Joey,0,East Side,,,19,,
minoraverages/indy,2019,United Shore Baseball League,beals,P10253,Beals,Joey,0,East Side,,,,19,
minoraverages/indy,2019,United Shore Baseball League,benz,B01010,Benz,B,0,Utica,,,8,,
minoraverages/indy,2019,United Shore Baseball League,berman,B00343,Berman,Gabe,0,Birmingham-Bloomfield,,,12,,
minoraverages/indy,2019,United Shore Baseball League,berman,P10100,Berman,Gabe,0,Birmingham-Bloomfield,,,,12,
minoraverages/indy,2019,United Shore Baseball League,blaise,B00957,Blaise,Malik,0,Utica,,,18,,
minoraverages/indy,2019,United Shore Baseball League,bobo,B01041,Bobo,T,0,Utica,,,5,,
minoraverages/indy,2019,United Shore Baseball League,bonicki,B00904,Bonicki,Kyle,0,Utica,,,49,,
minoraverages/indy,2019,United Shore Baseball League,broussard,B00566,Broussard,Brandt,0,East Side,,,14,,
minoraverages/indy,2019,United Shore Baseball League,broussard,B01415,Broussard,B,0,Westside,,,9,,
minoraverages/indy,2019,United Shore Baseball League,burns,B00255,Burns,B,0,Birmingham-Bloomfield,,,1,,
minoraverages/indy,2019,United Shore Baseball League,burns,P10035,Burns,B,0,Birmingham-Bloomfield,,,,1,
minoraverages/indy,2019,United Shore Baseball League,campana,B00068,Campana,Nick,0,Birmingham-Bloomfield,,,48,,
minoraverages/indy,2019,United Shore Baseball League,carber,B01124,Carber,Andrew,0,Utica,,,4,,
minoraverages/indy,2019,United Shore Baseball League,carber,B01649,Carber,A,0,Westside,,,4,,
minoraverages/indy,2019,United Shore Baseball League,carber,P10591,Carber,Andrew,0,Utica,,,,4,
minoraverages/indy,2019,United Shore Baseball League,carber,P10805,Carber,A,0,Westside,,,,4,
minoraverages/indy,2019,United Shore Baseball League,chandler,B00667,Chandler,J,0,East Side,,,1,,
minoraverages/indy,2019,United Shore Baseball League,christman,B00210,Christman,Garrett,0,Birmingham-Bloomfield,,,18,,
minoraverages/indy,2019,United Shore Baseball League,christman,P10024,Christman,Garrett,0,Birmingham-Bloomfield,,,,18,
minoraverages/indy,2019,United Shore Baseball League,clenney,B01078,Clenney,Nolan,0,Utica,,,21,,
minoraverages/indy,2019,United Shore Baseball League,clenney,P10464,Clenney,Nolan,0,Utica,,,,21,
minoraverages/indy,2019,United Shore Baseball League,collett,B00397,Collett,Dylan,0,Birmingham-Bloomfield,,,36,,
minoraverages/indy,2019,United Shore Baseball League,collett,P10043,Collett,Dylan,0,Birmingham-Bloomfield,,,,36,
minoraverages/indy,2019,United Shore Baseball League,collins,B00783,Collins,Z,0,East Side,,,5,,
minoraverages/indy,2019,United Shore Baseball League,collins,P10290,Collins,Zane,0,East Side,,,,5,
minoraverages/indy,2019,United Shore Baseball League,contreras,B00760,Contreras,L,0,East Side,,,5,,
minoraverages/indy,2019,United Shore Baseball League,contreras,P10304,Contreras,L,0,East Side,,,,5,
minoraverages/indy,2019,United Shore Baseball League,cortez,B01288,Cortez,Sonny,0,Westside,,,50,,
