league.key,league.year,league.name.full,league.name.short
1895-ATLL,1895,Atlantic League,Atlantic
1895-CAWL,1895,California Winter League,California Winter
1895-CANA,1895,Canadian Association,Canadian Association
1895-COL,1895,Collegiate Teams,Collegiate
1895-COSL,1895,Colorado State League,Colorado State
1895-CTST,1895,Connecticut State League,Connecticut State
1895-CUBL,1895,Cuban League,Cuban
1895-CUWL,1895,Cuban Winter League,Cuban Winter
1895-CMVL,1895,Cumberland Valley League,Cumberland Valley
1895-EINT,1895,Eastern International League,Eastern International
1895-EISL,1895,Eastern Interstate League,Eastern Interstate
1895-EIAL,1895,Eastern Iowa League,Eastern Iowa
1895-EL,1895,Eastern League,Eastern
1895-ISLG,1895,Interstate League,Interstate
1895-IASL,1895,Iowa State League,Iowa State
1895-IAOL,1895,Iron And Oil League,Iron And Oil
1895-KSSL,1895,Kansas State League,Kansas State
1895-MICH,1895,Michigan State League,Michigan State
1895-MOVL,1895,Missouri Valley League,Missouri Valley
1895-NL,1895,National League,National
1895-NENA,1895,New England Association,New England Association
1895-NENL,1895,New England League,New England
1895-NHSL,1895,New Hampshire State League,New Hampshire State
1895-NYSL,1895,New York State League,New York State
1895-NEAN,1895,Northeastern League,Northeastern
1895-NMIL,1895,Northern Michigan League,Northern Michigan
1895-NWES,1895,Northwestern League,Northwestern
1895-OHSL,1895,Ohio State League,Ohio State
1895-PASL,1895,Pennsylvania State League,Pennsylvania State
1895-SCHV,1895,Schuykill Valley League,Schuykill Valley
1895-SALL,1895,South Atlantic League,South Atlantic
1895-SNJL,1895,South New Jersey League,South New Jersey
1895-SOUA,1895,Southern Association,Southern Association
1895-SILL,1895,Southern Illinois League,Southern Illinois
1895-SWIS,1895,Southwest Interstate League,Southwest Interstate
1895-SWLG,1895,Southwestern League,Southwestern
1895-TXSO,1895,Texas-Southern League,Texas-Southern
1895-UPPL,1895,Upper Peninsula League,Upper Peninsula
1895-VIRL,1895,Virginia State League,Virginia State
1895-WA,1895,Western Association,Western Association
1895-WISL,1895,Western Interstate League,Western Interstate
1895-WL,1895,Western League,Western
