source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1908/1908-MCA,1908,Southern Association,0415atl,19080415,0,Nashville,,Atlanta,,DWLKGWP
boxscores/1908/1908-MCA,1908,Southern Association,0415mon,19080415,0,Birmingham,,Montgomery,,BWSKGDF
boxscores/1908/1908-MCA,1908,Southern Association,0415new,19080415,0,Mobile,2,New Orleans,3,JVRXDNW
boxscores/1908/1908-MCA,1908,Southern Association,0416atl,19080416,0,Nashville,1,Atlanta,3,XHLBVPH
boxscores/1908/1908-MCA,1908,Southern Association,0416mem,19080416,0,Little Rock,,Memphis,,ZGPLWWX
boxscores/1908/1908-MCA,1908,Southern Association,0416mon,19080416,0,Birmingham,1,Montgomery,6,KRXVQTC
boxscores/1908/1908-MCA,1908,Southern Association,0416new,19080416,0,Mobile,5,New Orleans,1,VCLYZQB
boxscores/1908/1908-MCA,1908,Southern Association,0417atl,19080417,0,Nashville,3,Atlanta,0,PBZMFQJ
boxscores/1908/1908-MCA,1908,Southern Association,0417mem,19080417,0,Little Rock,1,Memphis,3,NHGZTLM
boxscores/1908/1908-MCA,1908,Southern Association,0417mon,19080417,0,Birmingham,1,Montgomery,2,NZBSWPD
boxscores/1908/1908-MCA,1908,Southern Association,0418atl,19080418,0,Nashville,,Atlanta,,JGJNTQY
boxscores/1908/1908-MCA,1908,Southern Association,0418mem,19080418,0,Little Rock,0,Memphis,1,HSSBXGL
boxscores/1908/1908-MCA,1908,Southern Association,0418mon,19080418,0,Birmingham,2,Montgomery,4,DZVSLBJ
boxscores/1908/1908-MCA,1908,Southern Association,0418new,19080418,0,Mobile,2,New Orleans,1,DPJWJQD
boxscores/1908/1908-MCA,1908,Southern Association,0419mem,19080419,0,Little Rock,2,Memphis,1,XPNQVMF
boxscores/1908/1908-MCA,1908,Southern Association,0419new,19080419,0,Mobile,6,New Orleans,5,BTCCMSW
boxscores/1908/1908-MCA,1908,Southern Association,0420bir,19080420,0,Atlanta,1,Birmingham,1,CWFKPKB
boxscores/1908/1908-MCA,1908,Southern Association,0420lit,19080420,0,Mobile,4,Little Rock,3,QGVFTFL
boxscores/1908/1908-MCA,1908,Southern Association,0420mem,19080420,0,New Orleans,1,Memphis,0,ZFKFCTW
boxscores/1908/1908-MCA,1908,Southern Association,0420nas,19080420,0,Montgomery,3,Nashville,3,XXWPFZC
boxscores/1908/1908-MCA,1908,Southern Association,0421bir,19080421,0,Atlanta,2,Birmingham,4,CYVYNPH
boxscores/1908/1908-MCA,1908,Southern Association,0421lit,19080421,0,Mobile,8,Little Rock,7,NVWDBVW
boxscores/1908/1908-MCA,1908,Southern Association,0421mem,19080421,0,New Orleans,1,Memphis,5,YWFTBSD
boxscores/1908/1908-MCA,1908,Southern Association,0421nas,19080421,0,Montgomery,5,Nashville,1,NNVGKBZ
boxscores/1908/1908-MCA,1908,Southern Association,0422bir,19080422,0,Atlanta,5,Birmingham,4,MMMHPPM
boxscores/1908/1908-MCA,1908,Southern Association,0422lit,19080422,0,Mobile,6,Little Rock,2,FBVWXJL
boxscores/1908/1908-MCA,1908,Southern Association,0422mem,19080422,0,New Orleans,2,Memphis,3,YBSDKLV
boxscores/1908/1908-MCA,1908,Southern Association,0422nas,19080422,0,Montgomery,6,Nashville,5,DJFKKWW
