source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1911/1911-CN,1911,Carolina Association,0427cha,19110427,0,Winston-Salem,6,Charlotte,1,CCJSFQD
boxscores/1911/1911-CN,1911,Carolina Association,0427gre,19110427,0,Spartanburg,3,Greensboro,13,LDRFVDJ
boxscores/1911/1911-CN,1911,Carolina Association,0427gre,19110427,0,Anderson,5,Greenville,2,RBRGTPX
boxscores/1911/1911-CN,1911,Carolina Association,0428cha,19110428,0,Winston-Salem,7,Charlotte,8,PRFTYJY
boxscores/1911/1911-CN,1911,Carolina Association,0428gre,19110428,0,Spartanburg,5,Greensboro,3,MKNHZVJ
boxscores/1911/1911-CN,1911,Carolina Association,0428gre,19110428,0,Anderson,1,Greenville,6,CTBYGHX
boxscores/1911/1911-CO,1911,Carolina Association,0429cha,19110429,0,Winston-Salem,4,Charlotte,5,PBWBBXW
boxscores/1911/1911-CO,1911,Carolina Association,0429gre,19110429,0,Spartanburg,1,Greensboro,7,RDCQCZM
boxscores/1911/1911-CO,1911,Carolina Association,0429gre,19110429,0,Anderson,3,Greenville,6,VPSBFJV
boxscores/1911/1911-CEC,1911,Carolina Association,0501and,19110501,0,Charlotte,10,Anderson,8,DWXMCXB
boxscores/1911/1911-CEC,1911,Carolina Association,0501spa,19110501,0,Greenville,8,Spartanburg,13,XFSSWSR
boxscores/1911/1911-CEC,1911,Carolina Association,0501win,19110501,0,Greensboro,1,Winston-Salem,8,RPPQKRX
boxscores/1911/1911-CN,1911,Carolina Association,0502and,19110502,0,Charlotte,2,Anderson,6,QWDBDDJ
boxscores/1911/1911-GVN,1911,Carolina Association,0502spa,19110502,0,Greenville,6,Spartanburg,4,PLVSBJB
boxscores/1911/1911-CN,1911,Carolina Association,0502win,19110502,0,Greensboro,5,Winston-Salem,7,NHYTZXD
boxscores/1911/1911-CN,1911,Carolina Association,0503and,19110503,0,Charlotte,3,Anderson,11,ZKNSYKL
boxscores/1911/1911-CN,1911,Carolina Association,0503spa,19110503,0,Greenville,2,Spartanburg,14,MWXYMLJ
boxscores/1911/1911-CN,1911,Carolina Association,0503win,19110503,0,Greensboro,9,Winston-Salem,4,CCDRCMR
boxscores/1911/1911-CN,1911,Carolina Association,0504and,19110504,0,Winston-Salem,8,Anderson,6,NNNXRRH
boxscores/1911/1911-CN,1911,Carolina Association,0504cha,19110504,0,Spartanburg,10,Charlotte,14,FWKYSXZ
boxscores/1911/1911-CN,1911,Carolina Association,0504gre,19110504,0,Greensboro,2,Greenville,10,CTHPGQQ
boxscores/1911/1911-CN,1911,Carolina Association,0505and,19110505,0,Winston-Salem,2,Anderson,5,MYKYWRQ
boxscores/1911/1911-CN,1911,Carolina Association,0505cha,19110505,0,Spartanburg,2,Charlotte,3,FZTZWVP
boxscores/1911/1911-CN,1911,Carolina Association,0505gre,19110505,0,Greensboro,7,Greenville,9,WHCBMGS
boxscores/1911/1911-WSJ,1911,Carolina Association,0506and,19110506,0,Winston-Salem,6,Anderson,3,MRGJPQV
boxscores/1911/1911-GDN,1911,Carolina Association,0506cha,19110506,0,Spartanburg,5,Charlotte,21,XCXGRRF
boxscores/1911/1911-GDN,1911,Carolina Association,0506gre,19110506,0,Greensboro,11,Greenville,3,JGTTNQG
boxscores/1911/1911-CN,1911,Carolina Association,0508cha,19110508,0,Greenville,11,Charlotte,0,LNFVWKZ
boxscores/1911/1911-CN,1911,Carolina Association,0508gre,19110508,0,Anderson,,Greensboro,,SCLDVZT
boxscores/1911/1911-CN,1911,Carolina Association,0508spa,19110508,0,Winston-Salem,9,Spartanburg,5,LZCTBSL
boxscores/1911/1911-CO,1911,Carolina Association,0509cha,19110509,0,Greenville,5,Charlotte,6,RWQBVWD
boxscores/1911/1911-GDN,1911,Carolina Association,0509gre1,19110509,1,Anderson,2,Greensboro,7,FBZWHYW
boxscores/1911/1911-GDN,1911,Carolina Association,0509gre2,19110509,2,Anderson,6,Greensboro,7,KLTWDNC
boxscores/1911/1911-CO,1911,Carolina Association,0509spa,19110509,0,Winston-Salem,6,Spartanburg,4,CCKBLTT
boxscores/1911/1911-CN,1911,Carolina Association,0510cha,19110510,0,Greenville,2,Charlotte,6,GJJWVTW
boxscores/1911/1911-CN,1911,Carolina Association,0510gre,19110510,0,Anderson,1,Greensboro,6,YXWWJKM
boxscores/1911/1911-CN,1911,Carolina Association,0510spa,19110510,0,Winston-Salem,2,Spartanburg,9,HLVTVFP
boxscores/1911/1911-CN,1911,Carolina Association,0511and,19110511,0,Winston-Salem,,Anderson,,QDJCMHP
boxscores/1911/1911-CN,1911,Carolina Association,0511gre,19110511,0,Greenville,3,Greensboro,6,VNLXVXX
boxscores/1911/1911-CN,1911,Carolina Association,0511spa,19110511,0,Charlotte,5,Spartanburg,22,YMWQWHC
boxscores/1911/1911-CN,1911,Carolina Association,0512and1,19110512,1,Winston-Salem,6,Anderson,4,BSCTNKG
boxscores/1911/1911-CN,1911,Carolina Association,0512and2,19110512,2,Winston-Salem,5,Anderson,0,YFGBWMS
boxscores/1911/1911-CN,1911,Carolina Association,0512gre,19110512,0,Greenville,0,Greensboro,8,FHSGSYZ
boxscores/1911/1911-CN,1911,Carolina Association,0512spa,19110512,0,Charlotte,4,Spartanburg,10,ZXXNLPJ
boxscores/1911/1911-CN,1911,Carolina Association,0513and,19110513,0,Winston-Salem,,Anderson,,JPCFZGM
boxscores/1911/1911-CN,1911,Carolina Association,0513gre,19110513,0,Greenville,3,Greensboro,2,VKGJZVK
boxscores/1911/1911-CN,1911,Carolina Association,0513spa,19110513,0,Charlotte,,Spartanburg,,BWFSCTT
boxscores/1911/1911-CN,1911,Carolina Association,0515and,19110515,0,Spartanburg,6,Anderson,2,SKJQQBN
boxscores/1911/1911-CN,1911,Carolina Association,0515cha,19110515,0,Greensboro,16,Charlotte,7,NKYYTXT
boxscores/1911/1911-CN,1911,Carolina Association,0515win,19110515,0,Greenville,4,Winston-Salem,0,KVHZBKT
boxscores/1911/1911-CN,1911,Carolina Association,0516and,19110516,0,Spartanburg,3,Anderson,4,SLLKZFJ
boxscores/1911/1911-CN,1911,Carolina Association,0516cha,19110516,0,Greensboro,3,Charlotte,0,QPGLWHY
boxscores/1911/1911-CN,1911,Carolina Association,0516win,19110516,0,Greenville,7,Winston-Salem,9,JWHLSGZ
boxscores/1911/1911-CN,1911,Carolina Association,0516win,19110516,0,Greenville,7,Winston-Salem,9,VVWLBBL
boxscores/1911/1911-CN,1911,Carolina Association,0517and,19110517,0,Spartanburg,13,Anderson,8,CHMGJXL
boxscores/1911/1911-CN,1911,Carolina Association,0517cha,19110517,0,Greensboro,9,Charlotte,10,JKJCWYS
boxscores/1911/1911-CN,1911,Carolina Association,0517win,19110517,0,Greenville,4,Winston-Salem,2,JHQZNXN
boxscores/1911/1911-CN,1911,Carolina Association,0518cha,19110518,0,Anderson,2,Charlotte,3,RSVQJXR
boxscores/1911/1911-CN,1911,Carolina Association,0518gre,19110518,0,Winston-Salem,4,Greensboro,3,KGDSQRH
boxscores/1911/1911-CN,1911,Carolina Association,0518gre,19110518,0,Spartanburg,2,Greenville,7,BCVCTXB
boxscores/1911/1911-CN,1911,Carolina Association,0519cha,19110519,0,Anderson,1,Charlotte,14,RSVPDMC
boxscores/1911/1911-CN,1911,Carolina Association,0519gre,19110519,0,Winston-Salem,1,Greensboro,4,DFGYBPG
boxscores/1911/1911-CN,1911,Carolina Association,0519gre,19110519,0,Spartanburg,4,Greenville,5,YGCPCSJ
boxscores/1911/1911-GVN,1911,Carolina Association,0519gre,19110519,0,Spartanburg,4,Greenville,5,RDRLMSW
