source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1911/1911-SL,1911,Central League,0426eva,19110426,0,Grand Rapids I,6,Evansville,11,ZSPSPDV
boxscores/1911/1911-SL,1911,Central League,0426ter,19110426,0,South Bend I,3,Terre Haute,5,FLXYVSQ
boxscores/1911/1911-SL,1911,Central League,0426whe,19110426,0,Fort Wayne,2,Wheeling,1,NFMYCSF
boxscores/1911/1911-SL,1911,Central League,0426zan,19110426,0,Dayton,2,Zanesville,3,QYPLVYT
boxscores/1911/1911-SL,1911,Central League,0427gra,19110427,0,Evansville,,Grand Rapids I,,LZHVHHD
boxscores/1911/1911-SL,1911,Central League,0427ter,19110427,0,South Bend I,4,Terre Haute,1,NFHVHVW
boxscores/1911/1911-SL,1911,Central League,0427whe,19110427,0,Fort Wayne,7,Wheeling,1,NQYYQZX
boxscores/1911/1911-SL,1911,Central League,0427zan,19110427,0,Dayton,6,Zanesville,1,HQFZPZW
boxscores/1911/1911-SL,1911,Central League,0428eva,19110428,0,Grand Rapids I,7,Evansville,8,WPWCWNS
boxscores/1911/1911-SL,1911,Central League,0428ter,19110428,0,South Bend I,,Terre Haute,,LVJKMML
boxscores/1911/1911-SL,1911,Central League,0428whe,19110428,0,Fort Wayne,6,Wheeling,4,WKNTDCD
boxscores/1911/1911-SL,1911,Central League,0428zan,19110428,0,Dayton,2,Zanesville,7,SJSJGMF
boxscores/1911/1911-SL,1911,Central League,0429eva,19110429,0,Grand Rapids I,,Evansville,,NLQDFPS
boxscores/1911/1911-SL,1911,Central League,0429ter,19110429,0,South Bend I,1,Terre Haute,3,SSTCTFQ
boxscores/1911/1911-SL,1911,Central League,0429whe,19110429,0,Fort Wayne,4,Wheeling,0,RGBMRFB
boxscores/1911/1911-SL,1911,Central League,0429zan,19110429,0,Dayton,2,Zanesville,6,XYSGKMJ
boxscores/1911/1911-SL,1911,Central League,0430eva,19110430,0,South Bend I,5,Evansville,5,GKLPWGY
boxscores/1911/1911-SL,1911,Central League,0430ter,19110430,0,Grand Rapids I,7,Terre Haute,5,MXTQJYN
boxscores/1911/1911-SL,1911,Central League,0430whe,19110430,0,Dayton,1,Wheeling,2,TLQXDXT
boxscores/1911/1911-SL,1911,Central League,0430zan,19110430,0,Fort Wayne,1,Zanesville,5,LBZBBDW
boxscores/1911/1911-SL,1911,Central League,0501day,19110501,0,Wheeling,,Dayton,,BHJYBDC
boxscores/1911/1911-SL,1911,Central League,0501eva,19110501,0,South Bend I,3,Evansville,0,FMJBXDK
boxscores/1911/1911-SL,1911,Central League,0501ter,19110501,0,Grand Rapids I,,Terre Haute,,HNFDVWL
boxscores/1911/1911-SL,1911,Central League,0501zan,19110501,0,Fort Wayne,6,Zanesville,7,TPJZMFT
boxscores/1911/1911-SL,1911,Central League,0502eva,19110502,0,South Bend I,2,Evansville,3,TCRWHRR
boxscores/1911/1911-SL,1911,Central League,0502ter1,19110502,1,Grand Rapids I,2,Terre Haute,3,YYFYHRM
boxscores/1911/1911-SL,1911,Central League,0502ter2,19110502,2,Grand Rapids I,5,Terre Haute,3,LRJMMJS
boxscores/1911/1911-SL,1911,Central League,0502zan,19110502,0,Fort Wayne,1,Zanesville,4,FBTFSCW
boxscores/1911/1911-SL,1911,Central League,0503eva1,19110503,1,South Bend I,6,Evansville,5,ZBGFTJY
boxscores/1911/1911-SL,1911,Central League,0503eva2,19110503,2,South Bend I,2,Evansville,3,TWMRPHC
boxscores/1911/1911-SL,1911,Central League,0503ter,19110503,0,Grand Rapids I,5,Terre Haute,8,TCGVHHT
boxscores/1911/1911-SL,1911,Central League,0503whe1,19110503,1,Dayton,4,Wheeling,1,CPJDWLW
boxscores/1911/1911-SL,1911,Central League,0503whe2,19110503,2,Dayton,4,Wheeling,4,GXXFLWT
boxscores/1911/1911-SL,1911,Central League,0503zan,19110503,0,Fort Wayne,2,Zanesville,1,WMTLSQS
boxscores/1911/1911-SL,1911,Central League,0504day,19110504,0,Evansville,2,Dayton,3,JFYLFZM
boxscores/1911/1911-SL,1911,Central League,0504for,19110504,0,Terre Haute,2,Fort Wayne,3,RWSTMXR
boxscores/1911/1911-SL,1911,Central League,0504gra,19110504,0,Zanesville,2,Grand Rapids I,11,BHFTPKT
boxscores/1911/1911-SL,1911,Central League,0504sou,19110504,0,Wheeling,4,South Bend I,3,ZPRWKZQ
boxscores/1911/1911-SL,1911,Central League,0505day,19110505,0,Evansville,2,Dayton,12,MXHRCXT
boxscores/1911/1911-SL,1911,Central League,0505for,19110505,0,Terre Haute,2,Fort Wayne,6,DKRHKRL
boxscores/1911/1911-SL,1911,Central League,0505gra,19110505,0,Zanesville,1,Grand Rapids I,2,FLDQRVQ
boxscores/1911/1911-SL,1911,Central League,0505sou,19110505,0,Wheeling,2,South Bend I,4,KQFYYPJ
boxscores/1911/1911-SL,1911,Central League,0506day,19110506,0,Evansville,3,Dayton,2,BDTZPKJ
boxscores/1911/1911-SL,1911,Central League,0506for,19110506,0,Terre Haute,4,Fort Wayne,5,DFLTFLT
boxscores/1911/1911-SL,1911,Central League,0506gra,19110506,0,Zanesville,8,Grand Rapids I,1,WPJTBMC
boxscores/1911/1911-SL,1911,Central League,0506sou,19110506,0,Wheeling,0,South Bend I,3,LDPGJCQ
boxscores/1911/1911-SL,1911,Central League,0507day,19110507,0,Evansville,3,Dayton,5,GPRFGQF
boxscores/1911/1911-SL,1911,Central League,0507for,19110507,0,Terre Haute,11,Fort Wayne,10,VHFCDSL
boxscores/1911/1911-SL,1911,Central League,0507gra,19110507,0,Zanesville,9,Grand Rapids I,5,HTCQHVC
boxscores/1911/1911-SL,1911,Central League,0507sou,19110507,0,Wheeling,4,South Bend I,1,DZSMYGG
boxscores/1911/1911-SL,1911,Central League,0508day,19110508,0,Terre Haute,1,Dayton,6,PBKPDHJ
boxscores/1911/1911-SL,1911,Central League,0508for,19110508,0,Evansville,3,Fort Wayne,6,TSCRSLY
boxscores/1911/1911-SL,1911,Central League,0508gra,19110508,0,Wheeling,5,Grand Rapids I,3,FCBXMGZ
boxscores/1911/1911-SL,1911,Central League,0508sou,19110508,0,Zanesville,4,South Bend I,5,YXWJQLJ
boxscores/1911/1911-SL,1911,Central League,0509day,19110509,0,Terre Haute,2,Dayton,8,LLFDHMZ
boxscores/1911/1911-SL,1911,Central League,0509for,19110509,0,Evansville,3,Fort Wayne,2,FHRSNTN
boxscores/1911/1911-SL,1911,Central League,0509gra,19110509,0,Wheeling,5,Grand Rapids I,4,FXBRGPR
boxscores/1911/1911-SL,1911,Central League,0509sou,19110509,0,Zanesville,0,South Bend I,1,PZLDHPG
boxscores/1911/1911-SL,1911,Central League,0510day,19110510,0,Terre Haute,5,Dayton,10,KWTCFFH
boxscores/1911/1911-SL,1911,Central League,0510for,19110510,0,Evansville,3,Fort Wayne,7,JNSCHNG
boxscores/1911/1911-SL,1911,Central League,0510gra,19110510,0,Wheeling,1,Grand Rapids I,2,DTSGGCX
boxscores/1911/1911-SL,1911,Central League,0510sou,19110510,0,Zanesville,0,South Bend I,1,LKBLKGX
boxscores/1911/1911-SL,1911,Central League,0511day,19110511,0,Terre Haute,1,Dayton,3,LFBHBRK
boxscores/1911/1911-SL,1911,Central League,0511for,19110511,0,Evansville,4,Fort Wayne,3,CWDGPBJ
boxscores/1911/1911-SL,1911,Central League,0511gra,19110511,0,Wheeling,3,Grand Rapids I,2,WVJHGDW
boxscores/1911/1911-SL,1911,Central League,0511sou,19110511,0,Zanesville,6,South Bend I,0,ZJRKRRW
boxscores/1911/1911-SL,1911,Central League,0512day,19110512,0,Zanesville,7,Dayton,5,SRGWKRG
boxscores/1911/1911-SL,1911,Central League,0512for,19110512,0,Wheeling,8,Fort Wayne,11,WZLZCNR
boxscores/1911/1911-SL,1911,Central League,0512gra,19110512,0,Evansville,3,Grand Rapids I,4,PYNZGKD
boxscores/1911/1911-SL,1911,Central League,0512sou,19110512,0,Terre Haute,5,South Bend I,1,BZWHWQZ
boxscores/1911/1911-SL,1911,Central League,0513day,19110513,0,Zanesville,3,Dayton,10,NCHRPHZ
boxscores/1911/1911-SL,1911,Central League,0513for,19110513,0,Wheeling,9,Fort Wayne,11,LKLPBJD
boxscores/1911/1911-SL,1911,Central League,0513gra,19110513,0,Evansville,4,Grand Rapids I,3,HNGMZKW
boxscores/1911/1911-SL,1911,Central League,0513sou,19110513,0,Terre Haute,6,South Bend I,7,YNCLTSM
boxscores/1911/1911-SL,1911,Central League,0514day,19110514,0,Zanesville,7,Dayton,5,LQCWRZT
boxscores/1911/1911-SL,1911,Central League,0514for,19110514,0,Wheeling,6,Fort Wayne,7,SGSHYHD
boxscores/1911/1911-SL,1911,Central League,0514gra,19110514,0,Evansville,1,Grand Rapids I,3,CTPTPJC
boxscores/1911/1911-SL,1911,Central League,0514sou,19110514,0,Terre Haute,10,South Bend I,5,NGGXXPZ
boxscores/1911/1911-SL,1911,Central League,0515day,19110515,0,Zanesville,4,Dayton,2,JGCQFCC
boxscores/1911/1911-SL,1911,Central League,0515for,19110515,0,Wheeling,4,Fort Wayne,6,ZQVPWCH
boxscores/1911/1911-SL,1911,Central League,0515gra,19110515,0,Evansville,1,Grand Rapids I,3,JNDZZTH
boxscores/1911/1911-SL,1911,Central League,0515sou,19110515,0,Terre Haute,2,South Bend I,3,QDPSZDR
boxscores/1911/1911-SL,1911,Central League,0516day,19110516,0,Wheeling,0,Dayton,2,DXKTMTG
boxscores/1911/1911-SL,1911,Central League,0516for,19110516,0,Zanesville,,Fort Wayne,,ZLDBBYW
boxscores/1911/1911-SL,1911,Central League,0516gra,19110516,0,Terre Haute,1,Grand Rapids I,5,XNKHKKX
boxscores/1911/1911-SL,1911,Central League,0516sou,19110516,0,Evansville,5,South Bend I,6,PSSKZJN
boxscores/1911/1911-SL,1911,Central League,0517day,19110517,0,Wheeling,5,Dayton,7,TKNRNJT
boxscores/1911/1911-SL,1911,Central League,0517for,19110517,0,Zanesville,6,Fort Wayne,11,XKKHLNR
boxscores/1911/1911-SL,1911,Central League,0517gra,19110517,0,Terre Haute,3,Grand Rapids I,4,XHGJTGF
boxscores/1911/1911-SL,1911,Central League,0517sou,19110517,0,Evansville,1,South Bend I,7,WBSZZSH
boxscores/1911/1911-SL,1911,Central League,0518day,19110518,0,Wheeling,2,Dayton,10,NHGKMFQ
boxscores/1911/1911-SL,1911,Central League,0518for,19110518,0,Zanesville,7,Fort Wayne,5,SQBZKSH
boxscores/1911/1911-SL,1911,Central League,0518sou,19110518,0,Evansville,2,South Bend I,1,JPYFZRB
boxscores/1911/1911-SL,1911,Central League,0519day,19110519,0,Wheeling,3,Dayton,3,YPTRKQL
boxscores/1911/1911-SL,1911,Central League,0519for,19110519,0,Zanesville,5,Fort Wayne,4,WFMDWHM
boxscores/1911/1911-SL,1911,Central League,0519gra1,19110519,1,Terre Haute,2,Grand Rapids I,1,VDYGDGC
boxscores/1911/1911-SL,1911,Central League,0519gra2,19110519,2,Terre Haute,2,Grand Rapids I,7,WRMYDSH
boxscores/1911/1911-SL,1911,Central League,0519sou,19110519,0,Evansville,8,South Bend I,2,FCZXNXB
boxscores/1911/1911-SL,1911,Central League,0520eva,19110520,0,Fort Wayne,,Evansville,,MYMLMYJ
boxscores/1911/1911-SL,1911,Central League,0520ter,19110520,0,Dayton,9,Terre Haute,5,QQNDLXD
boxscores/1911/1911-SL,1911,Central League,0520whe,19110520,0,South Bend I,7,Wheeling,4,SVJSJTP
boxscores/1911/1911-SL,1911,Central League,0520zan,19110520,0,Grand Rapids I,3,Zanesville,4,HRNTTWV
boxscores/1911/1911-SL,1911,Central League,0521eva1,19110521,1,Fort Wayne,2,Evansville,5,BWJTHDF
boxscores/1911/1911-SL,1911,Central League,0521eva2,19110521,2,Fort Wayne,2,Evansville,0,QWPZXZQ
boxscores/1911/1911-SL,1911,Central League,0521ter,19110521,0,Dayton,5,Terre Haute,2,SXFPTRK
boxscores/1911/1911-SL,1911,Central League,0521whe,19110521,0,South Bend I,5,Wheeling,7,GMWYDMT
boxscores/1911/1911-SL,1911,Central League,0521zan,19110521,0,Grand Rapids I,0,Zanesville,5,QPJLRGR
boxscores/1911/1911-SL,1911,Central League,0522eva,19110522,0,Fort Wayne,4,Evansville,3,QKPLLWQ
boxscores/1911/1911-SL,1911,Central League,0522ter,19110522,0,Dayton,,Terre Haute,,HHJDFQC
boxscores/1911/1911-SL,1911,Central League,0522whe,19110522,0,South Bend I,5,Wheeling,1,KLDHRLK
boxscores/1911/1911-SL,1911,Central League,0522zan,19110522,0,Grand Rapids I,6,Zanesville,10,LGJLNSF
boxscores/1911/1911-SL,1911,Central League,0523eva,19110523,0,Fort Wayne,7,Evansville,10,WBDKFXF
boxscores/1911/1911-SL,1911,Central League,0523ter,19110523,0,Dayton,7,Terre Haute,1,XHNXFSJ
boxscores/1911/1911-SL,1911,Central League,0523whe,19110523,0,South Bend I,6,Wheeling,8,MJBJYKZ
boxscores/1911/1911-SL,1911,Central League,0523zan,19110523,0,Grand Rapids I,2,Zanesville,5,ZMSJQPB
boxscores/1911/1911-SL,1911,Central League,0524eva,19110524,0,Dayton,10,Evansville,1,FPTVTDM
boxscores/1911/1911-SL,1911,Central League,0524ter,19110524,0,Fort Wayne,1,Terre Haute,4,MVTVHMK
boxscores/1911/1911-SL,1911,Central League,0524whe,19110524,0,Grand Rapids I,14,Wheeling,4,ZTPFKDZ
boxscores/1911/1911-SL,1911,Central League,0524zan,19110524,0,South Bend I,1,Zanesville,5,PFHVLXZ
boxscores/1911/1911-SL,1911,Central League,0525eva,19110525,0,Dayton,5,Evansville,4,CJTTLCX
boxscores/1911/1911-SL,1911,Central League,0525ter,19110525,0,Fort Wayne,5,Terre Haute,7,YCFFQGX
boxscores/1911/1911-SL,1911,Central League,0525whe,19110525,0,Grand Rapids I,5,Wheeling,4,VKFFQZM
boxscores/1911/1911-SL,1911,Central League,0525zan,19110525,0,South Bend I,0,Zanesville,1,BLYFTVM
boxscores/1911/1911-SL,1911,Central League,0526eva,19110526,0,Dayton,6,Evansville,7,CMKKJRT
boxscores/1911/1911-SL,1911,Central League,0526ter,19110526,0,Fort Wayne,8,Terre Haute,4,BGYSQZC
boxscores/1911/1911-SL,1911,Central League,0526whe,19110526,0,Grand Rapids I,4,Wheeling,7,FGDGYSL
boxscores/1911/1911-SL,1911,Central League,0526zan,19110526,0,South Bend I,3,Zanesville,2,BNHHKSM
boxscores/1911/1911-SL,1911,Central League,0527eva,19110527,0,Dayton,8,Evansville,11,DXWWVDJ
boxscores/1911/1911-SL,1911,Central League,0527ter,19110527,0,Fort Wayne,5,Terre Haute,3,BVZCRSH
boxscores/1911/1911-SL,1911,Central League,0527whe,19110527,0,Grand Rapids I,5,Wheeling,3,XKSSTWG
boxscores/1911/1911-SL,1911,Central League,0527zan,19110527,0,South Bend I,2,Zanesville,3,MCSZCVK
boxscores/1911/1911-SL,1911,Central League,0528day,19110528,0,Fort Wayne,12,Dayton,2,ZPHPXZT
boxscores/1911/1911-SL,1911,Central League,0528eva,19110528,0,Terre Haute,6,Evansville,2,VGSRCPQ
