source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0427akr,19110427,0,Youngstown,5,Akron,2,BSKPHDN
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0427can,19110427,0,New Castle,3,Canton,7,DZCXPPR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0427eri,19110427,0,East Liverpool,3,Erie,4,CRXGXBQ
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0427man,19110427,0,Steubenville,5,Mansfield,6,VXQVGVR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0428akr,19110428,0,Youngstown,2,Akron,3,HLWBZNP
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0428can,19110428,0,New Castle,6,Canton,3,HWJTHSR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0428eri,19110428,0,East Liverpool,4,Erie,7,FHNPTWY
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0428man,19110428,0,Steubenville,3,Mansfield,5,SFZQNJR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0429akr,19110429,0,New Castle,1,Akron,2,JSZRLTC
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0429can,19110429,0,Youngstown,2,Canton,5,WDKWPBN
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0429eri,19110429,0,Steubenville,9,Erie,10,GNTRFGX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0429man,19110429,0,East Liverpool,3,Mansfield,5,DFMYDWF
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0501can,19110501,0,Steubenville,3,Canton,4,HZNPCVL
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0502akr,19110502,0,East Liverpool,4,Akron,5,HHTGGGR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0502can,19110502,0,Steubenville,0,Canton,5,PKMSQSS
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0502eri,19110502,0,Youngstown,,Erie,,NWZLLMX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0502man,19110502,0,New Castle,1,Mansfield,0,YPNDSBX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0503akr,19110503,0,Steubenville,1,Akron,13,BRBHYMW
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0503can,19110503,0,East Liverpool,3,Canton,1,TFWSZWX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0503eri,19110503,0,New Castle,2,Erie,6,YQKFXVN
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0503man,19110503,0,Youngstown,0,Mansfield,2,VTPHLQF
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0504akr,19110504,0,Steubenville,1,Akron,3,MQRBRCH
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0504can,19110504,0,East Liverpool,2,Canton,3,NRQJDTH
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0504eri,19110504,0,New Castle,4,Erie,9,FRQSYNC
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0504man,19110504,0,Youngstown,2,Mansfield,9,YBSYRFG
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0505eas,19110505,0,Erie,4,East Liverpool,6,WHMPMJS
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0505new,19110505,0,Canton,5,New Castle,3,NSLZFQR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0505ste,19110505,0,Mansfield,1,Steubenville,2,DCFQTRN
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0505you,19110505,0,Akron,7,Youngstown,3,XYPFTHZ
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0506eas,19110506,0,Erie,1,East Liverpool,4,CBSLMDR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0506new,19110506,0,Canton,3,New Castle,8,JXJKGLH
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0506ste,19110506,0,Mansfield,2,Steubenville,4,XPLFXHX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0506you,19110506,0,Akron,5,Youngstown,2,LYGXLJC
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0507akr,19110507,0,Youngstown,4,Akron,2,LKFJDKF
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0507can,19110507,0,New Castle,3,Canton,7,ZRTLLLD
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0507eri,19110507,0,East Liverpool,3,Erie,2,QTRXVYW
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0507man,19110507,0,Steubenville,7,Mansfield,0,SNSYXXX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0508eas,19110508,0,Mansfield,1,East Liverpool,11,GCJJWTN
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0508new,19110508,0,Akron,5,New Castle,0,CHGFWJT
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0508ste,19110508,0,Erie,4,Steubenville,5,HKPQYCG
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0508you,19110508,0,Canton,1,Youngstown,13,JLXQNBX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0509eas,19110509,0,Mansfield,9,East Liverpool,7,YDFYVPJ
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0509new,19110509,0,Akron,4,New Castle,4,WYCZQLV
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0509ste,19110509,0,Erie,9,Steubenville,2,MRDSJDH
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0509you,19110509,0,Canton,11,Youngstown,6,CXSRXQC
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0510eas,19110510,0,Akron,10,East Liverpool,1,HZBXHNB
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0510new,19110510,0,Erie,9,New Castle,0,SQNJNHD
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0510ste,19110510,0,Canton,0,Steubenville,3,CGZYNKM
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0510you,19110510,0,Mansfield,7,Youngstown,13,DYBLKSD
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0511eas,19110511,0,Akron,4,East Liverpool,13,JKWYSMD
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0511new,19110511,0,Erie,2,New Castle,9,FVKFYYL
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0511ste,19110511,0,Canton,16,Steubenville,3,KQMPQMQ
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0511you,19110511,0,Mansfield,3,Youngstown,15,ZQWBVPR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0512eas,19110512,0,Canton,3,East Liverpool,4,QGLKQBN
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0512new,19110512,0,Mansfield,3,New Castle,4,RLQQMSS
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0512ste,19110512,0,Akron,9,Steubenville,6,VRRKTSX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0512you,19110512,0,Erie,5,Youngstown,3,RVHYLWV
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0513eas,19110513,0,Canton,13,East Liverpool,2,FXMLJZC
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0513new,19110513,0,Mansfield,4,New Castle,5,WTMQHYR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0513ste,19110513,0,Akron,6,Steubenville,5,DLJVCDB
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0513you,19110513,0,Erie,1,Youngstown,3,PGTNZZN
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0514akr,19110514,0,East Liverpool,3,Akron,12,HZZQMWX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0514can,19110514,0,Steubenville,5,Canton,6,GYQBWCB
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0514man,19110514,0,New Castle,2,Mansfield,5,NKLZSRR
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0514you,19110514,0,Erie,2,Youngstown,5,RCJCTKK
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0515eri,19110515,0,Akron,17,Erie,3,TPQQNCK
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0515man,19110515,0,Canton,3,Mansfield,1,MXMTTYM
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0515new,19110515,0,Steubenville,3,New Castle,4,GBGMDPY
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0515you,19110515,0,East Liverpool,4,Youngstown,13,VHZFWVT
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0516eri,19110516,0,Akron,,Erie,,BQPXSSG
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0516man,19110516,0,Canton,4,Mansfield,3,KSNDBJX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0516new,19110516,0,Steubenville,3,New Castle,5,PVPFSCM
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0516you,19110516,0,East Liverpool,1,Youngstown,7,FJLLWLS
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0517eri,19110517,0,Akron,5,Erie,4,TZWRSHW
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0517man,19110517,0,Canton,6,Mansfield,7,NKCGNXZ
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0517new,19110517,0,Steubenville,3,New Castle,5,JJNFQCX
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0517you,19110517,0,East Liverpool,0,Youngstown,3,RSXHRWQ
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0518eri,19110518,0,Canton,0,Erie,6,FKPWXQM
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0518man,19110518,0,Akron,9,Mansfield,7,VXMTHCP
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0518new,19110518,0,East Liverpool,9,New Castle,2,BGJSPYC
boxscores/1911/1911-GT,1911,Ohio-Pennsylvania League,0518you,19110518,0,Steubenville,1,Youngstown,5,NXZGGRY
