source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1912/1912-DMN,1912,Oklahoma State League,0430ana,19120430,0,Oklahoma City,7,Anadarko,1,DPNRZGH
boxscores/1912/1912-DMN,1912,Oklahoma State League,0430gut,19120430,0,Tulsa,8,Guthrie,11,FTZCKDW
boxscores/1912/1912-DMN,1912,Oklahoma State League,0430hol,19120430,0,McAlester,5,Holdenville,0,MXWCPMD
boxscores/1912/1912-DMN,1912,Oklahoma State League,0430okm,19120430,0,Muskogee,0,Okmulgee,5,KJHWVMQ
boxscores/1912/1912-DMN,1912,Oklahoma State League,0501ana,19120501,0,Oklahoma City,1,Anadarko,10,RZFZSYF
boxscores/1912/1912-DMN,1912,Oklahoma State League,0501gut,19120501,0,Tulsa,13,Guthrie,12,TGFLRYW
boxscores/1912/1912-DMN,1912,Oklahoma State League,0501hol,19120501,0,McAlester,6,Holdenville,13,WBHHGFP
boxscores/1912/1912-DMN,1912,Oklahoma State League,0501okm,19120501,0,Muskogee,1,Okmulgee,15,HXBNMGX
boxscores/1912/1912-DMN,1912,Oklahoma State League,0502ana,19120502,0,Oklahoma City,9,Anadarko,3,FZJFWQL
boxscores/1912/1912-DMN,1912,Oklahoma State League,0502gut,19120502,0,Tulsa,14,Guthrie,4,HFRTKWJ
boxscores/1912/1912-DMN,1912,Oklahoma State League,0502hol,19120502,0,McAlester,9,Holdenville,16,ZXTZXNR
boxscores/1912/1912-DMN,1912,Oklahoma State League,0502okm,19120502,0,Muskogee,9,Okmulgee,10,ZWQJKSZ
