source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1912/1912-DMN,1912,Texas League,0412aus,19120412,0,Fort Worth,4,Austin,11,ZJYRWPR
boxscores/1912/1912-DMN,1912,Texas League,0412bea,19120412,0,San Antonio,5,Beaumont,6,KVRLKDL
boxscores/1912/1912-DMN,1912,Texas League,0412gal,19120412,0,Houston,1,Galveston,0,XQFSNNR
boxscores/1912/1912-DMN,1912,Texas League,0412wac,19120412,0,Dallas,2,Waco,6,MJCSFPJ
boxscores/1912/1912-DMN,1912,Texas League,0413aus,19120413,0,Fort Worth,2,Austin,3,CFYHLJC
boxscores/1912/1912-DMN,1912,Texas League,0413bea,19120413,0,San Antonio,2,Beaumont,1,PVLRSHJ
boxscores/1912/1912-DMN,1912,Texas League,0413gal,19120413,0,Houston,0,Galveston,1,RYPMVWY
boxscores/1912/1912-DMN,1912,Texas League,0413wac,19120413,0,Dallas,4,Waco,3,GYRJKZN
boxscores/1912/1912-DMN,1912,Texas League,0414aus,19120414,0,Fort Worth,1,Austin,7,GMMGZWW
boxscores/1912/1912-DMN,1912,Texas League,0414bea,19120414,0,San Antonio,1,Beaumont,6,DBDDVHX
boxscores/1912/1912-DMN,1912,Texas League,0414gal,19120414,0,Houston,8,Galveston,3,GJDVZKK
boxscores/1912/1912-DMN,1912,Texas League,0414wac,19120414,0,Dallas,5,Waco,6,KNSTHGY
boxscores/1912/1912-DMN,1912,Texas League,0415aus,19120415,0,Fort Worth,2,Austin,4,QMBLFPV
boxscores/1912/1912-DMN,1912,Texas League,0415bea,19120415,0,San Antonio,,Beaumont,,TYQSPRV
boxscores/1912/1912-DMN,1912,Texas League,0415gal,19120415,0,Houston,11,Galveston,3,CGCTKMW
boxscores/1912/1912-DMN,1912,Texas League,0415wac,19120415,0,Dallas,1,Waco,3,WXVXNWP
boxscores/1912/1912-DMN,1912,Texas League,0416aus,19120416,0,Dallas,7,Austin,1,WDCRWTC
boxscores/1912/1912-DMN,1912,Texas League,0416bea,19120416,0,Houston,,Beaumont,,TKLXDBF
boxscores/1912/1912-DMN,1912,Texas League,0416gal,19120416,0,San Antonio,,Galveston,,RJYTZNH
boxscores/1912/1912-DMN,1912,Texas League,0416wac,19120416,0,Fort Worth,2,Waco,3,BRWLZLQ
boxscores/1912/1912-DMN,1912,Texas League,0417aus,19120417,0,Dallas,3,Austin,5,VKDZFWM
boxscores/1912/1912-DMN,1912,Texas League,0417bea,19120417,0,Houston,3,Beaumont,5,DDPNXJQ
boxscores/1912/1912-DMN,1912,Texas League,0417gal,19120417,0,San Antonio,1,Galveston,2,VMFYXCT
boxscores/1912/1912-DMN,1912,Texas League,0417wac,19120417,0,Fort Worth,6,Waco,4,QPYGYGG
boxscores/1912/1912-DMN,1912,Texas League,0418aus,19120418,0,Dallas,3,Austin,1,BCLHWSL
boxscores/1912/1912-DMN,1912,Texas League,0418bea,19120418,0,Houston,1,Beaumont,3,DNNZCZK
boxscores/1912/1912-DMN,1912,Texas League,0418gal1,19120418,1,San Antonio,1,Galveston,3,RTXGPKD
boxscores/1912/1912-DMN,1912,Texas League,0418gal2,19120418,2,San Antonio,8,Galveston,1,JPPWGMG
boxscores/1912/1912-DMN,1912,Texas League,0418wac,19120418,0,Fort Worth,1,Waco,2,CQPBSLQ
boxscores/1912/1912-DMN,1912,Texas League,0419aus,19120419,0,Dallas,2,Austin,9,SKYSPPR
boxscores/1912/1912-DMN,1912,Texas League,0419bea,19120419,0,Houston,4,Beaumont,1,RWGTWJN
boxscores/1912/1912-DMN,1912,Texas League,0419gal,19120419,0,San Antonio,4,Galveston,6,ZXRTSGF
boxscores/1912/1912-DMN,1912,Texas League,0419wac,19120419,0,Fort Worth,,Waco,,PMCNYFS
boxscores/1912/1912-DMN,1912,Texas League,0420dal,19120420,0,Waco,3,Dallas,3,YBLPGMV
boxscores/1912/1912-DMN,1912,Texas League,0420for,19120420,0,Austin,0,Fort Worth,1,NPDHCHZ
boxscores/1912/1912-DMN,1912,Texas League,0420hou,19120420,0,Galveston,2,Houston,6,BJMMWBS
boxscores/1912/1912-DMN,1912,Texas League,0420san,19120420,0,Beaumont,0,San Antonio,1,GRXSLZX
boxscores/1912/1912-DMN,1912,Texas League,0421dal,19120421,0,Waco,7,Dallas,3,WTRPPLW
boxscores/1912/1912-DMN,1912,Texas League,0421for,19120421,0,Austin,7,Fort Worth,5,QRFXJJL
boxscores/1912/1912-DMN,1912,Texas League,0421hou,19120421,0,Galveston,1,Houston,4,MBYKFYW
boxscores/1912/1912-DMN,1912,Texas League,0421san,19120421,0,Beaumont,1,San Antonio,5,NRYKQRC
boxscores/1912/1912-DMN,1912,Texas League,0422dal1,19120422,1,Waco,0,Dallas,4,PQVDHDD
