source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0425den,19120425,0,McKinney,2,Denison,4,ZPJDQWL
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0425dur,19120425,0,Sherman,6,Durant,0,TTHJZVV
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0425gre,19120425,0,Bonham,0,Greenville,3,VPGLNDC
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0425wic,19120425,0,Ardmore,,Wichita Falls,,BNQGHGY
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0426den,19120426,0,McKinney,,Denison,,CCBSXCQ
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0426dur,19120426,0,Sherman,1,Durant,2,KRSWFVS
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0426gre,19120426,0,Bonham,8,Greenville,2,YFJFJPH
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0426wic,19120426,0,Ardmore,3,Wichita Falls,4,NMVYNWJ
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0427den,19120427,0,McKinney,4,Denison,8,DKSYXMW
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0427gre,19120427,0,Bonham,3,Greenville,1,WTBJQLT
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0427she,19120427,0,Durant,2,Sherman,8,CLKVDDV
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0427wic,19120427,0,Ardmore,12,Wichita Falls,5,FYNYZVY
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0428ard,19120428,0,Denison,13,Ardmore,7,PZVKNYS
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0428she,19120428,0,Greenville,7,Sherman,2,MNQHZZZ
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0428wic,19120428,0,Durant,1,Wichita Falls,13,PJMRVLC
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0429ard,19120429,0,Denison,3,Ardmore,2,MCRHZJX
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0429bon,19120429,0,McKinney,3,Bonham,9,GTFBSYF
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0429she,19120429,0,Greenville,1,Sherman,7,VYYJNCT
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0429wic,19120429,0,Durant,2,Wichita Falls,7,YXMBVTB
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0430ard,19120430,0,Denison,1,Ardmore,4,QWYGXBW
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0430bon,19120430,0,McKinney,0,Bonham,9,FJJXFWT
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0430she,19120430,0,Greenville,2,Sherman,10,MVCPTXR
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0430wic,19120430,0,Durant,4,Wichita Falls,6,GPNNVCJ
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0501ard,19120501,0,Denison,4,Ardmore,5,QPVSVWF
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0501bon,19120501,0,McKinney,2,Bonham,1,DPLQZDD
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0501she,19120501,0,Greenville,0,Sherman,10,HBZVSXF
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0501wic,19120501,0,Durant,10,Wichita Falls,3,SRNFCMD
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0502ard,19120502,0,Durant,2,Ardmore,3,HPXTVCJ
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0502den,19120502,0,Bonham,8,Denison,1,KXHRQJD
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0502mck,19120502,0,Greenville,6,McKinney,7,KQWGBJP
boxscores/1912/1912-DMN,1912,Texas-Oklahoma League,0502wic,19120502,0,Sherman,1,Wichita Falls,4,VMSWTHW
