source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1914/1914-SL,1914,International League,0421-baltimore-buffalo-0,19140421,0,Buffalo,0,Baltimore,7,NMBSFXZ
boxscores/1914/1914-SL,1914,International League,0421-jerseycity-montreal-0,19140421,0,Montreal,1,Jersey City,8,DZYWYTX
boxscores/1914/1914-SL,1914,International League,0421-newark-rochester-0,19140421,0,Rochester,2,Newark,4,TTTTFWV
boxscores/1914/1914-SL,1914,International League,0421-providence-toronto-0,19140421,0,Toronto,4,Providence,5,VLLFJPY
boxscores/1914/1914-SL,1914,International League,0422-baltimore-buffalo-0,19140422,0,Buffalo,0,Baltimore,6,YSYPDZF
boxscores/1914/1914-SL,1914,International League,0422-jerseycity-montreal-0,19140422,0,Montreal,0,Jersey City,7,YZTHRGB
boxscores/1914/1914-SL,1914,International League,0422-newark-rochester-0,19140422,0,Rochester,,Newark,,YQJZGHW
boxscores/1914/1914-SL,1914,International League,0422-providence-toronto-0,19140422,0,Toronto,5,Providence,3,JDNPKLG
boxscores/1914/1914-SL,1914,International League,0423-baltimore-buffalo-0,19140423,0,Buffalo,5,Baltimore,3,XYCQPBH
boxscores/1914/1914-SL,1914,International League,0423-jerseycity-montreal-0,19140423,0,Montreal,8,Jersey City,3,VXWSBXJ
boxscores/1914/1914-SL,1914,International League,0423-newark-rochester-0,19140423,0,Rochester,1,Newark,2,RMJXWSM
boxscores/1914/1914-SL,1914,International League,0423-providence-toronto-0,19140423,0,Toronto,11,Providence,13,XBWYXVC
boxscores/1914/1914-SL,1914,International League,0424-baltimore-buffalo-0,19140424,0,Buffalo,2,Baltimore,3,WYJJKRG
boxscores/1914/1914-SL,1914,International League,0424-jerseycity-montreal-0,19140424,0,Montreal,2,Jersey City,0,VGKSJLV
boxscores/1914/1914-SL,1914,International League,0424-newark-rochester-0,19140424,0,Rochester,1,Newark,3,CWXCZHM
boxscores/1914/1914-SL,1914,International League,0424-providence-toronto-0,19140424,0,Toronto,9,Providence,5,CPNVGDF
boxscores/1914/1914-SL,1914,International League,0425-baltimore-rochester-0,19140425,0,Rochester,,Baltimore,,TBFNSQY
boxscores/1914/1914-SL,1914,International League,0425-jerseycity-toronto-0,19140425,0,Toronto,,Jersey City,,THXSVKS
boxscores/1914/1914-SL,1914,International League,0425-montreal-newark-0,19140425,0,Montreal,,Newark,,KGZBQWV
boxscores/1914/1914-SL,1914,International League,0425-buffalo-providence-0,19140425,0,Buffalo,,Providence,,BCRTLHL
boxscores/1914/1914-SL,1914,International League,0426-baltimore-rochester-0,19140426,0,Rochester,,Baltimore,,NYHNNWN
boxscores/1914/1914-SL,1914,International League,0426-jerseycity-toronto-0,19140426,0,Toronto,,Jersey City,,NMTSYBJ
boxscores/1914/1914-SL,1914,International League,0426-montreal-newark-0,19140426,0,Montreal,,Newark,,DKZZKTX
boxscores/1914/1914-SL,1914,International League,0426-buffalo-providence-0,19140426,0,Buffalo,,Providence,,LDRLCSK
boxscores/1914/1914-SL,1914,International League,0427-baltimore-rochester-1,19140427,1,Rochester,3,Baltimore,2,NFQTSLV
boxscores/1914/1914-SL,1914,International League,0427-baltimore-rochester-2,19140427,2,Rochester,2,Baltimore,1,KCWDMVP
boxscores/1914/1914-SL,1914,International League,0427-jerseycity-toronto-0,19140427,0,Toronto,1,Jersey City,5,VSYHYLP
boxscores/1914/1914-SL,1914,International League,0427-montreal-newark-0,19140427,0,Montreal,0,Newark,5,KNJGRHZ
boxscores/1914/1914-SL,1914,International League,0427-buffalo-providence-0,19140427,0,Buffalo,,Providence,,PKWMJZJ
