source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-SL,1915,American Association,0415cle,19150415,0,Indianapolis,10,Cleveland,1,JDFGMFP
boxscores/1915/1915-SL,1915,American Association,0415col,19150415,0,Louisville,3,Columbus,0,KTVWZXR
boxscores/1915/1915-SL,1915,American Association,0415kan,19150415,0,St. Paul,11,Kansas City,5,QBKLCKV
boxscores/1915/1915-SL,1915,American Association,0415mil,19150415,0,Minneapolis,4,Milwaukee,6,WWRLVZX
boxscores/1915/1915-SL,1915,American Association,0416cle,19150416,0,Indianapolis,4,Cleveland,5,ZPMTSWN
boxscores/1915/1915-SL,1915,American Association,0416col,19150416,0,Louisville,2,Columbus,0,BKTJGRR
boxscores/1915/1915-SL,1915,American Association,0416kan,19150416,0,St. Paul,4,Kansas City,8,WWTQBQR
boxscores/1915/1915-SL,1915,American Association,0416mil,19150416,0,Minneapolis,9,Milwaukee,4,BKFJDYZ
boxscores/1915/1915-SL,1915,American Association,0417cle,19150417,0,Indianapolis,8,Cleveland,3,ZXTVGKN
boxscores/1915/1915-SL,1915,American Association,0417col,19150417,0,Louisville,1,Columbus,0,RYJSGFN
boxscores/1915/1915-SL,1915,American Association,0417kan,19150417,0,St. Paul,1,Kansas City,13,CWRJNMY
boxscores/1915/1915-SL,1915,American Association,0417mil,19150417,0,Minneapolis,9,Milwaukee,3,DMBKZYL
boxscores/1915/1915-SL,1915,American Association,0418cle,19150418,0,Indianapolis,9,Cleveland,1,DRVGDLK
boxscores/1915/1915-SL,1915,American Association,0418col,19150418,0,Louisville,11,Columbus,3,RZVJTYQ
boxscores/1915/1915-SL,1915,American Association,0418kan,19150418,0,St. Paul,10,Kansas City,1,RSVHSVN
boxscores/1915/1915-SL,1915,American Association,0418mil,19150418,0,Minneapolis,9,Milwaukee,5,BHXFTJG
boxscores/1915/1915-SL,1915,American Association,0419col,19150419,0,Indianapolis,6,Columbus,4,MJQTZDH
boxscores/1915/1915-SL,1915,American Association,0419kan,19150419,0,Minneapolis,5,Kansas City,9,VJWDZGD
boxscores/1915/1915-SL,1915,American Association,0419mil,19150419,0,St. Paul,4,Milwaukee,0,XFTZTRF
boxscores/1915/1915-SL,1915,American Association,0420cle,19150420,0,Louisville,3,Cleveland,5,GTZWFHH
boxscores/1915/1915-SL,1915,American Association,0420col,19150420,0,Indianapolis,8,Columbus,7,DFTLCKW
boxscores/1915/1915-SL,1915,American Association,0420kan,19150420,0,Minneapolis,1,Kansas City,0,BWKJZCH
boxscores/1915/1915-SL,1915,American Association,0420mil,19150420,0,St. Paul,11,Milwaukee,6,MGJNZZY
boxscores/1915/1915-SL,1915,American Association,0421cle,19150421,0,Louisville,4,Cleveland,9,YDMVMSX
boxscores/1915/1915-SL,1915,American Association,0421col,19150421,0,Indianapolis,4,Columbus,0,JMYLRCN
boxscores/1915/1915-SL,1915,American Association,0421kan,19150421,0,Minneapolis,8,Kansas City,5,JLZXZRK
boxscores/1915/1915-SL,1915,American Association,0421mil,19150421,0,St. Paul,9,Milwaukee,3,VLGZGRR
boxscores/1915/1915-SL,1915,American Association,0422col,19150422,0,Indianapolis,3,Columbus,4,MBBQCWW
