source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-HC,1915,Colonial League,0520fal,19150520,0,Brockton,5,Fall River,2,SSQHKRF
boxscores/1915/1915-HC,1915,Colonial League,0520har,19150520,0,New Haven,2,Hartford,3,CKTJNRC
boxscores/1915/1915-HC,1915,Colonial League,0520spr,19150520,0,Pawtucket,6,Springfield,8,VDZDTNC
boxscores/1915/1915-HC,1915,Colonial League,0520tau,19150520,0,New Bedford,6,Taunton,9,QZCDVKQ
boxscores/1915/1915-HC,1915,Colonial League,0521bro,19150521,0,Fall River,3,Brockton,4,WHGRSPS
boxscores/1915/1915-HC,1915,Colonial League,0521har,19150521,0,New Haven,,Hartford,,XSKWKCJ
boxscores/1915/1915-HC,1915,Colonial League,0521new,19150521,0,Taunton,,New Bedford,,QGGMLTM
boxscores/1915/1915-HC,1915,Colonial League,0521spr,19150521,0,Pawtucket,,Springfield,,SSZJNDZ
boxscores/1915/1915-HC,1915,Colonial League,0522bro,19150522,0,Taunton,2,Brockton,1,PGYWSTH
boxscores/1915/1915-HC,1915,Colonial League,0522har,19150522,0,Springfield,,Hartford,,ZRRWNFF
boxscores/1915/1915-HC,1915,Colonial League,0522new,19150522,0,Fall River,1,New Bedford,2,TRTLZHH
boxscores/1915/1915-HC,1915,Colonial League,0522new,19150522,0,Pawtucket,3,New Haven,0,CNCGBZD
boxscores/1915/1915-HC,1915,Colonial League,0523new,19150523,0,Pawtucket,0,New Haven,4,GHVWGJN
boxscores/1915/1915-HC,1915,Colonial League,0524fal,19150524,0,New Bedford,2,Fall River,3,YTQSGRD
boxscores/1915/1915-HC,1915,Colonial League,0524har,19150524,0,Taunton,,Hartford,,GKMWJWG
boxscores/1915/1915-HC,1915,Colonial League,0524spr,19150524,0,Brockton,2,Springfield,1,FVWSHKB
boxscores/1915/1915-HC,1915,Colonial League,0525fal,19150525,0,New Haven,3,Fall River,4,JFBVDTZ
boxscores/1915/1915-HC,1915,Colonial League,0525har,19150525,0,Taunton,4,Hartford,14,YLQGRPZ
boxscores/1915/1915-HC,1915,Colonial League,0525new,19150525,0,Pawtucket,7,New Bedford,4,ZSPCZKD
boxscores/1915/1915-HC,1915,Colonial League,0525spr,19150525,0,Brockton,5,Springfield,3,PSRBCMR
boxscores/1915/1915-HC,1915,Colonial League,0526fal,19150526,0,Pawtucket,,Fall River,,BJFJWJJ
boxscores/1915/1915-HC,1915,Colonial League,0526har1,19150526,1,Taunton,,Hartford,,NZWTMCX
boxscores/1915/1915-HC,1915,Colonial League,0526har2,19150526,2,Taunton,,Hartford,,CFHBGMF
boxscores/1915/1915-HC,1915,Colonial League,0526new,19150526,0,New Haven,,New Bedford,,PBFQMJH
boxscores/1915/1915-HC,1915,Colonial League,0526spr,19150526,0,Brockton,,Springfield,,VWDHHJL
boxscores/1915/1915-HC,1915,Colonial League,0527fal,19150527,0,Pawtucket,2,Fall River,5,BKSQMHD
boxscores/1915/1915-HC,1915,Colonial League,0527har,19150527,0,Brockton,1,Hartford,2,DDDXBQX
boxscores/1915/1915-HC,1915,Colonial League,0527new,19150527,0,New Haven,6,New Bedford,2,HXKWYJB
boxscores/1915/1915-HC,1915,Colonial League,0527spr,19150527,0,Taunton,4,Springfield,1,JCPBFKH
boxscores/1915/1915-HC,1915,Colonial League,0528fal,19150528,0,New Haven,4,Fall River,5,CQVJTLT
boxscores/1915/1915-HC,1915,Colonial League,0528har,19150528,0,Brockton,1,Hartford,2,LMRWRZD
boxscores/1915/1915-HC,1915,Colonial League,0528paw,19150528,0,New Bedford,6,Pawtucket,5,ZTFXYSX
boxscores/1915/1915-HC,1915,Colonial League,0528spr,19150528,0,Taunton,9,Springfield,10,PBNMGWJ
boxscores/1915/1915-HC,1915,Colonial League,0529fal,19150529,0,Brockton,3,Fall River,4,DZDNPDR
boxscores/1915/1915-HC,1915,Colonial League,0529new,19150529,0,Taunton,5,New Bedford,7,YBNMKMW
boxscores/1915/1915-HC,1915,Colonial League,0529paw,19150529,0,New Haven,2,Pawtucket,3,WLJRWMF
boxscores/1915/1915-HC,1915,Colonial League,0529spr,19150529,0,Hartford,9,Springfield,5,VBKMLZH
boxscores/1915/1915-HC,1915,Colonial League,0531bro2,19150531,2,Taunton,1,Brockton,3,BQTPKGY
boxscores/1915/1915-HC,1915,Colonial League,0531fal2,19150531,2,New Bedford,0,Fall River,3,TXHVXXB
boxscores/1915/1915-HC,1915,Colonial League,0531har1,19150531,1,Springfield,6,Hartford,0,PCLNWVR
boxscores/1915/1915-HC,1915,Colonial League,0531new1,19150531,1,Fall River,1,New Bedford,2,BYNVPMQ
boxscores/1915/1915-HC,1915,Colonial League,0531new1,19150531,1,Pawtucket,2,New Haven,4,TPRNHRY
boxscores/1915/1915-HC,1915,Colonial League,0531new2,19150531,2,Pawtucket,6,New Haven,3,GVYYPJW
boxscores/1915/1915-HC,1915,Colonial League,0531spr2,19150531,2,Hartford,5,Springfield,2,LBCDKZY
boxscores/1915/1915-HC,1915,Colonial League,0531tau1,19150531,1,Brockton,4,Taunton,1,RXBZDKW
boxscores/1915/1915-HC,1915,Colonial League,0601bro,19150601,0,New Bedford,5,Brockton,2,ZDDBQLV
boxscores/1915/1915-HC,1915,Colonial League,0601new,19150601,0,Springfield,3,New Haven,12,YJKTXSK
boxscores/1915/1915-HC,1915,Colonial League,0601paw,19150601,0,Fall River,0,Pawtucket,1,NJGSKPN
boxscores/1915/1915-HC,1915,Colonial League,0601tau,19150601,0,Hartford,4,Taunton,0,PNMLKKJ
boxscores/1915/1915-HC,1915,Colonial League,0602bro,19150602,0,Hartford,6,Brockton,7,GPJQVPQ
boxscores/1915/1915-HC,1915,Colonial League,0602new,19150602,0,Springfield,,New Haven,,BMRTQWB
boxscores/1915/1915-HC,1915,Colonial League,0602paw,19150602,0,Fall River,,Pawtucket,,RZXFVPL
boxscores/1915/1915-HC,1915,Colonial League,0602tau,19150602,0,New Bedford,,Taunton,,HFSGCLZ
boxscores/1915/1915-HC,1915,Colonial League,0603paw,19150603,0,New Bedford,5,Pawtucket,3,JSPDBML
boxscores/1915/1915-HC,1915,Colonial League,0603tau,19150603,0,Fall River,0,Taunton,4,NPXYQSR
boxscores/1915/1915-HC,1915,Colonial League,0604bro,19150604,0,Fall River,4,Brockton,1,FLKMTYD
boxscores/1915/1915-HC,1915,Colonial League,0604paw,19150604,0,New Bedford,2,Pawtucket,1,CXTPRGV
boxscores/1915/1915-HC,1915,Colonial League,0605fal,19150605,0,Taunton,8,Fall River,3,GFHFDWC
boxscores/1915/1915-HC,1915,Colonial League,0605new,19150605,0,Brockton,1,New Bedford,3,DFRSLPG
boxscores/1915/1915-HC,1915,Colonial League,0605paw,19150605,0,Hartford,3,Pawtucket,1,WVQWDWB
boxscores/1915/1915-HC,1915,Colonial League,0605spr1,19150605,1,New Haven,5,Springfield,0,VQSYDJJ
boxscores/1915/1915-HC,1915,Colonial League,0605spr2,19150605,2,New Haven,4,Springfield,3,VRYPGSJ
boxscores/1915/1915-HC,1915,Colonial League,0607bro,19150607,0,Springfield,5,Brockton,4,DZPGCHX
boxscores/1915/1915-HC,1915,Colonial League,0607fal,19150607,0,New Bedford,6,Fall River,3,RBRNSGD
boxscores/1915/1915-HC,1915,Colonial League,0607new,19150607,0,Hartford,1,New Haven,2,XKQPKBB
boxscores/1915/1915-HC,1915,Colonial League,0607tau,19150607,0,Pawtucket,6,Taunton,5,VMRZJMZ
boxscores/1915/1915-HC,1915,Colonial League,0608bro1,19150608,1,Springfield,0,Brockton,1,NDYGZFY
boxscores/1915/1915-HC,1915,Colonial League,0608bro2,19150608,2,Springfield,1,Brockton,2,NDWFDMX
boxscores/1915/1915-HC,1915,Colonial League,0608har,19150608,0,New Bedford,1,Hartford,3,DPLHWZB
boxscores/1915/1915-HC,1915,Colonial League,0608new,19150608,0,Fall River,2,New Haven,1,WCNJFWL
boxscores/1915/1915-HC,1915,Colonial League,0608tau,19150608,0,Pawtucket,,Taunton,,HDYGPNK
boxscores/1915/1915-HC,1915,Colonial League,0609har,19150609,0,New Bedford,4,Hartford,6,BFVZVMW
boxscores/1915/1915-HC,1915,Colonial League,0609new,19150609,0,Fall River,4,New Haven,0,YWJHPBM
boxscores/1915/1915-HC,1915,Colonial League,0609tau,19150609,0,Pawtucket,2,Taunton,7,BSGNJKZ
boxscores/1915/1915-HC,1915,Colonial League,0610bro,19150610,0,Pawtucket,3,Brockton,0,PLZGNDK
boxscores/1915/1915-HC,1915,Colonial League,0610har,19150610,0,New Bedford,5,Hartford,0,BRWHYYZ
boxscores/1915/1915-HC,1915,Colonial League,0610new,19150610,0,Fall River,1,New Haven,2,QVGGMBC
boxscores/1915/1915-HC,1915,Colonial League,0610tau,19150610,0,Springfield,9,Taunton,7,CHXGDLP
boxscores/1915/1915-HC,1915,Colonial League,0611bro,19150611,0,Pawtucket,3,Brockton,4,XTNCFNW
boxscores/1915/1915-HC,1915,Colonial League,0611har,19150611,0,Fall River,4,Hartford,2,WZYTJPM
boxscores/1915/1915-HC,1915,Colonial League,0611new,19150611,0,New Bedford,1,New Haven,2,XSKNHDN
boxscores/1915/1915-HC,1915,Colonial League,0611tau,19150611,0,Springfield,6,Taunton,2,QBKTKVD
boxscores/1915/1915-HC,1915,Colonial League,0612bro,19150612,0,Taunton,2,Brockton,3,WWYJMHC
boxscores/1915/1915-HC,1915,Colonial League,0612har1,19150612,1,Fall River,4,Hartford,5,MPCTMCJ
boxscores/1915/1915-HC,1915,Colonial League,0612har2,19150612,2,Fall River,3,Hartford,8,GSYCFFH
boxscores/1915/1915-HC,1915,Colonial League,0612new,19150612,0,New Bedford,3,New Haven,0,NKMRTKH
boxscores/1915/1915-HC,1915,Colonial League,0612paw,19150612,0,Springfield,5,Pawtucket,9,DJNYTQY
boxscores/1915/1915-HC,1915,Colonial League,0614fal,19150614,0,Springfield,5,Fall River,1,XGFCZKT
boxscores/1915/1915-HC,1915,Colonial League,0614new,19150614,0,Hartford,5,New Haven,3,YHQJVCD
boxscores/1915/1915-HC,1915,Colonial League,0615fal,19150615,0,Hartford,,Fall River,,LKFVMHZ
boxscores/1915/1915-HC,1915,Colonial League,0615new,19150615,0,Springfield,,New Bedford,,RFMHRKV
boxscores/1915/1915-HC,1915,Colonial League,0615new,19150615,0,Taunton,,New Haven,,MXFWQRS
boxscores/1915/1915-HC,1915,Colonial League,0615paw,19150615,0,Brockton,,Pawtucket,,BRTJRSW
boxscores/1915/1915-HC,1915,Colonial League,0616fal,19150616,0,Hartford,3,Fall River,5,MNVXYZF
boxscores/1915/1915-HC,1915,Colonial League,0616new,19150616,0,Springfield,1,New Bedford,5,XHHHHDD
boxscores/1915/1915-HC,1915,Colonial League,0616new1,19150616,1,Taunton,2,New Haven,1,JWPYPKY
boxscores/1915/1915-HC,1915,Colonial League,0616new2,19150616,2,Taunton,4,New Haven,5,PMXKVDD
boxscores/1915/1915-HC,1915,Colonial League,0616paw,19150616,0,Brockton,4,Pawtucket,2,PTDKFSM
boxscores/1915/1915-HC,1915,Colonial League,0617fal,19150617,0,Hartford,4,Fall River,7,WWXLHGY
boxscores/1915/1915-HC,1915,Colonial League,0617new,19150617,0,Springfield,5,New Bedford,2,BBMRWLZ
boxscores/1915/1915-HC,1915,Colonial League,0617new,19150617,0,Taunton,5,New Haven,8,VZBGLNC
boxscores/1915/1915-HC,1915,Colonial League,0617paw,19150617,0,Brockton,1,Pawtucket,2,MCJJGNT
