source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0426-brunswick-waycross-0,19150426,0,Waycross,4,Brunswick,3,HNKJQTC
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0426-americus-dothan-0,19150426,0,Americus,3,Dothan,8,WTQBDGF
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0426-thomasville-valdosta-0,19150426,0,Valdosta,2,Thomasville,1,BHMHGTR
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0427-brunswick-waycross-0,19150427,0,Waycross,1,Brunswick,5,XCPFCQH
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0427-americus-dothan-0,19150427,0,Americus,7,Dothan,4,RYFBJKN
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0427-thomasville-valdosta-0,19150427,0,Valdosta,7,Thomasville,9,TTRGSQP
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0428-brunswick-waycross-0,19150428,0,Waycross,5,Brunswick,9,XRXTMFT
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0428-americus-dothan-0,19150428,0,Americus,9,Dothan,0,CSZNMQB
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0428-thomasville-valdosta-0,19150428,0,Valdosta,2,Thomasville,3,JLRHMDF
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0429-americus-thomasville-0,19150429,0,Thomasville,5,Americus,8,XMMQZGR
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0429-brunswick-valdosta-0,19150429,0,Brunswick,11,Valdosta,5,ZLZSKCX
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,0429-dothan-waycross-0,19150429,0,Dothan,0,Waycross,0,VJNSZBR
