source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150422,0,Greensboro,6,Charlotte,3,b35ca411-c104-54f7-aaf3-c0ba38e2d939
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150422,0,Durham,3,Raleigh,4,4f116985-8d9f-5d15-8958-d495feb02304
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150422,0,Asheville,7,Winston-Salem,1,33b78edd-ee24-5c6e-a965-4c7e082f4e1b
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150423,0,Greensboro,8,Charlotte,4,fc8efc2f-c101-5042-a615-10f28e91ddb3
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150423,0,Durham,5,Raleigh,3,446f2042-bb2e-552b-814d-3e91afa0263c
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150423,0,Asheville,7,Winston-Salem,0,24462f26-ceec-5367-8e9a-adfcd16251ea
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150424,0,Greensboro,11,Charlotte,5,964817d3-4f54-5d43-ae3d-3d2d0a5064ef
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150424,0,Durham,2,Raleigh,5,100616a9-eef5-5492-ae17-84dbf8a50ffb
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150424,0,Asheville,4,Winston-Salem,5,e0804493-814c-5842-b512-718797e0a8c2
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150426,0,Asheville,11,Charlotte,5,ef5c5995-9494-59e7-8c54-74b1cac009e7
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150426,0,Winston-Salem,7,Durham,8,f6ea5271-65d0-5607-8253-71b8aa9bd783
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150426,0,Raleigh,10,Greensboro,1,ae71efbf-2c20-5c23-a58b-8196abe51312
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150427,0,Asheville,2,Charlotte,0,fc896761-2e76-5e5a-a4a7-b1e2fda2897b
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150427,0,Winston-Salem,1,Durham,8,6d22c986-881f-5005-bf17-9dfd5cbe893b
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150427,0,Raleigh,5,Greensboro,4,3ccc3ac3-3211-531b-aa70-93e4b5c4443a
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150428,0,Asheville,12,Charlotte,7,e8840282-e843-502f-8c96-32f00bb844b4
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150428,0,Winston-Salem,5,Durham,7,00b48bb5-f7ea-57af-8985-4e04f0886fe7
boxscores/1915/1915-CDO,1915,North Carolina State League,,19150428,0,Raleigh,0,Greensboro,3,124147b7-d3cf-5897-a829-c6a8f6cc90fc
