source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-DNT,1915,Northern League,0506far,19150506,0,Virginia,,Fargo-Moorhead,,PTWWMDB
boxscores/1915/1915-GFDH,1915,Northern League,0506far,19150506,0,Virginia,,Fargo-Moorhead,,MFBRNTG
boxscores/1915/1915-WT,1915,Northern League,0506far,19150506,0,Virginia,,Fargo-Moorhead,,NWFTQFY
boxscores/1915/1915-DNT,1915,Northern League,0506gra,19150506,0,Fort William-Port Arthur,,Grand Forks,,YBDQQXT
boxscores/1915/1915-GFDH,1915,Northern League,0506gra,19150506,0,Fort William-Port Arthur,,Grand Forks,,DHJQXNS
boxscores/1915/1915-WT,1915,Northern League,0506gra,19150506,0,Fort William-Port Arthur,,Grand Forks,,TKGHNYJ
boxscores/1915/1915-DNT,1915,Northern League,0506st.,19150506,0,Superior,,St. Boniface,,KVXTKLL
boxscores/1915/1915-GFDH,1915,Northern League,0506st.,19150506,0,Superior,,St. Boniface,,BMHBLGM
boxscores/1915/1915-WT,1915,Northern League,0506st.,19150506,0,Superior,,St. Boniface,,GYWVYMW
boxscores/1915/1915-DNT,1915,Northern League,0506win,19150506,0,Duluth,,Winnipeg,,MMYXDQD
boxscores/1915/1915-GFDH,1915,Northern League,0506win,19150506,0,Duluth,,Winnipeg,,TQJXTBJ
boxscores/1915/1915-WT,1915,Northern League,0506win,19150506,0,Duluth,,Winnipeg,,QLKJKGP
boxscores/1915/1915-DNT,1915,Northern League,0507far,19150507,0,Virginia,,Fargo-Moorhead,,RTLYYFC
boxscores/1915/1915-GFDH,1915,Northern League,0507far,19150507,0,Virginia,,Fargo-Moorhead,,ZRCWYMG
boxscores/1915/1915-WT,1915,Northern League,0507far,19150507,0,Virginia,,Fargo-Moorhead,,DJLQSSG
boxscores/1915/1915-DNT,1915,Northern League,0507gra,19150507,0,Fort William-Port Arthur,,Grand Forks,,SGFGPXL
boxscores/1915/1915-GFDH,1915,Northern League,0507gra,19150507,0,Fort William-Port Arthur,,Grand Forks,,RGJSVTS
