source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-AJ,1915,Rio Grande Association,0427-phoenix-tucson-0,19150427,0,Phoenix,2,Tucson,10,LKGZFFM
boxscores/1915/1915-AR,1915,Rio Grande Association,0427-phoenix-tucson-0,19150427,0,Phoenix,2,Tucson,10,MDHSKFP
boxscores/1915/1915-EPH,1915,Rio Grande Association,0427-phoenix-tucson-0,19150427,0,Phoenix,2,Tucson,10,YHPKHRC
boxscores/1915/1915-AJ,1915,Rio Grande Association,0428-phoenix-tucson-0,19150428,0,Phoenix,,Tucson,,KBFWWSZ
boxscores/1915/1915-AR,1915,Rio Grande Association,0428-phoenix-tucson-0,19150428,0,Phoenix,,Tucson,,DQCWNTG
boxscores/1915/1915-EPH,1915,Rio Grande Association,0428-phoenix-tucson-0,19150428,0,Phoenix,,Tucson,,PJLKPJX
boxscores/1915/1915-AJ,1915,Rio Grande Association,0429-phoenix-tucson-0,19150429,0,Phoenix,6,Tucson,1,HZZNZNH
boxscores/1915/1915-AR,1915,Rio Grande Association,0429-phoenix-tucson-0,19150429,0,Phoenix,6,Tucson,1,SWKHZSK
boxscores/1915/1915-EPH,1915,Rio Grande Association,0429-phoenix-tucson-0,19150429,0,Phoenix,6,Tucson,1,CYHRRGV
boxscores/1915/1915-AJ,1915,Rio Grande Association,0430-phoenix-tucson-0,19150430,0,Phoenix,7,Tucson,3,SPCPFDZ
boxscores/1915/1915-AR,1915,Rio Grande Association,0430-phoenix-tucson-0,19150430,0,Phoenix,7,Tucson,3,FFZRGGJ
boxscores/1915/1915-EPH,1915,Rio Grande Association,0430-phoenix-tucson-0,19150430,0,Phoenix,7,Tucson,3,HVRQBNR
boxscores/1915/1915-AJ,1915,Rio Grande Association,0501-elpaso-lascruces-0,19150501,0,Las Cruces,8,El Paso,5,WLZZSQX
boxscores/1915/1915-AR,1915,Rio Grande Association,0501-elpaso-lascruces-0,19150501,0,Las Cruces,8,El Paso,5,WSFDLLK
boxscores/1915/1915-EPH,1915,Rio Grande Association,0501-elpaso-lascruces-0,19150501,0,Las Cruces,8,El Paso,5,BRFJXWW
boxscores/1915/1915-AJ,1915,Rio Grande Association,0501-phoenix-tucson-0,19150501,0,Phoenix,,Tucson,,XGNFRSS
boxscores/1915/1915-AR,1915,Rio Grande Association,0501-phoenix-tucson-0,19150501,0,Phoenix,0,Tucson,3,LQFYCBF
boxscores/1915/1915-EPH,1915,Rio Grande Association,0501-phoenix-tucson-0,19150501,0,Phoenix,0,Tucson,3,GFTNHBQ
boxscores/1915/1915-AJ,1915,Rio Grande Association,0502-elpaso-lascruces-0,19150502,0,Las Cruces,19,El Paso,20,ZBBLDYV
boxscores/1915/1915-AR,1915,Rio Grande Association,0502-elpaso-lascruces-0,19150502,0,Las Cruces,19,El Paso,20,KPDMGHW
boxscores/1915/1915-EPH,1915,Rio Grande Association,0502-elpaso-lascruces-0,19150502,0,Las Cruces,19,El Paso,20,ZPPXXGT
boxscores/1915/1915-AJ,1915,Rio Grande Association,0502-phoenix-tucson-0,19150502,0,Phoenix,5,Tucson,3,YZWJRQW
boxscores/1915/1915-AR,1915,Rio Grande Association,0502-phoenix-tucson-0,19150502,0,Phoenix,5,Tucson,3,TLCKGMY
boxscores/1915/1915-EPH,1915,Rio Grande Association,0502-phoenix-tucson-0,19150502,0,Phoenix,5,Tucson,3,PKPXSJW
boxscores/1915/1915-AJ,1915,Rio Grande Association,0504-albuquerque-douglas-0,19150504,0,Douglas,6,Albuquerque,9,SFNJVTW
boxscores/1915/1915-AR,1915,Rio Grande Association,0504-albuquerque-douglas-0,19150504,0,Douglas,6,Albuquerque,9,BKDRYDX
boxscores/1915/1915-EPH,1915,Rio Grande Association,0504-albuquerque-douglas-0,19150504,0,Douglas,6,Albuquerque,9,JPCJRRW
boxscores/1915/1915-AJ,1915,Rio Grande Association,0504-elpaso-lascruces-0,19150504,0,Las Cruces,12,El Paso,7,XYDFDDV
boxscores/1915/1915-AR,1915,Rio Grande Association,0504-elpaso-lascruces-0,19150504,0,Las Cruces,12,El Paso,7,WRGHCGM
boxscores/1915/1915-EPH,1915,Rio Grande Association,0504-elpaso-lascruces-0,19150504,0,Las Cruces,12,El Paso,7,VJHRXRF
boxscores/1915/1915-AR,1915,Rio Grande Association,0504-phoenix-tucson-0,19150504,0,Tucson,0,Phoenix,5,HSKSZYY
boxscores/1915/1915-EPH,1915,Rio Grande Association,0504-phoenix-tucson-0,19150504,0,Tucson,0,Phoenix,5,GWDFRWS
boxscores/1915/1915-AJ,1915,Rio Grande Association,0504-phoenix-tucson-0,19150504,0,Phoenix,5,Tucson,0,MWQBKVG
boxscores/1915/1915-AJ,1915,Rio Grande Association,0505-albuquerque-douglas-0,19150505,0,Douglas,1,Albuquerque,11,JYLCVFD
boxscores/1915/1915-AR,1915,Rio Grande Association,0505-albuquerque-douglas-0,19150505,0,Douglas,1,Albuquerque,11,HMZHVTC
boxscores/1915/1915-EPH,1915,Rio Grande Association,0505-albuquerque-douglas-0,19150505,0,Douglas,1,Albuquerque,11,YSRNZRS
boxscores/1915/1915-AJ,1915,Rio Grande Association,0505-elpaso-lascruces-0,19150505,0,Las Cruces,6,El Paso,11,XZTJCBR
boxscores/1915/1915-AR,1915,Rio Grande Association,0505-elpaso-lascruces-0,19150505,0,Las Cruces,6,El Paso,11,DPLNXPR
boxscores/1915/1915-EPH,1915,Rio Grande Association,0505-elpaso-lascruces-0,19150505,0,Las Cruces,6,El Paso,11,YLDSGBL
boxscores/1915/1915-AJ,1915,Rio Grande Association,0505-phoenix-tucson-0,19150505,0,Tucson,1,Phoenix,4,YSMFMLX
boxscores/1915/1915-AR,1915,Rio Grande Association,0505-phoenix-tucson-0,19150505,0,Tucson,1,Phoenix,4,LYGCNNJ
boxscores/1915/1915-EPH,1915,Rio Grande Association,0505-phoenix-tucson-0,19150505,0,Tucson,1,Phoenix,4,JZLSCZG
boxscores/1915/1915-AJ,1915,Rio Grande Association,0506-albuquerque-douglas-0,19150506,0,Douglas,,Albuquerque,,MNJWYSC
boxscores/1915/1915-AR,1915,Rio Grande Association,0506-albuquerque-douglas-0,19150506,0,Douglas,,Albuquerque,,ZNJFGRP
boxscores/1915/1915-EPH,1915,Rio Grande Association,0506-albuquerque-douglas-0,19150506,0,Douglas,,Albuquerque,,VXBGYLP
boxscores/1915/1915-AJ,1915,Rio Grande Association,0506-elpaso-lascruces-0,19150506,0,Las Cruces,,El Paso,,JWNZKWK
boxscores/1915/1915-AR,1915,Rio Grande Association,0506-elpaso-lascruces-0,19150506,0,Las Cruces,,El Paso,,DNFFVMZ
boxscores/1915/1915-EPH,1915,Rio Grande Association,0506-elpaso-lascruces-0,19150506,0,Las Cruces,,El Paso,,MZYTBYS
boxscores/1915/1915-AJ,1915,Rio Grande Association,0506-phoenix-tucson-0,19150506,0,Tucson,1,Phoenix,3,VQTXXMX
boxscores/1915/1915-AR,1915,Rio Grande Association,0506-phoenix-tucson-0,19150506,0,Tucson,1,Phoenix,3,NTQNSHC
boxscores/1915/1915-EPH,1915,Rio Grande Association,0506-phoenix-tucson-0,19150506,0,Tucson,1,Phoenix,4,PHYCPFB
boxscores/1915/1915-AJ,1915,Rio Grande Association,0507-albuquerque-douglas-0,19150507,0,Douglas,5,Albuquerque,13,MHDXZZM
boxscores/1915/1915-AR,1915,Rio Grande Association,0507-albuquerque-douglas-0,19150507,0,Douglas,5,Albuquerque,13,PDXXMWF
boxscores/1915/1915-EPH,1915,Rio Grande Association,0507-albuquerque-douglas-0,19150507,0,Douglas,5,Albuquerque,13,VVZZTZJ
boxscores/1915/1915-AR,1915,Rio Grande Association,0507-elpaso-lascruces-0,19150507,0,Las Cruces,,El Paso,,FJNNXTH
boxscores/1915/1915-AJ,1915,Rio Grande Association,0507-phoenix-tucson-0,19150507,0,Tucson,4,Phoenix,6,BSVKWFL
boxscores/1915/1915-AR,1915,Rio Grande Association,0507-phoenix-tucson-0,19150507,0,Tucson,4,Phoenix,6,WCWPPDD
boxscores/1915/1915-EPH,1915,Rio Grande Association,0507-phoenix-tucson-0,19150507,0,Tucson,4,Phoenix,6,FCTMGTF
boxscores/1915/1915-AJ,1915,Rio Grande Association,0508-albuquerque-douglas-0,19150508,0,Douglas,5,Albuquerque,17,ZLJKQMW
boxscores/1915/1915-AR,1915,Rio Grande Association,0508-albuquerque-douglas-0,19150508,0,Douglas,5,Albuquerque,17,FPGBSGN
boxscores/1915/1915-EPH,1915,Rio Grande Association,0508-albuquerque-douglas-0,19150508,0,Douglas,5,Albuquerque,17,XQWRVDD
boxscores/1915/1915-AJ,1915,Rio Grande Association,0508-elpaso-lascruces-0,19150508,0,Las Cruces,4,El Paso,11,SWDHTDV
boxscores/1915/1915-AR,1915,Rio Grande Association,0508-elpaso-lascruces-0,19150508,0,Las Cruces,4,El Paso,11,KDJCMXZ
boxscores/1915/1915-EPH,1915,Rio Grande Association,0508-elpaso-lascruces-0,19150508,0,Las Cruces,4,El Paso,11,XHVWZTP
