source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Hamilton,1896,Canadian League,,B00013,Allen,,0,Galt,,,7,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20014,Allen,,0,Galt,,,,,,,,yes,,,,,,,7
minoraverages/Hamilton,1896,Canadian League,,B00021,Baker,Wm.,0,Hamilton,,,33,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20023,Baker,Wm.,0,Hamilton,,,,,,,,,,,,,yes,,33
minoraverages/Hamilton,1896,Canadian League,,B00037,Blakey,,0,Guelph,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20038,Blakey,,0,Guelph,,,,,,,,,,,,,,yes,1
minoraverages/Hamilton,1896,Canadian League,,P10019,Blakey,,0,Guelph,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00045,Bradford,George,0,Guelph,,,26,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20046,Bradford,George,0,Guelph,,,,,,,,,,,,,,,26
minoraverages/Hamilton,1896,Canadian League,,P10035,Bradford,George,0,Guelph,,,,21,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00059,Braham,,0,London,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20051,Braham,,0,London,,,,,,,,,,,,,,yes,2
minoraverages/Hamilton,1896,Canadian League,,P10024,Braham,,0,London,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00068,Burnett,,0,Galt,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20067,Burnett,,0,Galt,,,,,,,,,,,,,,yes,2
minoraverages/Hamilton,1896,Canadian League,,P10043,Burnette,,0,Galt,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00076,Carney,Mike,0,Guelph,,,17,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20072,Carney,Mike,0,Guelph,,,,,,,,,,,,,,yes,17
minoraverages/Hamilton,1896,Canadian League,,P10056,Carney,Mike,0,Guelph,,,,8,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00084,Chambers,Joe,0,Hamilton,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20080,Chambers,Joe,0,Hamilton,,,,,,,,,yes,,,,,,3
minoraverages/Hamilton,1896,Canadian League,,B00092,Clark,Leroy,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00092,Clark,Leroy,2,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00092,Clark,Leroy,T,,,,10,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20095,Clark,Leroy,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20095,Clark,Leroy,2,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20095,Clark,Leroy,T,,,,,,,,,,,,,,,,10
minoraverages/Hamilton,1896,Canadian League,,P10062,Clark,Leroy,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,P10062,Clark,Leroy,2,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,P10062,Clark,Leroy,T,,,,,7,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00101,Cockman,Jim,0,Guelph,,,16,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00117,Cockman,Tom,0,Galt,,,19,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20102,Cockman,Jim,0,Guelph,,,,,,,,yes,,,,,,,16
minoraverages/Hamilton,1896,Canadian League,,F20115,Cockman,Tom,0,Galt,,,,,,,,,,,,,,,19
minoraverages/Hamilton,1896,Canadian League,,B00125,Collins,Charles,0,Galt,,,17,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20128,Collins,Charles,0,Galt,,,,,,yes,,,,,,,,,17
minoraverages/Hamilton,1896,Canadian League,,M90047,Collins,Charles,,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00130,Congalton,Wm.,0,Guelph,,,31,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20131,Congalton,Wm.,0,Guelph,,,,,,,,,yes,,,,,,31
minoraverages/Hamilton,1896,Canadian League,,P10070,Congalton,William,0,Guelph,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00149,Crall,,0,Galt,,,25,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20144,Crall,,0,Galt,,,,,yes,,,,,,,,,,25
minoraverages/Hamilton,1896,Canadian League,,B00158,Dark,,0,Guelph,,,35,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20153,Dark,,0,Guelph,,,,,,,,,,,,,,,35
minoraverages/Hamilton,1896,Canadian League,,B00163,Davidson,,0,Galt,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20166,Davidson,,0,Galt,,,,,,,,yes,,,,,,,1
minoraverages/Hamilton,1896,Canadian League,,B00174,Dean,Jim,0,Hamilton,,,33,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20177,Dean,Jim,0,Hamilton,,,,,,,,,,,,,,,33
minoraverages/Hamilton,1896,Canadian League,,P10081,Dean,Jim,0,Hamilton,,,,10,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00182,Delaney,James,1,Guelph,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00182,Delaney,James,2,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00182,Delaney,James,T,,,,31,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20189,Delaney,James,1,Guelph,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20189,Delaney,James,2,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20189,Delaney,James,T,,,,,,,,,,,,,,,,31
minoraverages/Hamilton,1896,Canadian League,,B00196,Fisher,Roy,0,London,,,10,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20190,Fisher,Roy,0,London,,,,,,,,,,,,,,yes,10
minoraverages/Hamilton,1896,Canadian League,,P10097,Fisher,Roy,0,London,,,,10,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00207,Gallager,,0,Guelph,,,14,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20206,Gallager,,0,Guelph,,,,,,,,,,,,,,yes,14
minoraverages/Hamilton,1896,Canadian League,,P10100,Gallager,,0,Guelph,,,,11,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00210,Hanley,,0,Guelph,,,15,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20211,Hanley,,0,Guelph,,,,,,,,,yes,,,,,,15
minoraverages/Hamilton,1896,Canadian League,,B00229,Hewer,James,0,Guelph,,,23,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20222,Hewer,James,0,Guelph,,,,,,yes,,,,,,,,,23
minoraverages/Hamilton,1896,Canadian League,,M90018,Hewer,James,,Guelph,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00232,Hickey,,0,Galt,,,7,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20233,Hickey,,0,Galt,,,,,,,,yes,,,,,,,7
minoraverages/Hamilton,1896,Canadian League,,B00241,Hiscott,A.,1,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00241,Hiscott,A.,2,Hamilton,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00241,Hiscott,A.,T,,,,4,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20240,Hiscott,A.,1,London,,,,,,,,,yes,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20240,Hiscott,A.,2,Hamilton,,,,,,,,,yes,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20240,Hiscott,A.,T,,,,,,,,,,yes,,,,,,4
minoraverages/Hamilton,1896,Canadian League,,B00255,Hoffner,,0,Hamilton,,,27,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20254,Hoffner,,0,Hamilton,,,,,,,,,yes,,,,,,27
minoraverages/Hamilton,1896,Canadian League,,M90039,Holman,A.D.,,Hamilton,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00264,Humphrey,Frank,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00264,Humphrey,Frank,2,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00264,Humphrey,Frank,T,,,,32,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20265,Humphrey,Frank,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20265,Humphrey,Frank,2,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20265,Humphrey,Frank,T,,,,,,,,,,,,,,,,32
minoraverages/Hamilton,1896,Canadian League,,B00278,Hutchinson,James,0,London,,,13,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20279,Hutchinson,James,0,London,,,,,,,,,,,,yes,,,13
minoraverages/Hamilton,1896,Canadian League,,B00286,Hynd,Wm.,0,London,,,29,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20287,Hynd,Wm.,0,London,,,,,,,,,,,yes,,,,29
minoraverages/Hamilton,1896,Canadian League,,B00293,Jacob,Carl,0,London,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20298,Jacob,Carl,0,London,,,,,,,,,,,,,,yes,1
minoraverages/Hamilton,1896,Canadian League,,P10113,Jacob,Carl,0,London,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00308,Jennings,,0,Galt,,,13,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20303,Jennings,,0,Galt,,,,,,,,,,,,,,,13
minoraverages/Hamilton,1896,Canadian League,,P10121,Jennings,,0,Galt,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00319,Jones,Ernie,0,,,,13,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20316,Jones,Ernie,0,,,,,,,,,,,,,,,,13
minoraverages/Hamilton,1896,Canadian League,,B00324,Knowlton,E. B.,0,Hamilton,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20327,Knowlton,E. B.,0,Hamilton,,,,,,yes,,,,,,,,,1
minoraverages/Hamilton,1896,Canadian League,,B00335,Lauer,August,0,Guelph,,,35,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20334,Lauer,August,0,Guelph,,,,,yes,,,,,,,,,,35
minoraverages/Hamilton,1896,Canadian League,,B00343,Lyons,John,0,Galt,,,25,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20342,Lyons,John,0,Galt,,,,,,,,,,,,,,,25
minoraverages/Hamilton,1896,Canadian League,,B00356,MacDonald,Tom,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00356,MacDonald,Tom,2,Hamilton,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00356,MacDonald,Tom,T,,,,36,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20350,MacDonald,Tom,1,Galt,,,,,,,,,yes,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20350,MacDonald,Tom,2,Hamilton,,,,,,,,,yes,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20350,MacDonald,Tom,T,,,,,,,,,,yes,,,,,,36
minoraverages/Hamilton,1896,Canadian League,,B00362,Mallott,,0,Hamilton,,,22,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20369,Mallott,,0,Hamilton,,,,,,,,,,,,,,,22
minoraverages/Hamilton,1896,Canadian League,,B00381,McCowan,,0,Galt,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20388,McCowan,,0,Galt,,,,,,,,,yes,,,,,,2
minoraverages/Hamilton,1896,Canadian League,,B00370,McCracken,George,0,Guelph,,,15,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20375,McCracken,George,0,Guelph,,,,,,,,,yes,,,,,,15
minoraverages/Hamilton,1896,Canadian League,,B00397,McDermott,,0,Hamilton,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20391,McDermott,,0,Hamilton,,,,,,,,,,,,,,yes,3
minoraverages/Hamilton,1896,Canadian League,,P10137,McDermott,,0,Hamilton,,,,3,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00403,McElroy,Wm.,0,Guelph,,,34,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20401,McElroy,Wm.,0,Guelph,,,,,,,yes,,,,,,,,34
minoraverages/Hamilton,1896,Canadian League,,B00416,McGemwell,Malcolm,0,Hamilton,,,11,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20417,McGemwell,Malcolm,0,Hamilton,,,,,,,,,,,,,,yes,11
minoraverages/Hamilton,1896,Canadian League,,P10145,McGemwell,Malcolm,0,Hamilton,,,,11,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00427,McGinnis,Charles,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00427,McGinnis,Charles,2,Hamliton,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00427,McGinnis,Charles,T,,,,27,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20425,McGinnis,Charles,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20425,McGinnis,Charles,2,Hamliton,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20425,McGinnis,Charles,T,,,,,,,,,,,,,,,,27
minoraverages/Hamilton,1896,Canadian League,,P10159,McGinnis,Charles,1,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,P10159,McGinnis,Charles,2,Hamilton,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,P10159,McGinnis,Charles,T,,,,,23,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00434,Mertsch,Henry,0,London,,,22,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20430,Mertsch,Henry,0,London,,,,,,,,,yes,,,,,,22
minoraverages/Hamilton,1896,Canadian League,,B00442,Moore,,0,Hamilton,,,6,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20449,Moore,,0,Hamilton,,,,,,,,,,,,,,yes,6
minoraverages/Hamilton,1896,Canadian League,,P10168,Moore,,0,Hamilton,,,,6,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00450,Morrison,Mike,0,Hamilton,,,30,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20458,Morrison,Mike,0,Hamilton,,,,,,,,,,,,,,,30
minoraverages/Hamilton,1896,Canadian League,,P10176,Morrison,Mike,0,Hamilton,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00469,Murray,Bill,0,Galt,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20463,Murray,Bill,0,Galt,,,,,,,,,yes,,,,,,3
minoraverages/Hamilton,1896,Canadian League,,B00475,O'Connor,Frank,0,Hamilton,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20474,O'Connor,Frank,0,Hamilton,,,,,,,,,yes,,,,,,2
minoraverages/Hamilton,1896,Canadian League,,B00528,Peirce,,0,Hamilton,,,4,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20526,Peirce,,0,Hamilton,,,,,,,,,yes,,,,,,4
minoraverages/Hamilton,1896,Canadian League,,B00488,Pfeiffer,,0,Hamilton,,,27,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20482,Pfeiffer,,0,Hamilton,,,,,,,,,,,,,,,27
minoraverages/Hamilton,1896,Canadian League,,B00491,Pfenninger,Dan,0,Hamilton,,,32,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20496,Pfenninger,Dan,0,Hamilton,,,,,,,yes,,,,,,,,32
minoraverages/Hamilton,1896,Canadian League,,P10184,Pfenninger,Dan,0,Hamilton,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00502,Phails,,0,Galt,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20505,Phails,,0,Galt,,,,,,,,,,,,,,yes,1
minoraverages/Hamilton,1896,Canadian League,,P10192,Phails,,0,Galt,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00515,Philips,Mark,0,Hamilton,,,15,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20518,Philips,Mark,0,Hamilton,,,,,,,,yes,,,,,,,15
minoraverages/Hamilton,1896,Canadian League,,B00531,Player,Jack,0,Hamilton,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20539,Player,Jack,0,Hamilton,,,,,,,,,yes,,,,,,1
minoraverages/Hamilton,1896,Canadian League,,B00544,Plummer,James,0,London,,,9,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20547,Plummer,James,0,London,,,,,,,,,,,,,,,9
minoraverages/Hamilton,1896,Canadian League,,P10202,Plummer,James,0,London,,,,6,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00553,Powers,Mike,1,London,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00553,Powers,Mike,2,Galt,,,,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,B00553,Powers,Mike,T,,,,19,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20552,Powers,Mike,1,London,,,,,,,,,,,,,yes,,
minoraverages/Hamilton,1896,Canadian League,,F20552,Powers,Mike,2,Galt,,,,,,,,,,,,,yes,,
minoraverages/Hamilton,1896,Canadian League,,F20552,Powers,Mike,T,,,,,,,,,,,,,,yes,,19
minoraverages/Hamilton,1896,Canadian League,,B00566,Raferty,,0,Galt,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1896,Canadian League,,F20560,Raferty,,0,Galt,,,,,,,yes,,,,,,,,1
