source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1908/1908-MCA,1908,Arkansas State League,adams,P0587826,Adams,,,Brinkley,19080612,19080612,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1908/1908-MCA,1908,Arkansas State League,alexander,P4089425,Alexander,,,Hot Springs,19080614,19080622,3,3,0,0,0,0,0,0,0,0,0,3,
boxscores/1908/1908-MCA,1908,Arkansas State League,allen,P2391349,Allen,,,Poplar Bluff,19080421,19080519,5,5,0,0,0,0,0,0,0,0,0,5,
boxscores/1908/1908-MCA,1908,Arkansas State League,allison,P8095291,Allison,,,Poplar Bluff,19080425,19080425,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1908/1908-MCA,1908,Arkansas State League,ritter,P4596244,Arriter,,,Newport,19080601,19080601,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1908/1908-MCA,1908,Arkansas State League,bacon,P7137265,Bacon,,,Argenta,19080606,19080606,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1908/1908-MCA,1908,Arkansas State League,bumb,P9024619,Bamb,,,Helena,19080425,19080425,1,0,0,0,0,0,0,0,0,0,1,0,
minoraverages/1909Reach,1908,Arkansas State League,begley,B00343,Begley,,0,Helena,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Arkansas State League,begley,F20023,Begley,,0,Helena,,,,,yes,,,,,,,,,,
minoraverages/1909Reach,1908,Arkansas State League,benham,B00229,Benham,,0,Helena,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Arkansas State League,benham,F20526,Benham,,0,Helena,,,,,,,,,yes,,,,,,
boxscores/1908/1908-MCA,1908,Arkansas State League,bernstein,P3600131,Bernstein,,,Helena,19080522,19080612,6,6,0,0,0,0,0,0,0,0,0,6,
minoraverages/1909Reach,1908,Arkansas State League,bernstein,B00961,Bernstein,,0,Helena,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Arkansas State League,bernstein,F20832,Bernstein,,0,Helena,,,,,,,,,,,,,,yes,
boxscores/1908/1908-MCA,1908,Arkansas State League,berry,P7985227,Berry,,,Pine Bluff,19080515,19080704,25,0,0,0,0,0,0,0,0,0,25,0,
minoraverages/1909Reach,1908,Arkansas State League,berry,B00450,Berry,,0,Pine Bluff,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Arkansas State League,berer,F20919,Berry,,0,Pine Bluff,,,,,,,,,,,,,yes,,
boxscores/1908/1908-MCA,1908,Arkansas State League,besse,P9832015,Besse,,,Hot Springs,19080609,19080609,1,0,0,0,0,0,0,0,0,0,1,0,
minoraverages/1909Reach,1908,Arkansas State League,besse,B00013,Besse,,0,Hot Springs,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Arkansas State League,besse,F20539,Besse,,0,Hot Springs,,,,,,,,,yes,,,,,,
boxscores/1908/1908-MCA,1908,Arkansas State League,blackwood,P6266833,Blackwood,,,Newport,19080424,19080703,16,16,0,0,0,0,0,0,0,0,0,16,
minoraverages/1909Reach,1908,Arkansas State League,blackwood,B00397,Blackwood,,0,Newport,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Arkansas State League,blackwood,F20792,Blackwood,,0,Newport,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Arkansas State League,blackwood,P10215,Blackwood,,0,Newport,,,,,,,,,,,,,,,
boxscores/1908/1908-MCA,1908,Arkansas State League,blakeley,P7542342,Blakeley,,,Hot Springs,19080606,19080606,1,1,0,0,0,0,0,0,0,0,0,1,
minoraverages/1909Reach,1908,Arkansas State League,blakeley,F20474,Blakeley,,0,Hot Springs,,,,,,,,,yes,,,,,,
