source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Howard,1908,Central Association,adair,B00013,Adair,,0,Waterloo,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,akers,B00021,Akers,"Albert Earl ""Jerry""*",0,Jacksonville,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bagnall,B00037,Bagnall,"Robert B. ""Bob""",0,Waterloo,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,baumann,B00045,Baumann,"Charles J. ""Paddy""*",0,Oskaloosa,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,beckwith,B00059,Beckwith,Warren Wallace,0,Burlington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,behringer,B00068,Behringer,Ralph,0,Keokuk,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,belt,B00076,Belt,Frank T.,0,Keokuk,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,belt,M90039,Belt,Frank T.,,Keokuk,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bennett,B00084,Bennett,Fred M.,0,Quincy,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,berger,B00092,Berger,Joel W.,0,Ottumwa,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,berte,B00101,Berte,Harry T.*,0,Jacksonville,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,berte,M90026,Berte,Harry T.*,,Jacksonville,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bewalda,B00117,Bewalda,"Jacob ""Jay""",0,Ottumwa,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,blank,B00125,Blank,"Frank I. ""Coonie""*",1,Kewanee,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,blank,B00125,Blank,"Frank I. ""Coonie""*",2,Burlington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,blank,B00125,Blank,"Frank I. ""Coonie""*",3,Jacksonville,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,blank,B00125,Blank,"Frank I. ""Coonie""*",T,,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,blausser,B00130,Blausser,Roy,0,Jacksonville,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,boden,B00158,Boden,,0,Oskaloosa,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bosse,B00149,Bosse,Harry,0,Kewanee,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bosse,M90047,Bosse,Harry,,Kewanee,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,boyd,B00163,Boyd,"Raymond C. ""Ray""*",1,Keokuk,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,boyd,B00163,Boyd,"Raymond C. ""Ray""*",2,Burlington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,boyd,B00163,Boyd,"Raymond C. ""Ray""*",T,,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bradley-ott,B00174,Bradley,"James ""Jim""",0,Ottumwa,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bradley-keo+osk,B00182,Bradley,Roy,1,Keokuk,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bradley-keo+osk,B00182,Bradley,Roy,2,Oskaloosa,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bradley-keo+osk,B00182,Bradley,Roy,T,,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bramble,B00196,Bramble,Fred M.,0,Keokuk,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,breyette,B00207,Breyette,"Horace Andrew ""Mike""",0,Burlington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,brokaw,B00210,Brokaw,,0,Jacksonville,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bruggeman,B00229,Bruggeman,Frank H.,0,Burlington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,bunton,B00232,Bunton,John Neville,0,Quincy,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,burch,B00241,Burch,Lyman Streeter,0,Keokuk,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,burg-bur,B00255,Burg,"Joseph P. ""Joe""*",0,Burlington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,burg-kew,B00264,Burg,Peter J.,0,Kewanee,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,cady,B00278,Cady,"Forrest L. ""Hick""*",1,Kewanee,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,cady,B00278,Cady,"Forrest L. ""Hick""*",2,Ottumwa,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Central Association,cady,B00278,Cady,"Forrest L. ""Hick""*",T,,,,,,,,,,,,,,,,
