source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,abbott,B00912,Abbott,,0,New Castle,,,83,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,abbott,F21442,Abbott,,0,New Castle,,,,,,,,,,,75,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,alcock,B00319,Alcock,,0,East Liverpool,,,111,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,alcock,F20792,Alcock,,0,East Liverpool,,,,,,15,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,alcock,F21130,Alcock,,0,East Liverpool,,,,,,,,88,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,armstrong,B01250,Armstrong,,0,Akron,,,34,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,armstrong,F20334,Armstrong,,0,Akron,,,,,,,,,,,,,,34,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,armstrong,P10056,Armstrong,,0,Akron,,,,29,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bailey,B00101,Bailey,,0,Canton,,,119,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bailey,F21544,Bailey,,0,Canton,,,,,,,,,,,,108,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bails,B01093,Bails,,0,New Castle,,,47,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bails,F20970,Bails,,0,New Castle,,,,,,,45,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bair,F20342,Bair,,0,Sharon,,,,,,,,,,,,,,34,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bair,P10097,Bair,,0,Sharon,,,,32,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,baldwin,B01345,Baldwin,,0,Youngstown,,,26,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,baldwin,F20298,Baldwin,,0,Youngstown,,,,,,,,,,,,,,26,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,baldwin,P10176,Baldwin,,0,Youngstown,,,,26,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bales,B01384,Bales,,0,Canton,,,33,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bales,F20496,Bales,,0,Canton,,,,,,,,,,,,,,33,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bales,P10100,Bales,,0,Canton,,,,26,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,beecher,B00747,Beecher,,0,East Liverpool,,,67,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,beecher,F20768,Beecher,,0,East Liverpool,,,,,,55,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bero,B01156,Bero,,0,McKeesport,,,26,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bero,F21045,Bero,,0,McKeesport,,,,,,,,26,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,bair,B00502,Blair,,0,Sharon,,,45,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,breckenridge,F20211,Brackenridge,,0,Akron,,,,,,,,,,,,,,25,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,breckenridge,P10145,Brackenridge,,0,Akron,,,,22,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,braun,B00241,Braun,,0,McKeesport,,,107,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,braun,F20095,Braun,,0,McKeesport,,,,,,,,,,,,,81,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,braun,F20648,Braun,,0,McKeesport,,,,,20,,,,,,,,,,
researchers/blau,1908,Ohio-Pennsylvania League,braun,RHHDJKV,Braun,,,McKeesport,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,breckenridge,B00158,Breckenridge,,0,Akron,,,37,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,breen,B00488,Breen,,0,Akron,,,117,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,breen,F20745,Breen,,0,Akron,,,,,,117,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,brigger,B00232,Brigger,,0,New Castle,,,97,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,brigger,F20131,Brigger,,0,New Castle,,,,,,,,,,,,,93,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,brittsen,B01392,Brittsen,,0,Canton,,,26,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,brittsen,F20189,Brittsen,,0,Canton,,,,,,,,,,,,,,26,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,brittsen,P10113,Brittsen,,0,Canton,,,,23,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,broderick,B00589,Broderick,,0,Akron,,,116,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,broderick,F21000,Broderick,,0,Akron,,,,,,,,116,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,burridge,B01124,Burridge,,0,Youngstown,,,51,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,burridge,F20177,Burridge,,0,Youngstown,,,,,,,,,,,,,49,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,callahan,B00182,Callahan,,0,Akron,,,112,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,callahan,F21356,Callahan,,0,Akron,,,,,,,,,,,27,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,callahan,F21469,Callahan,,0,Akron,,,,,,,,,,,,83,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,camnitz,B01234,Camnitz,,0,New Castle,,,32,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,camnitz,F20505,Camnitz,,0,New Castle,,,,,,,,,,,,,,31,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,camnitz,P10137,Camnitz,,0,New Castle,,,,27,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,B00651,Carroll,,1,Canton,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,B00651,Carroll,,2,Akron,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,B00651,Carroll,,T,,,,30,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,F20369,Carroll,,1,Canton,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,F20369,Carroll,,2,Akron,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,F20369,Carroll,,T,,,,,,,,,,,,,,,29,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,P10081,Carroll,,1,Canton,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,P10081,Carroll,,2,Akron,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,carroll,P10081,Carroll,,T,,,,,26,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,castle,B00343,Castle,,0,Erie,,,74,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,castle,F21308,Castle,,0,Erie,,,,,,,,,,55,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,castle,F21531,Castle,,0,Erie,,,,,,,,,,,,19,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clark,B00370,Clark,,0,Sharon,,,65,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clark,F21324,Clark,,0,Sharon,,,,,,,,,,65,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,B00680,Clever,,1,New Castle,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,B00680,Clever,,2,Sharon,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,B00680,Clever,,T,,,,113,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,F20685,Clever,,1,New Castle,,,,,,yes,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,F20685,Clever,,2,Sharon,,,,,,yes,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,F20685,Clever,,T,,,,,,,68,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,F21013,Clever,,1,New Castle,,,,,,,,yes,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,F21013,Clever,,2,Sharon,,,,,,,,yes,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clever,F21013,Clever,,T,,,,,,,,,36,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clyde,B01275,Clyde,,0,Sharon,,,24,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clyde,F20190,Clyde,,0,Sharon,,,,,,,,,,,,,,24,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,clyde,P10253,Clyde,,0,Sharon,,,,23,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,cole,B00475,Cole,,0,Erie,,,120,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,cole,F21434,Cole,,0,Erie,,,,,,,,,,,105,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,colligan,B00623,Colligan,,1,Erie,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,colligan,B00623,Colligan,,2,Youngstown,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,colligan,B00623,Colligan,,T,,,,77,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,colligan,F21021,Colligan,,1,Erie,,,,,,,,yes,,,,,,,
minoraverages/1909Reach,1908,Ohio-Pennsylvania League,colligan,F21021,Colligan,,2,Youngstown,,,,,,,,yes,,,,,,,
