source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1909Reach,1908,Ohio State League,,B00416,Abbott,,0,Newark,,,149,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20768,Abbott,,0,Newark,,,,,,,,,149,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00718,Anderson,,0,Marion,,,87,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20102,Anderson,,0,Marion,,,,,,,,,,,,,70,,
minoraverages/1909Reach,1908,Ohio State League,,F21013,Anderson,,0,Marion,,,,,,,,,12,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00068,Bailey,H.,0,Mansfield,,,45,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B01135,Bailey,W.,0,Portsmouth,,,18,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F21125,Bailey,H.,0,Mansfield,,,,,,,,,,,,,,42,
minoraverages/1909Reach,1908,Ohio State League,,F21158,Bailey,W.,0,Portsmouth,,,,,,,,,,,,,,18,
minoraverages/1909Reach,1908,Ohio State League,,P10137,Bailey,H.,0,Mansfield,,,,37,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,P10312,Bailey,W.,0,Portsmouth,,,,18,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00920,Benny,,0,Portsmouth,,,22,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20080,Benny,,0,Portsmouth,,,,,,,,,,,,,19,,
minoraverages/1909Reach,1908,Ohio State League,,B00293,Biery,,0,Mansfield,,,152,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20211,Biery,,0,Mansfield,,,,,152,,,,,,,,,,
researchers/morris,1908,Ohio State League,,RNWNLHJ,Blanchard,,,Newark,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00531,Bohannon,,0,Portsmouth,,,81,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20391,Bohannon,,0,Portsmouth,,,,,,81,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00705,Breymaier,,0,Mansfield,,,100,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20051,Breymaier,,0,Mansfield,,,,,,,,,,,,,99,,
minoraverages/1909Reach,1908,Ohio State League,,B00255,Brown,,0,Lancaster,,,152,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00985,Brown,,0,Marion,,,29,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20327,Brown,,0,Lancaster,,,,,,152,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F21207,Brown,,0,Marion,,,,,,,,,,,,,,28,
minoraverages/1909Reach,1908,Ohio State League,,P10121,Brown,,0,Marion,,,,28,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B01007,Bucholz,,0,Mansfield,,,144,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F21210,Bucholz,,0,Mansfield,,,,,,,,,,,,,,37,
minoraverages/1909Reach,1908,Ohio State League,,P10062,Bucholz,,0,Mansfield,,,,36,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00887,Burk,,0,Marion,,,56,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20829,Burk,,0,Marion,,,,,,,,,14,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F21286,Burk,,0,Marion,,,,,,,,,,,,,,39,
minoraverages/1909Reach,1908,Ohio State League,,P10168,Burk,,0,Marion,,,,37,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00149,Burke,,1,Mansfield,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00149,Burke,,2,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00149,Burke,,T,,,,79,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20776,Burke,,1,Mansfield,,,,,,,,,yes,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20776,Burke,,2,Portsmouth,,,,,,,,,yes,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20776,Burke,,T,,,,,,,,,,79,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00667,Burt,,0,Portsmouth,,,74,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20878,Burt,,0,Portsmouth,,,,,,,,,74,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B01078,Bushelman,,1,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B01078,Bushelman,,2,Newark,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B01078,Bushelman,,T,,,,24,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F21335,Bushelman,,1,Portsmouth,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Ohio State League,,F21335,Bushelman,,2,Newark,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Ohio State League,,F21335,Bushelman,,T,,,,,,,,,,,,,,,24,
minoraverages/1909Reach,1908,Ohio State League,,P10290,Bushelman,,1,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,P10290,Bushelman,,2,Newark,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,P10290,Bushelman,,T,,,,,24,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00898,Calhoun,,0,Lancaster,,,77,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20700,Calhoun,,0,Lancaster,,,,,,,,,74,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,B00210,Carter,,0,Lancaster,,,152,,,,,,,,,,,,
minoraverages/1909Reach,1908,Ohio State League,,F20935,Carter,,0,Lancaster,,,,,,,,,152,,,,,,
