source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00760,Andrews,,0,Grafton,,,12,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F20051,Andrews,,0,Grafton,,,,,,,,,,,,,,12,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00887,Bailes,,0,Grafton,,,50,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F20855,Bailes,,0,Grafton,,,,,,,,50,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00544,Birmingham,,0,Connellsville,,,68,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F20759,Birmingham,,0,Connellsville,,,,,,,68,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00469,Blanchard,,0,Connellsville,,,34,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F20233,Blanchard,,0,Connellsville,,,,,,,,,,,,,,34,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00936,Boland,,0,Grafton,,,35,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F20474,Boland,,0,Grafton,,,,,,,,,,,,,35,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00229,Bowman,,0,Uniontown,,,8,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F21101,Bowman,,0,Uniontown,,,,,,,,,8,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B01055,Cadugan,,0,Connellsville,,,10,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F20463,Cadugan,,0,Connellsville,,,,,,,,,,,,,50,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00638,Calhoun,,0,Connellsville,,,42,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F21068,Calhoun,,0,Connellsville,,,,,,,,,42,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00416,Cannon,,0,Connellsville,,,30,,,,,,,,,,,,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,F20222,Cannon,,0,Connellsville,,,,,,,,,,,,,,30,
minoraverages/1909Reach,1908,Pennsylvania-West Virginia League,,B00957,Carbbe,,0,Grafton,,,9,,,,,,,,,,,,
