source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1909Reach,1908,South Carolina League,,B00264,Asbury,,0,Sumter,,,67,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00614,Asbury,,0,all,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,F20287,Asbury,,0,Sumter,,,,,,,,,41,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00566,Asper,,0,Rock Hill,,,41,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,F20594,Asper,,0,Rock Hill,,,,,,,,,,,,,39,,
minoraverages/1909Reach,1908,South Carolina League,,B00469,Averett,,1,Orangeburg,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00469,Averett,,2,Chester,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00469,Averett,,T,,,,35,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,F20482,Averett,,1,Orangeburg,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,South Carolina League,,F20482,Averett,,2,Chester,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,South Carolina League,,F20482,Averett,,T,,,,,,,,,,,,,,,25,
minoraverages/1909Reach,1908,South Carolina League,,P10070,Averett,,1,Orangeburg,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,P10070,Averett,,2,Chester,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,P10070,Averett,,T,,,,,23,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00502,Biel,,0,Chester,,,26,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,F20417,Biel,,0,Chester,,,,,,,,,,,,,,20,
minoraverages/1909Reach,1908,South Carolina League,,P10113,Biel,,0,Chester,,,,18,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00590,Bissell,,0,Rock Hill,,,18,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,F20153,Bissell,,0,Rock Hill,,,,,,,18,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00515,Blanton,,0,Rock Hill,,,71,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00747,Blanton,,0,all,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,F20334,Blanton,,0,Rock Hill,,,,,,,,,71,,,,,,
minoraverages/1909Reach,1908,South Carolina League,,B00589,Board,,1,Sumter,,,,,,,,,,,,,,,
