source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1909Reach,1908,South Michigan League,,B00488,Andrews,,0,Kalamazoo,,,118,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,F21207,Andrews,,0,Kalamazoo,,,,,,,118,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,B01291,Balliett,,0,Lansing,,,15,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,F20745,Balliett,,0,Lansing,,,,,,,,,,,,,,15,
minoraverages/1909Reach,1908,South Michigan League,,P10289,Balliett,,0,Lansing,,,,13,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,B00335,Barker,,0,Bay City,,,11,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,F20316,Barker,,0,Bay City,,,,,,,,,11,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,B00854,Beales,,0,Saginaw,,,11,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,F20115,Beales,,0,Saginaw,,,,,,,,,11,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,B00117,Beard,,0,Jackson,,,87,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,F20829,Beard,,0,Jackson,,,,,,,,,,,,,87,,
minoraverages/1909Reach,1908,South Michigan League,,B00515,Bell,,0,Kalamazoo,,,127,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,F21059,Bell,,0,Kalamazoo,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,B00232,Bensley,,0,Bay City,,,110,,,,,,,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,F20287,Bensley,,0,Bay City,,,,,,,,,110,,,,,,
minoraverages/1909Reach,1908,South Michigan League,,F20265,Beuchner,,0,Flint,,,,,,,,,22,,,,,,
