source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1908/1908-MCA,1908,Southern Association,ables,P2379870,Ables,,,Birmingham,19080423,19080502,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1908/1908-MCA,1908,Southern Association,baerwald,P9242516,B'rwaeld,,,Memphis,19080605,19080605,1,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1908/1908-MCA,1908,Southern Association,babb,P3259219,Babb,,,Memphis,19080417,19080607,44,0,0,0,41,3,0,0,0,0,0,0,
boxscores/1908/1908-MCA,1908,Southern Association,baerwald,P0913454,Baerwald,,,Memphis,19080531,19080607,6,0,0,0,0,0,6,0,0,6,0,0,
boxscores/1908/1908-MCA,1908,Southern Association,bartley,P2020074,Bartley,,,New Orleans,19080420,19080605,12,10,0,0,0,0,0,0,0,0,0,10,
boxscores/1908/1908-MCA,1908,Southern Association,baxter,P3568304,Baxter,,,Montgomery,19080416,19080607,35,0,35,0,0,0,0,0,0,0,0,0,
boxscores/1908/1908-MCA,1908,Southern Association,bay,P2899707,Bay,,,Nashville,19080514,19080606,18,0,0,0,0,0,18,18,0,0,0,0,
boxscores/1908/1908-MCA,1908,Southern Association,baerwald,P0597166,Bearwald,,,Memphis,19080530,19080530,2,0,0,0,2,0,0,0,0,0,0,0,
boxscores/1908/1908-MCA,1908,Southern Association,becker-mob,P8762397,Becker,,,Mobile,19080419,19080606,4,4,0,0,0,0,0,0,0,0,0,4,
boxscores/1908/1908-MCA,1908,Southern Association,becker-atl,P8794922,Becker,,,Atlanta,19080416,19080602,37,0,0,0,0,0,37,0,1,36,0,0,
boxscores/1908/1908-MCA,1908,Southern Association,becker-mob,P6216031,Beeker,,,Mobile,19080422,19080602,8,8,0,0,0,0,0,0,0,0,0,8,
boxscores/1908/1908-MCA,1908,Southern Association,benson,P1419542,Benson,,,Mobile,19080415,19080607,43,0,0,0,43,0,0,0,0,0,0,0,
boxscores/1908/1908-MCA,1908,Southern Association,bergman,P1020518,Bergman,,,Montgomery,19080523,19080605,4,4,0,0,0,0,0,0,0,0,0,4,
boxscores/1908/1908-MCA,1908,Southern Association,bliss,P2695783,Bliss,,,Montgomery,19080507,19080607,13,5,7,0,0,0,0,0,0,0,0,5,
boxscores/1908/1908-MCA,1908,Southern Association,breitenstein,P6630211,Breitenstein,,,New Orleans,19080501,19080530,6,5,0,0,0,0,1,0,0,1,0,5,
boxscores/1908/1908-MCA,1908,Southern Association,buchanan,P8101302,Buchanan,,,Little Rock,19080419,19080604,11,11,0,0,0,0,0,0,0,0,0,11,
boxscores/1908/1908-MCA,1908,Southern Association,burkett,P7912696,Burkett,,,New Orleans,19080418,19080518,7,7,0,0,0,0,0,0,0,0,0,7,
boxscores/1908/1908-MCA,1908,Southern Association,butler,P0403885,Butler,,,Nashville,19080416,19080606,38,0,0,37,1,0,0,0,0,0,0,0,
