source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1909Reach,1908,Virginia League,anthony,B00920,Anthony,,0,Lynchburg,,,42,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,anthony,F20571,Anthony,,0,Lynchburg,,,,,,,,,42,,,,,,
minoraverages/1909Reach,1908,Virginia League,archer,P10159,Archer,,0,Richmond,,,,8,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,armstrong,B00566,Armstrong,,0,Lynchburg,,,37,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,armstrong,F20661,Armstrong,,0,Lynchburg,,,,,,,,,37,,,,,,
minoraverages/1909Reach,1908,Virginia League,bentley,B00059,Bentley,,0,Lynchburg,,,50,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bentley,F20080,Bentley,,0,Lynchburg,,,,,,,,,,,,,48,,
minoraverages/1909Reach,1908,Virginia League,bertram,B00362,Bertram,,1,Norfolk,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bertram,B00362,Bertram,,2,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bertram,B00362,Bertram,,T,,,,16,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bertram,F21076,Bertram,,1,Norfolk,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Virginia League,bertram,F21076,Bertram,,2,Portsmouth,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Virginia League,bertram,F21076,Bertram,,T,,,,,,,,,,,,,,,12,
minoraverages/1909Reach,1908,Virginia League,bertram,P10432,Bertram,,1,Norfolk,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bertram,P10432,Bertram,,2,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bertram,P10432,Bertram,,T,,,,,11,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,billet,B00117,Billet,,0,Portsmouth,,,59,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,billet,F20612,Billet,,0,Portsmouth,,,,,,,,,59,,,,,,
minoraverages/1909Reach,1908,Virginia League,bonner,B00163,Bonner,,0,Norfolk,,,123,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bonner,F20287,Bonner,,0,Norfolk,,,,,,123,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bowen,B00416,Bowen,,0,Lynchburg,,,129,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,bowen,F20334,Bowen,,0,Lynchburg,,,,,,129,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyd,B00985,Boyd,,1,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyd,B00985,Boyd,,2,Richmond,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyd,B00985,Boyd,,T,,,,17,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyd,F20265,Boyd,,1,Portsmouth,,,,,yes,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyd,F20265,Boyd,,2,Richmond,,,,,yes,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyd,F20265,Boyd,,T,,,,,,16,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyle,B00948,Boyle,,1,Richmond,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyle,B00948,Boyle,,2,Roanoke,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyle,B00948,Boyle,,3,Norfolk,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyle,B00948,Boyle,,T,,,,69,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,boyle,F20115,Boyle,,1,Richmond,,,,,,,,,,,,,yes,,
minoraverages/1909Reach,1908,Virginia League,boyle,F20115,Boyle,,2,Roanoke,,,,,,,,,,,,,yes,,
minoraverages/1909Reach,1908,Virginia League,boyle,F20115,Boyle,,T,,,,,,,,,,,,,,65,,
minoraverages/1909Reach,1908,Virginia League,brennan,B00898,Brennan,,0,Portsmouth,,,58,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,brennan,F20768,Brennan,,0,Portsmouth,,,,,,,,,58,,,,,,
minoraverages/1909Reach,1908,Virginia League,brodie,B00475,Brodie,,1,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,brodie,B00475,Brodie,,2,Norfolk,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,brodie,B00475,Brodie,,T,,,,51,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,brodie,F20505,Brodie,,1,Portsmouth,,,,,,,,,yes,,,,,,
minoraverages/1909Reach,1908,Virginia League,brodie,F20505,Brodie,,2,Norfolk,,,,,,,,,yes,,,,,,
minoraverages/1909Reach,1908,Virginia League,brodie,F20505,Brodie,,T,,,,,,,,,,51,,,,,,
minoraverages/1909Reach,1908,Virginia League,buckley,P10633,Buckley,,0,Portsmouth,,,,1,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,burns,B00528,Burns,,0,Portsmouth,,,10,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,burns,F20153,Burns,,0,Portsmouth,,,,,,,,,,,,,10,,
minoraverages/1909Reach,1908,Virginia League,bussey,P10035,Bussey,,0,Richmond,,,,4,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,byrd,B00609,Byrd,,0,Lynchburg,,,36,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,byrd,F20369,Byrd,,0,Lynchburg,,,,,,,12,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,byrd,F21232,Byrd,,0,Lynchburg,,,,,,,,24,,,,,,,
minoraverages/1909Reach,1908,Virginia League,carroll,B01010,Carroll,,0,Norfolk,,,20,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,carroll,F20935,Carroll,,0,Norfolk,,,,,,,,,,,,,,18,
minoraverages/1909Reach,1908,Virginia League,carroll,P10373,Carroll,,0,Norfolk,,,,20,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,carter,B00973,Carter,,0,Portsmouth,,,18,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,carter,F20829,Carter,,0,Portsmouth,,,,,,,,,,,,,,18,
minoraverages/1909Reach,1908,Virginia League,carter,P10277,Carter,,0,Portsmouth,,,,18,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,cassidy,P10542,Cassidy,,0,Portsmouth,,,,2,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chancellor,P10679,Chancellor,,0,Norfolk,,,,1,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chenault,B01093,Chenault,,1,Norfolk,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chenault,B01093,Chenault,,2,Richmond,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chenault,B01093,Chenault,,3,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chenault,B01093,Chenault,,T,,,,19,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chenault,F20997,Chenault,,1,Norfolk,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Virginia League,chenault,F20997,Chenault,,2,Portsmouth,,,,,,,,,,,,,,yes,
minoraverages/1909Reach,1908,Virginia League,chenault,F20997,Chenault,,T,,,,,,,,,,,,,,,19,
minoraverages/1909Reach,1908,Virginia League,chenault,P10289,Chenault,,1,Norfolk,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chenault,P10289,Chenault,,2,Richmond,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chenault,P10289,Chenault,,3,Portsmouth,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,chenault,P10289,Chenault,,T,,,,,19,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,clark,B00488,Clark,,0,Roanoke,,,48,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,clark,F20745,Clark,,0,Roanoke,,,,,,,,,47,,,,,,
minoraverages/1909Reach,1908,Virginia League,clayton,B00125,Clayton,,0,Roanoke,,,69,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,clayton,F20350,Clayton,,0,Roanoke,,,,,,69,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,conover,P10527,Conover,,0,Portsmouth,,,,2,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,cowan,B00335,Cowan,,0,Richmond,,,69,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,cowan,F20014,Cowan,,0,Richmond,,,,,,,,,,,,,62,,
minoraverages/1909Reach,1908,Virginia League,cummings,B01124,Cummings,,0,Norfolk,,,38,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,cummings,F20807,Cummings,,0,Norfolk,,,,,,,,,35,,,,,,
minoraverages/1909Reach,1908,Virginia League,cummings,P10503,Cummings,,0,Norfolk,,,,3,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,davis,B00553,Davis,,0,Lynchburg,,,82,,,,,,,,,,,,
minoraverages/1909Reach,1908,Virginia League,davis,F20700,Davis,,0,Lynchburg,,,,,,,,,81,,,,,,
minoraverages/1909Reach,1908,Virginia League,diebold,P10665,Diebold,,0,Roanoke,,,,1,,,,,,,,,,,
