source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F20745,Anklam,,0,Oshkosh,,,,,,107,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00898,Anklem,,0,Oshkosh,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00343,Armstrong,,0,Madison,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F20935,Armstrong,,0,Madison,,,,,,,119,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00491,Baker,,0,Wausau,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F21450,Baker,,0,Wausau,,,,,,,,,17,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B01170,Ballies,,0,La Crosse,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F20463,Ballies,,0,La Crosse,,,,,,,,,,,,,,36,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00544,Barlow,,0,Freeport,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F20620,Barlow,,0,Freeport,,,,,126,,,,,,,,,,
researchers/blau,1908,Wisconsin-Illinois League,,NQWDPLV,Barlow,Miles,,Freeport,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00783,Bartos,,0,Wausau,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F20430,Bartos,,0,Wausau,,,,,,,,,,,,,,27,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00130,Bauer,,0,Oshkosh,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F21158,Bauer,,0,Oshkosh,,,,,,,,,106,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00623,Becker,,0,La Crosse,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F21021,Becker,,0,La Crosse,,,,,,,,118,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00948,Beumiller,,0,Wausau,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F21068,Beumiller,,0,Wausau,,,,,,,,100,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F21427,Biexrud,,0,Rockford,,,,,,,,,76,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B01119,Bioxrend,,0,Rockford,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B01300,Boland,,0,Rockford,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F21163,Boland,,0,Rockford,,,,,,,,,15,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,B00502,Bond,,0,La Crosse,,,,,,,,,,,,,,,
minoraverages/1909Reach,1908,Wisconsin-Illinois League,,F20810,Bond,,0,La Crosse,,,,,,104,,,,,,,,,
