source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1911Reach,1910,Eastern League,abstein,F20046,Abstein,,0,Jersey City,,,,,118,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,abstein,B00450,Abstiein,,0,Jersey City,,,118,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,adkins,B01625,Adkins,,0,Baltimore,,,37,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,adkins,F21672,Adkins,,0,Baltimore,,,,,,,,,,,,,,37,
minoraverages/1911Reach,1910,Eastern League,adkins,P10336,Adkins,,0,Baltimore,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,agier,F20095,Agier,,0,Newark,,,,,144,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,agier,B01143,Agler,,0,Newark,,,144,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,alperman,B00491,Alperman,,0,Rochester,,,149,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,alperman,F20334,Alperman,,0,Rochester,,,,,,89,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,alperman,F20463,Alperman,,0,Rochester,,,,,,,59,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,anderson,B01546,Anderson,,0,Rochester,,,48,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,anderson,F20721,Anderson,,0,Rochester,,,,,,,,,,34,,,,,
minoraverages/1911Reach,1910,Eastern League,arndt,B00577,Arndt,,0,Providence,,,120,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,arndt,F20014,Arndt,,0,Providence,,,,,42,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,arndt,F20279,Arndt,,0,Providence,,,,,,26,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,arndt,F20518,Arndt,,0,Providence,,,,,,,36,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,atz,B00566,Atz,,0,Providence,,,129,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,atz,F20233,Atz,,0,Providence,,,,,,101,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,atz,F20594,Atz,,0,Providence,,,,,,,,25,,,,,,,
researchers/mcconnell,1910,Eastern League,atz,SDYZMYH,Atz,Jake,,Providence,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,bailey,B01359,Bailey,,0,Montreal,,,21,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,bailey,F21182,Bailey,,0,Montreal,,,,,,,,,,,,18,,,
minoraverages/1911Reach,1910,Eastern League,barberich,B01663,Barberich,,0,Providence,,,24,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,barberich,F21528,Barberich,,0,Providence,,,,,,,,,,,,,,21,
minoraverages/1911Reach,1910,Eastern League,barberich,P10478,Barberich,,0,Providence,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,bartley,B01798,Bartley,,0,Jersey City,,,23,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,bartley,F21553,Bartley,,0,Jersey City,,,,,,,,,,,,,,23,
minoraverages/1911Reach,1910,Eastern League,bartley,P10441,Bartley,,0,Jersey City,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,batch,B00232,Batch,,0,Rochester,,,134,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,batch,F20430,Batch,,0,Rochester,,,,,,,30,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,batch,F20792,Batch,,0,Rochester,,,,,,,,,,75,,,,,
minoraverages/1911Reach,1910,Eastern League,batch,F21174,Batch,,0,Rochester,,,,,,,,,,,,25,,,
minoraverages/1911Reach,1910,Eastern League,beecher,B00319,Beecher,,0,Rochester,,,18,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,beecher,F21747,Beecher,,0,Rochester,,,,,,,,,,,,,,10,
minoraverages/1911Reach,1910,Eastern League,beecher,P10062,Beecher,,0,Rochester,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,blair,B00502,Blair,,0,Rochester,,,146,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,blair,F21912,Blair,,0,Rochester,,,,,,,,,,,,,145,,
minoraverages/1911Reach,1910,Eastern League,brain,B00887,Brain,,0,Buffalo,,,31,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,brain,F20505,Brain,,0,Buffalo,,,,,,,31,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,brodie,B01041,Brodie,,0,Newark,,,11,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,browne,B00623,Browne,,0,Newark,,,40,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,browne,F21068,Browne,,0,Newark,,,,,,,,,,,24,,,,
minoraverages/1911Reach,1910,Eastern League,browne,F21232,Browne,,0,Newark,,,,,,,,,,,,13,,,
minoraverages/1911Reach,1910,Eastern League,burchell,B01711,Burchell,,1,Buffalo,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,burchell,B01711,Burchell,,2,Montreal,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,burchell,B01711,Burchell,,T,,,,41,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,burchell,F21695,Burchell,,1,Buffalo,,,,,,,,,,,,,,yes,
minoraverages/1911Reach,1910,Eastern League,burchell,F21695,Burchell,,2,Montreal,,,,,,,,,,,,,,yes,
minoraverages/1911Reach,1910,Eastern League,burchell,F21695,Burchell,,T,,,,,,,,,,,,,,,37,
minoraverages/1911Reach,1910,Eastern League,burchell,P10253,Burchell,,1,Buffalo,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,burchell,P10253,Burchell,,2,Montreal,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,burchell,P10253,Burchell,,T,,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,butler,B01162,Butler,,0,Jersey City,,,65,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,butler,F22012,Butler,,0,Jersey City,,,,,,,,,,,,,59,,
minoraverages/1911Reach,1910,Eastern League,byers,B00651,Byers,,0,Baltimore,,,79,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,byers,F22004,Byers,,0,Baltimore,,,,,,,,,,,,,69,,
minoraverages/1911Reach,1910,Eastern League,camnitz,B01415,Camnitz,,0,Jersey City,,,31,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,camnitz,F21667,Camnitz,,0,Jersey City,,,,,,,,,,,,,,31,
minoraverages/1911Reach,1910,Eastern League,camnitz,P10486,Camnitz,,0,Jersey City,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,carmichael,B01010,Carmichael,,0,Buffalo,,,40,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,carmichael,F21718,Carmichael,,0,Buffalo,,,,,,,,,,,,,,29,
minoraverages/1911Reach,1910,Eastern League,carmichael,P10289,Carmichael,,0,Buffalo,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,carroll,B01444,Carroll,,0,Toronto,,,27,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,carroll,F21806,Carroll,,0,Toronto,,,,,,,,,,,,,,26,
minoraverages/1911Reach,1910,Eastern League,carroll,P10231,Carroll,,0,Toronto,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,castle,B00416,Castle,,0,Rochester,,,11,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,castle,F20878,Castle,,0,Rochester,,,,,,,,,,10,,,,,
minoraverages/1911Reach,1910,Eastern League,catiz,B01392,Catiz,,0,Baltimore,,,22,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,catiz,F20560,Catiz,,0,Baltimore,,,,,,,22,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,clancy,B00739,Clancy,,0,Baltimore,,,107,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,clancy,F20115,Clancy,,0,Baltimore,,,,,107,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cleary,B00999,Cleary,,0,Montreal,,,5,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cleary,B01428,Cleary,,0,Newark,,,10,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cleary,P10192,Cleary,,0,Newark,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,clement,B00403,Clement,,0,Jersey City,,,122,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,clement,F20810,Clement,,0,Jersey City,,,,,,,,,,110,,,,,
minoraverages/1911Reach,1910,Eastern League,cockill,B01156,Cockill,,0,Montreal,,,132,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cockill,F20051,Cockill,,0,Montreal,,,,,121,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,collins,B00912,Collins,,0,Providence,,,121,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,collins,F20458,Collins,,0,Providence,,,,,,,117,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,corcoran,B00264,Corcoran,,1,Montreal,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,corcoran,B00264,Corcoran,,2,Buffalo,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,corcoran,B00264,Corcoran,,T,,,,128,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,corcoran,F20539,Corcoran,,1,Montreal,,,,,,,yes,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,corcoran,F20539,Corcoran,,2,Buffalo,,,,,,,yes,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,corcoran,F20539,Corcoran,,T,,,,,,,,95,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,corcoran,F21324,Corcoran,,0,Montreal,,,,,,,,,,,,23,,,
minoraverages/1911Reach,1910,Eastern League,corey,B00638,Corey,,0,Toronto,,,20,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,corey,F21840,Corey,,0,Toronto,,,,,,,,,,,,,,20,
minoraverages/1911Reach,1910,Eastern League,corey,P10215,Corey,,0,Toronto,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,courtney,B01029,Courtney,,0,Providence,,,78,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,courtney,F20153,Courtney,,0,Providence,,,,,75,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crisp,B01368,Crisp,,0,Newark,,,60,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crisp,F21973,Crisp,,0,Newark,,,,,,,,,,,,,60,,
minoraverages/1911Reach,1910,Eastern League,crist,B01345,Crist,,0,Jersey City,,,66,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crist,F21957,Crist,,0,Jersey City,,,,,,,,,,,,,66,,
minoraverages/1911Reach,1910,Eastern League,cronin,B01119,Cronin,,1,Providence,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cronin,B01119,Cronin,,2,Buffalo,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cronin,B01119,Cronin,,T,,,,19,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cronin,F21854,Cronin,,1,Providence,,,,,,,,,,,,,,yes,
minoraverages/1911Reach,1910,Eastern League,cronin,F21854,Cronin,,2,Buffalo,,,,,,,,,,,,,,yes,
minoraverages/1911Reach,1910,Eastern League,cronin,F21854,Cronin,,T,,,,,,,,,,,,,,,18,
minoraverages/1911Reach,1910,Eastern League,cronin,P10464,Cronin,,1,Providence,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cronin,P10464,Cronin,,2,Buffalo,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,cronin,P10464,Cronin,,T,,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crooks,B01086,Crooks,,0,Jersey City,,,21,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crooks,F20144,Crooks,,0,Jersey City,,,,,20,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crowley,B01181,Crowley,,1,Providence,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crowley,B01181,Crowley,,2,Montreal,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crowley,B01181,Crowley,,T,,,,16,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crowley,F21822,Crowley,,1,Providence,,,,,,,,,,,,,,yes,
minoraverages/1911Reach,1910,Eastern League,crowley,F21822,Crowley,,2,Montreal,,,,,,,,,,,,,,yes,
minoraverages/1911Reach,1910,Eastern League,crowley,F21822,Crowley,,T,,,,,,,,,,,,,,,16,
minoraverages/1911Reach,1910,Eastern League,crowley,P10399,Crowley,,1,Providence,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crowley,P10399,Crowley,,2,Montreal,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,crowley,P10399,Crowley,,T,,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,curtis,B00985,Curtis,,0,Montreal,,,70,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,curtis,F21961,Curtis,,0,Montreal,,,,,,,,,,,,,49,,
minoraverages/1911Reach,1910,Eastern League,dank,B01658,Dank,,0,Buffalo,,,7,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deal,B01288,Deal,,1,Toronto,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deal,B01288,Deal,,2,Montreal,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deal,B01288,Deal,,T,,,,56,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deal,F20072,Deal,,1,Toronto,,,,,yes,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deal,F20072,Deal,,2,Montreal,,,,,yes,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deal,F20072,Deal,,3,Buffalo,,,,,yes,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deal,F20072,Deal,,T,,,,,,56,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deininger,B00130,Deininger,,1,Rochester,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deininger,B00130,Deininger,,2,Jersey City,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deininger,B00130,Deininger,,T,,,,154,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,deininger,F21037,Deininger,,1,Rochester,,,,,,,,,,,yes,,,,
minoraverages/1911Reach,1910,Eastern League,deininger,F21037,Deininger,,2,Jersey City,,,,,,,,,,,yes,,,,
minoraverages/1911Reach,1910,Eastern League,deininger,F21037,Deininger,,T,,,,,,,,,,,,127,,,,
minoraverages/1911Reach,1910,Eastern League,deininger,F21125,Deininger,,0,Rochester,,,,,,,,,,,,11,,,
minoraverages/1911Reach,1910,Eastern League,delahanty,B00182,Delahanty,,0,Toronto,,,144,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,delahanty,F20784,Delehanty,,0,Toronto,,,,,,,,,,136,,,,,
minoraverages/1911Reach,1910,Eastern League,demmitt,B00609,Demmitt,,0,Montreal,,,130,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,demmitt,F20829,Demmitt,,0,Montreal,,,,,,,,,,105,,,,,
minoraverages/1911Reach,1910,Eastern League,demmitt,F21076,Demmitt,,0,Montreal,,,,,,,,,,,,25,,,
minoraverages/1911Reach,1910,Eastern League,donnelly,B01402,Donnelly,,0,Baltimore,,,34,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,donnelly,F21614,Donnelly,,0,Baltimore,,,,,,,,,,,,,,34,
minoraverages/1911Reach,1910,Eastern League,donnelly,P10019,Donnelly,,0,Baltimore,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,dubuc,F21469,Dubec,,1,Buffalo,,,,,,,,,,,,,,yes,
minoraverages/1911Reach,1910,Eastern League,dubuc,F21469,Dubec,,2,Montreal,,,,,,,,,,,,,,yes,
minoraverages/1911Reach,1910,Eastern League,dubuc,F21469,Dubec,,T,,,,,,,,,,,,,,,30,
minoraverages/1911Reach,1910,Eastern League,dubuc,P10373,Dubec,,1,Buffalo,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,dubuc,P10373,Dubec,,2,Montreal,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,dubuc,P10373,Dubec,,T,,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,dubuc,B00037,Dubuc,,0,Montreal,,,58,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,dunn,B00531,Dunn,,0,Baltimore,,,76,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,dunn,F20342,Dunn,,0,Baltimore,,,,,,55,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,dunn,F20391,Dunn,,0,Baltimore,,,,,,,12,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,east,B00879,East,,0,Buffalo,,,73,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,east,F20265,East,,1,Buffalo,,,,,,yes,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,east,F20265,East,,2,Montreal,,,,,,yes,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,east,F20265,East,,T,,,,,,,61,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,egan-bal,B00865,Egan,,0,Baltimore,,,106,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,egan-new,B01489,Egan,,0,Newark,,,14,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,egan-new,F21609,Egan,,0,Newark,,,,,,,,,,,,,,14,
minoraverages/1911Reach,1910,Eastern League,egan-bal,F21936,Egan,,0,Baltimore,,,,,,,,,,,,,101,,
minoraverages/1911Reach,1910,Eastern League,egan-new,P10516,Egan,,0,Newark,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,elston,B00614,Elston,,0,Providence,,,148,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,elston,F20841,Elston,,0,Providence,,,,,,,,,,145,,,,,
minoraverages/1911Reach,1910,Eastern League,esmond,B00718,Esmond,,0,Jersey City,,,157,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,esmond,F20482,Esmond,,0,Jersey City,,,,,,,157,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,ferry,B00904,Ferry,,0,Jersey City,,,35,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,ferry,F21680,Ferry,,0,Jersey City,,,,,,,,,,,,,,26,
minoraverages/1911Reach,1910,Eastern League,ferry,P10348,Ferry,,0,Jersey City,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,fitzgerald,B00806,Fitzgerald,,0,Providence,,,95,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,fitzpatrick,B00898,Fitzpatrick,,0,Toronto,,,119,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,fitzpatrick,F20206,Fitzpatrick,,0,Toronto,,,,,,16,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,fitzpatrick,F20496,Fitzpatrick,,0,Toronto,,,,,,,65,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,fitzpatrick,F20583,Fitzpatrick,,0,Toronto,,,,,,,,30,,,,,,,
researchers/blau,1910,Eastern League,*foley,HHFYGDH,Foley,Frank,,Providence,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,frick,B00475,Frick,,0,Baltimore,,,69,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,frick,F20526,Frick,,0,Baltimore,,,,,,,37,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,frick,F20657,Frick,,0,Baltimore,,,,,,,,21,,,,,,,
minoraverages/1911Reach,1910,Eastern League,frill,B01765,Frill,,0,Jersey City,,,19,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,frill,F21403,Frill,,0,Jersey City,,,,,,,,,,,,,,19,
minoraverages/1911Reach,1910,Eastern League,frill,P10159,Frill,,0,Jersey City,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,ganley,B00794,Ganley,,0,Newark,,,114,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,ganley,F21255,Ganley,,0,Newark,,,,,,,,,,,,100,,,
minoraverages/1911Reach,1910,Eastern League,ganzel,B00920,Ganzel,,0,Rochester,,,29,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,gettman,B00335,Gettman,,0,Newark,,,132,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,gettman,F20128,Gettman,,0,Newark,,,,,13,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,gettman,F20943,Gettman,,0,Newark,,,,,,,,,,,121,,,,
minoraverages/1911Reach,1910,Eastern League,goode,B00101,Goode,,0,Baltimore,,,130,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,goode,F21210,Goode,,0,Buffalo,,,,,,,,,,,,118,,,
minoraverages/1911Reach,1910,Eastern League,grimshaw,B00196,Grimshaw,,0,Toronto,,,62,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,grimshaw,F20080,Grimshaw,,0,Toronto,,,,,35,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,grimshaw,F21241,Grimshaw,,0,Toronto,,,,,,,,,,,,26,,,
minoraverages/1911Reach,1910,Eastern League,hall,B01135,Hall,,0,Baltimore,,,106,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hall,F20388,Hall,,0,Baltimore,,,,,,22,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hall,F20474,Hall,,0,Baltimore,,,,,,,79,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hanford,F21196,Handford,,0,Jersey City,,,,,,,,,,,,78,,,
minoraverages/1911Reach,1910,Eastern League,hanford,B00680,Hanford,,0,Jersey City,,,133,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hanford,F20855,Hanford,,0,Jersey City,,,,,,,,,,50,,,,,
minoraverages/1911Reach,1910,Eastern League,hannifan,B01093,Hannifan,,0,Jersey City,,,153,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hannifan,F20287,Hannifan,,0,Jersey City,,,,,,114,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hannifan,F20648,Hannifan,,0,Jersey City,,,,,,,,36,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hardy,B00068,Hardy,,0,Montreal,,,31,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hardy,F22020,Hardy,,0,Montreal,,,,,,,,,,,,,16,,
minoraverages/1911Reach,1910,Eastern League,hearne,B00515,Hearne,,0,Newark,,,94,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hearne,F21904,Hearne,,0,Newark,,,,,,,,,,,,,74,,
minoraverages/1911Reach,1910,Eastern League,heitmuller,B00059,Heitmuller,,0,Baltimore,,,39,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,heitmuller,F20908,Heitmuller,,0,Baltimore,,,,,,,,,,12,,,,,
minoraverages/1911Reach,1910,Eastern League,heitmuller,F21059,Heitmuller,,0,Baltimore,,,,,,,,,,,10,,,,
minoraverages/1911Reach,1910,Eastern League,heitmuller,F21264,Heitmuller,,0,Buffalo,,,,,,,,,,,,10,,,
minoraverages/1911Reach,1910,Eastern League,henline,B00241,Henline,,0,Buffalo,,,151,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,henline,F20956,Henline,,0,Buffalo,,,,,,,,,,,137,,,,
minoraverages/1911Reach,1910,Eastern League,henline,F21117,Henline,,0,Buffalo,,,,,,,,,,,,12,,,
minoraverages/1911Reach,1910,Eastern League,hoffman,B00397,Hoffman,,0,Providence,,,137,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hoffman,F21319,Hoffman,,0,Providence,,,,,,,,,,,,130,,,
minoraverages/1911Reach,1910,Eastern League,holly,B00961,Holly,,0,Rochester,,,129,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holly,F20604,Holly,,1,Rochester,,,,,,,,yes,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holly,F20604,Holly,,2,Montreal,,,,,,,,yes,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holly,F20604,Holly,,T,,,,,,,,,124,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holmes-new,B01551,Holmes,,0,Newark,,,20,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holmes-roc,B01740,Holmes,,0,Rochester,,,33,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holmes-roc,F21752,Holmes,,0,Rochester,,,,,,,,,,,,,,33,
minoraverages/1911Reach,1910,Eastern League,holmes-new,F21811,Holmes,,0,Newark,,,,,,,,,,,,,,20,
minoraverages/1911Reach,1910,Eastern League,holmes-roc,P10100,Holmes,,0,Rochester,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holmes-new,P10493,Holmes,,0,Newark,,,,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holtz,B00356,Holtz,,0,Newark,,,28,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,holtz,F21879,Holtz,,0,Newark,,,,,,,,,,,,,11,,
minoraverages/1911Reach,1910,Eastern League,hunter,B01227,Hunter,,0,Montreal,,,17,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,hunter,F21308,Hunter,,0,Montreal,,,,,,,,,,,,10,,,
minoraverages/1911Reach,1910,Eastern League,johnson,B00957,Johnson,,0,Jersey City,,,140,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,johnson,F20190,Johnson,,0,Jersey City,,,,,11,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,johnson,F20661,Johnson,,0,Jersey City,,,,,,,,120,,,,,,,
minoraverages/1911Reach,1910,Eastern League,johnston,F21101,Johnson,,0,Buffalo,,,,,,,,,,,,13,,,
minoraverages/1911Reach,1910,Eastern League,johnston,B01108,Johnston,,0,Buffalo,,,29,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,johnston,F20166,Johnston,,0,Buffalo,,,,,11,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,jones.j,B00854,Jones,J.,0,Montreal,,,147,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,jones.e,B01291,Jones,E.,0,Montreal,,,34,,,,,,,,,,,,
minoraverages/1911Reach,1910,Eastern League,jones.j,F20962,Jones,,0,Newark,,,,,,,,,,,143,,,,
minoraverages/1911Reach,1910,Eastern League,jones.e,F21589,Jones,,0,Montreal,,,,,,,,,,,,,,34,
