source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1912/1912-DMN,1912,Oklahoma State League,anderson,P3536189,Anderson,,,Muskogee,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,atterbury,P4020541,Atterbury,,,Guthrie,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,bisgbe,P7501423,Bigsbe,,,McAlester,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,billings,P5634012,Billings,,,Oklahoma City,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,brown,P5969012,Brown,,,Tulsa,19120430,19120501,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,burnett,P8487232,Burnett,,,Okmulgee,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,crawford,P4898336,Crawford,,,Oklahoma City,19120430,19120501,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,dooley,P3231591,Dooley,,,Guthrie,19120430,19120501,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,erishman,P4360946,Erishman,,,Guthrie,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,ferns,P0295018,Ferns,,,Tulsa,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,fucich,P7142827,Fucich,,,Holdenville,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,gabriel,P2861122,Gabriel,,,Tulsa,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,gallagher,P7606571,Gallagher,,,Anadarko,19120430,19120501,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,henderson,P4076594,Henderson,,,Tulsa,19120430,19120501,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1912/1912-DMN,1912,Oklahoma State League,hill,P3930434,Hill,,,Holdenville,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,jasper,P0440777,Jasper,,,Anadarko,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
researchers/blau,1912,Oklahoma State League,jasper,TMZYZVL,Jasper,Hi,,Anardarko,,,,,,,,,,,,,,,
boxscores/1912/1912-DMN,1912,Oklahoma State League,jeffries,P8610730,Jeffries,,,Okmulgee,19120430,19120430,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,kester,P2454970,Kester,,,Tulsa,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,krause,P0515558,Krause,,,Guthrie,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,langley,P6767284,Langley,,,Oklahoma City,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,lowe,P9495826,Lowe,,,Guthrie,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,matticks,P6589948,Matticks,,,Okmulgee,19120501,19120501,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,meyers,P4690840,Meyers,,,McAlester,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,miller,P5766472,Miller,,,McAlester,19120430,19120501,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,rayn,P1522173,Rayn,,,McAlester,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,stone,P6210573,Stone,,,Anadarko,19120430,19120430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,taylor,P6192215,Taylor,,,Okmulgee,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,tincup,P3453654,Tincup,,,Muskogee,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1912/1912-DMN,1912,Oklahoma State League,webb,P9505401,Webb,,,Holdenville,19120430,19120501,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,wilson,P2946175,Wilson,,,Muskogee,19120430,19120501,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1912/1912-DMN,1912,Oklahoma State League,wise,P1213403,Wise,,,McAlester,19120501,19120501,1,1,0,0,0,0,0,0,0,0,0,1,
