source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1914Reach,1913,Border League,adams,F20350,Adams,,0,Windsor,,,,,,,,,,,,,,2,
minoraverages/1914Reach,1913,Border League,adams,P10145,Adams,,0,Windsor,,,,2,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,allen,F20391,Allen,,0,Port Huron,,,,,,,,,,,,,,2,
minoraverages/1914Reach,1913,Border League,allen,P10137,Allen,,0,Port Huron,,,,2,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,amiot,B00130,Amiot,,0,Wyandotte,,,24,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,amiot,F20080,Amiot,,0,Wyandotte,,,,,,,,,,,,,23,,
minoraverages/1914Reach,1913,Border League,barris,B00403,Barris,,0,Pontiac,,,12,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,barris,F20115,Barris,,0,Pontiac,,,,,,,,,,,,,12,,
minoraverages/1914Reach,1913,Border League,bauer,B00936,Bauer,,0,Wyandotte,,,5,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,bauer,F20547,Bauer,,0,Wyandotte,,,,,3,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,bell,B00013,Bell,,0,Ypsilanti,,,13,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,bell,F20401,Bell,,0,Ypsilante,,,,,,,,,,,,,,7,
minoraverages/1914Reach,1913,Border League,bell,F20449,Bell,,0,Ypsilante,,,,,2,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,bell,F21381,Bell,,0,Ypsilante,,,,,,,,,3,,,,,,
minoraverages/1914Reach,1913,Border League,bell,P10019,Bell,,0,Ypsilanti,,,,8,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,boettner,B00324,Boettner,,0,Wyandotte,,,36,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,boettner,F20474,Boettner,,0,Wyandotte,,,,,13,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,boettner,F20832,Boettner,,0,Wyandotte,,,,,,,10,,,,,,,,
minoraverages/1914Reach,1913,Border League,boettner,F21092,Boettner,,0,Wyandotte,,,,,,,,,13,,,,,,
minoraverages/1914Reach,1913,Border League,brain,B00450,Brain,,0,Windsor,,,6,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,breyer,B00174,Breyer,,0,Pontiac,,,27,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,breyer,F20699,Breyer,,0,Pontiac,,,,,,3,,,,,,,,,
minoraverages/1914Reach,1913,Border League,breyer,F21255,Breyer,,0,Pontiac,,,,,,,,,23,,,,,,
minoraverages/1914Reach,1913,Border League,bruce,B00125,Bruce,,0,Port Huron,,,32,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,bruce,F20776,Bruce,,0,Port Huron,,,,,,4,,,,,,,,,
minoraverages/1914Reach,1913,Border League,bruce,F21021,Bruce,,0,Port Huron,,,,,,,,19,,,,,,,
minoraverages/1914Reach,1913,Border League,bruce,F21182,Bruce,,0,Port Huron,,,,,,,,,7,,,,,,
minoraverages/1914Reach,1913,Border League,bully,B01010,Bully,,0,Pontiac,,,3,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,busch,B00021,Busch,,0,Wyandotte,,,12,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,busch,F20265,Busch,,0,Wyandotte,,,,,,,,,,,,,,6,
minoraverages/1914Reach,1913,Border League,busch,F21101,Busch,,0,Wyandotte,,,,,,,,,4,,,,,,
minoraverages/1914Reach,1913,Border League,cady,B00356,Cady,,0,Ypsilanti,,,6,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,cady,F21158,Cady,,0,Ypsilante,,,,,,,,,6,,,,,,
minoraverages/1914Reach,1913,Border League,campau,B00045,Campau,,0,Pontiac,,,16,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,campau,F20375,Campau,,0,Pontiac,,,,,,,,,,,,,,9,
minoraverages/1914Reach,1913,Border League,campau,F21343,Campau,,0,Pontiac,,,,,,,,,6,,,,,,
minoraverages/1914Reach,1913,Border League,campau,P10176,Campau,,0,Pontiac,,,,9,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,carlton,B00037,Carlton,,0,Port Huron,,,12,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,carlton,F20463,Carlton,,0,Port Huron,,,,,10,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,cavenay,F20878,Cavenay,,0,Pontiac,,,,,,,28,,,,,,,,
minoraverages/1914Reach,1913,Border League,cavenay,B00614,Caveney,,0,Pontiac,,,28,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,chambers,B00973,Chambers,,0,Ypsilanti,,,4,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,chambers,F20661,Chambers,,0,Ypsilante,,,,,,4,,,,,,,,,
minoraverages/1914Reach,1913,Border League,clarke,B00076,Clarke,,0,Ypsilanti,,,7,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,clarke,F21037,Clarke,,0,Ypsilante,,,,,,,,7,,,,,,,
minoraverages/1914Reach,1913,Border League,corbatt,B00491,Corbatt,,0,Port Huron,,,21,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,corbatt,F20287,Corbatt,,0,Port Huron,,,,,,,,,,,,,,12,
minoraverages/1914Reach,1913,Border League,corbatt,F20612,Corbatt,,0,Port Huron,,,,,,3,,,,,,,,,
minoraverages/1914Reach,1913,Border League,corbatt,F21207,Corbatt,,0,Port Huron,,,,,,,,,7,,,,,,
minoraverages/1914Reach,1913,Border League,corbatt,P10168,Corbatt,,0,Port Huron,,,,14,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,crosman,B00898,Crosman,,0,Ypsilanti,,,4,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,crosman,F20369,Crosman,,0,Ypsilante,,,,,,,,,,,,,,3,
minoraverages/1914Reach,1913,Border League,crosman,P10244,Crosman,,0,Ypsilanti,,,,4,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,curtie.j,B00566,Curtie,J.,0,Windsor,,,2,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,curtie.c,B00680,Curtie,C.,0,Windsor,,,19,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,curtie.j,F20604,Curtie,J.,0,Windsor,,,,,2,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,curtie.c,F20759,Curtie,,0,Windsor,,,,,,17,,,,,,,,,
minoraverages/1914Reach,1913,Border League,curtis,B00695,Curtis,,0,Port Huron,,,2,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,curtis,F20177,Curtis,,0,Port Huron,,,,,,,,,,,,,,2,
minoraverages/1914Reach,1913,Border League,curtis,P10215,Curtis,,0,Port Huron,,,,2,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,davis,F20886,Davis,,0,Port Huron,,,,,,,2,,,,,,,,
minoraverages/1914Reach,1913,Border League,desmarias,B00651,Desmarias,,0,Windsor,,,13,,,,,,,,,,,,
minoraverages/1914Reach,1913,Border League,desmarias,F20298,Desmarias,,0,Windsor,,,,,,,,,,,,,,2,
minoraverages/1914Reach,1913,Border League,desmarias,F20864,Desmarias,,0,Windsor,,,,,,,5,,,,,,,,
