source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Atlantic League,,B00752,Acosta,,0,Long Branch,,,31,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20829,Acosta,,0,Long Branch,,,,,,,,,,,,,,31,
minoraverages/1915Spalding,1914,Atlantic League,,P10056,Acosta,,0,Long Branch,,,,25,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,B00255,Adler,,0,Poughkeepsie,,,90,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20128,Adler,,0,Poughkeepsie,,,,,39,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20265,Adler,,0,Poughkeepsie,,,,,,,51,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,P10290,Applegate,,0,Perth Amboy,,,,11,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,B00013,Arragon,,0,Long Branch,,,58,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20279,Arragon,,0,Long Branch,,,,,,,58,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,B00174,Baranda,,0,Long Branch,,,62,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20080,Baranda,,0,Long Branch,,,,,35,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20768,Baranda,,0,Long Branch,,,,,,,,,11,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20943,Baranda,,0,Long Branch,,,,,,,,,,,,,,11,
minoraverages/1915Spalding,1914,Atlantic League,,P10100,Baranda,,0,Long Branch,,,,14,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,B00207,Beatty,,0,Poughkeepsie,,,88,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20350,Beatty,,0,Poughkeepsie,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,B00196,Berran,,0,Danbury,,,44,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F20547,Berran,,0,Danbury,,,,,,,,,44,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,B00335,Bien,,0,Perth Amboy,,,54,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Atlantic League,,F21149,Bien,,0,Perth Amboy,,,,,,,,,,,,,54,,
minoraverages/1915Spalding,1914,Atlantic League,,B00416,Blakey,,0,Danbury,,,64,,,,,,,,,,,,
