source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Central Texas League,,B00553,Allison,,0,Waxahachie,,,11,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20807,Allison,,0,Waxahachie,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00278,Anderson,,0,Italy,,,12,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20657,Anderson,,0,Italy,,,,,,,,,,,,,,12,
minoraverages/1915Spalding,1914,Central Texas League,,B00623,Angel,F.,0,Corsicana,,,16,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20713,Angel,F.,0,Corsicana,,,,,,,,,,,,,,16,
minoraverages/1915Spalding,1914,Central Texas League,,B00667,Brockman,,0,Italy,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20496,Brockman,,0,Italy,,,,,,,,,,,,,22,,
minoraverages/1915Spalding,1914,Central Texas League,,B00811,Burleson,,0,Waxahachie,,,6,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20829,Burleson,,0,Waxahachie,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00059,Caldwell,,0,Corsicana,,,21,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20189,Caldwell,,0,Corsicana,,,,,,,21,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00705,Carson,,0,Italy,,,28,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20342,Carson,,0,Italy,,,,,,,,,28,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00381,Chapman,,1,Corsicana,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00381,Chapman,,2,Hillsboro,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00381,Chapman,,T,,,,43,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20560,Chapman,,1,Corsicana,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Central Texas League,,F20560,Chapman,,2,Hillsboro,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Central Texas League,,F20560,Chapman,,T,,,,,,,,,,,,,,30,,
minoraverages/1915Spalding,1914,Central Texas League,,F20699,Chapman,,0,Corsicana,,,,,,,,,,,,,,13,
minoraverages/1915Spalding,1914,Central Texas League,,B00182,Cole,,0,Waxahachie,,,37,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20233,Cole,,0,Waxahachie,,,,,,,,37,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00130,Collins,,0,Hillsboro,,,6,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20583,Collins,,0,Hillsboro,,,,,,,,,,,,,,6,
minoraverages/1915Spalding,1914,Central Texas League,,B00531,Cooley,,1,Italy,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00531,Cooley,,2,West,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00531,Cooley,,T,,,,26,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20539,Cooley,,1,Italy,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Central Texas League,,F20539,Cooley,,2,West,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Central Texas League,,F20539,Cooley,,T,,,,,,,,,,,,,,26,,
minoraverages/1915Spalding,1914,Central Texas League,,B00502,Corder,,0,Italy,,,36,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20810,Corder,,0,Italy,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00308,Crockett,,0,Waxahachie,,,39,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20014,Crockett,,0,Waxahachie,,,,,39,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00475,Currie,,0,Ennis,,,30,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20552,Currie,,0,Ennis,,,,,,,,,,,,,30,,
minoraverages/1915Spalding,1914,Central Texas League,,B00207,Darnaby,,0,West,,,52,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20316,Darnaby,,0,West,,,,,,,,,52,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00241,Davis,,0,Waxahachie,,,35,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20375,Davis,,0,Waxahachie,,,,,,,,,35,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00794,Denton,,1,Italy,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00794,Denton,,2,Hillsboro,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00794,Denton,,T,,,,20,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20080,Denton,,1,Italy,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20080,Denton,,2,Hillsboro,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20080,Denton,,T,,,,,,20,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00912,Dickey,,0,Italy,,,13,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20685,Dickey,,0,Italy,,,,,,,,,,,,,,13,
minoraverages/1915Spalding,1914,Central Texas League,,B00255,Disharoon,,0,Waxahachie,,,39,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20131,Disharoon,,0,Waxahachie,,,,,,39,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00854,Dobbins,,0,Corsicana,,,38,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,F20240,Dobbins,,0,Corsicana,,,,,,,,38,,,,,,,
minoraverages/1915Spalding,1914,Central Texas League,,B00589,Ellis,,0,Italy,,,7,,,,,,,,,,,,
