source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Eastern Association,,B00232,Ahearn,,0,New London,,,85,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21531,Ahearn,,0,New London,,,,,,,,,,,,,85,,
minoraverages/1915Spalding,1914,Eastern Association,,B00076,Angermier,,0,New Haven,,,67,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20583,Angermier,,0,New Haven,,,,,,,,,18,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21577,Angermier,,0,New Haven,,,,,,,,,,,,,49,,
minoraverages/1915Spalding,1914,Eastern Association,,B00961,Aubrey,,0,Bridgeport,,,14,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20153,Aubrey,,0,Bridgeport,,,,,,14,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01216,Baldwin,,0,Hartford,,,13,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21403,Baldwin,,0,Hartford,,,,,,,,,,,,,,13,
minoraverages/1915Spalding,1914,Eastern Association,,P10192,Baldwin,,0,Hartford,,,,13,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01359,Barberich,,0,New London,,,15,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21013,Barberich,,0,New London,,,,,,,,,,,,,,13,
minoraverages/1915Spalding,1914,Eastern Association,,P10056,Barberich,,0,New London,,,,13,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00045,Barney,,0,Hartford,,,118,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20661,Barney,,0,Hartford,,,,,,,,,117,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00101,Barr,,0,New Haven,,,116,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20776,Barr,,0,New Haven,,,,,,,,,110,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00806,Barrenkamp,,0,Pittsfield,,,35,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21076,Barrenkamp,,0,Pittsfield,,,,,,,,,,,,,,28,
minoraverages/1915Spalding,1914,Eastern Association,,P10202,Barrenkamp,,0,Pittsfield,,,,28,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00705,Baumgardener,,0,Waterbury,,,79,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20425,Baumgardener,,0,Waterbury,,,,,,,79,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00278,Becker,,0,New London,,,117,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20737,Becker,,0,New London,,,,,,,,,112,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00760,Blum,,0,Bridgeport,,,32,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21210,Blum,,0,Bridgeport,,,,,,,,,,,,,,31,
minoraverages/1915Spalding,1914,Eastern Association,,P10121,Blum,,0,Bridgeport,,,,31,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00531,Boultes,,0,Bridgeport,,,123,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20334,Boultes,,0,Bridgeport,,,,,,,123,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01032,Bowden,,1,Pittsfield,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01032,Bowden,,2,New Britain,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01032,Bowden,,T,,,,57,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20233,Bowden,,0,New Britain,,,,,,26,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20547,Bowden,,0,New Britain,,,,,,,,26,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00442,Bowman,,0,Bridgeport,,,91,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20144,Bowman,,0,Bridgeport,,,,,,91,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00403,Bridges,,0,Pittsfield,,,114,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21528,Bridges,,0,Pittsfield,,,,,,,,,,,,,111,,
minoraverages/1915Spalding,1914,Eastern Association,,B00469,Briggs,,0,New London,,,118,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20620,Briggs,,0,New London,,,,,,,,,118,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00609,Brown,,1,New Britain,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00609,Brown,,2,Hartford,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00609,Brown,,T,,,,32,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20970,Brown,,1,New Britain,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20970,Brown,,2,Hartford,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20970,Brown,,T,,,,,,,,,,32,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01250,Burch,,0,Springfield,,,36,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21207,Burch,,0,Springfield,,,,,,,,,,,,,,36,
minoraverages/1915Spalding,1914,Eastern Association,,P10277,Burch,,0,Springfield,,,,36,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00912,Burke,,0,Springfield,,,25,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20604,Burke,,0,Springfield,,,,,,,,,19,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21427,Burke,,0,Springfield,,,,,,,,,,,,,,6,
minoraverages/1915Spalding,1914,Eastern Association,,P10464,Burke,,0,Springfield,,,,6,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01376,Burroughs,,0,New Britain,,,12,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21255,Burroughs,,0,New Britain,,,,,,,,,,,,,,8,
minoraverages/1915Spalding,1914,Eastern Association,,P10455,Burroughs,,0,New Britain,,,,8,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00370,Cabrera,,0,Springfield,,,122,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20505,Cabrera,,0,Springfield,,,,,,,,116,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00264,Chancey,,0,New Haven,,,79,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20935,Chancey,,0,New Haven,,,,,,,,,79,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01162,Clark,,0,New Britain,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20298,Clark,,0,New Britain,,,,,,22,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B01181,Coffenburg,,0,New Britain,,,12,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21623,Coffenburg,,0,New Britain,,,,,,,,,,,,,12,,
minoraverages/1915Spalding,1914,Eastern Association,,B00068,Connelly,,0,New Britain,,,21,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21515,Connelly,,0,New Britain,,,,,,,,,,,,,21,,
minoraverages/1915Spalding,1914,Eastern Association,,B00865,Cronin,,0,Pittsfield,,,83,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20190,Cronin,,0,Pittsfield,,,,,,59,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20636,Cronin,,0,Pittsfield,,,,,,,,,24,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00381,Crook,,0,Bridgeport,,,74,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00887,Crook,,1,Springfield,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00887,Crook,,2,New Britain,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,B00887,Crook,,T,,,,38,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20102,Crook,,1,Pittsfield,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20102,Crook,,2,New Britain,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F20102,Crook,,T,,,,,,37,,,,,,,,,,
minoraverages/1915Spalding,1914,Eastern Association,,F21672,Crook,,0,Bridgeport,,,,,,,,,,,,,66,,
