source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Georgia State League,,B00515,Agnew,,1,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00515,Agnew,,2,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00515,Agnew,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00566,Anderson,,0,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00771,Anderson,,0,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00718,Antley,,0,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00469,Baggens,,1,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00469,Baggens,,2,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00469,Baggens,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00021,Bankston,,0,Cordele,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00544,Barnette,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00158,Bitting,,1,Brunswick,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00158,Bitting,,2,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00158,Bitting,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00076,Bowdoin,,0,Brunswick,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00308,Bowen,,0,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00370,Brouthers,,0,Cordele,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00381,Burress,,0,Cordele,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00163,Champlain,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00752,Chapman,,0,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00589,Coveney,,0,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00450,Cox,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00278,Davenport,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00822,Davis,,1,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00822,Davis,,2,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00822,Davis,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00577,Day,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00680,Dedon,,1,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00680,Dedon,,2,Brunswick,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00680,Dedon,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00726,Doherty,,0,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00623,Dudley,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00293,East,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00068,Ellis,,0,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00125,Eubanks,,0,Cordele,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00760,Fillengem,C.,1,Cordele,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00760,Fillengem,C.,2,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00760,Fillengem,C.,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00667,Gallagher,,1,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00667,Gallagher,,2,Brunswick,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00667,Gallagher,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00174,Gaston,,0,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00130,Geary,,0,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00695,Gordon,,0,Brunswick,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00229,Griffin,Hal,0,Cordele,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00117,Gross,,0,Brunswick,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00403,Hall,,0,Cordele,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00833,Hartner,,0,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00475,Herold,,0,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00335,Hodge,,1,Americus,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00335,Hodge,,2,Brunswick,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00335,Hodge,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00084,Hureley,,0,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00491,Jones,,0,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00286,Jordan,,0,Brunswick,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00427,Kelley,,0,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00638,Kipp,,1,Valdosta,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00638,Kipp,,2,Waycross,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia State League,,B00638,Kipp,,T,,,,,,,,,,,,,,,,
