source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1914/1914-SL,1914,International League,,P2599409,Bader,,,Buffalo,19140425,19140425,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P4933785,Bailey,,,Providence,19140421,19140423,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1914/1914-SL,1914,International League,,P7246318,Ball,,,Baltimore,19140421,19140427,6,0,0,5,1,0,0,0,0,0,0,0,
researchers/blau,1914,International League,,LDLMKWD,Barrett,Jimmy,,Jersey City,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P3802608,Barrow,,,Rochester,19140427,19140427,1,0,0,0,0,0,1,0,1,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7646115,Barrows,,,Rochester,19140421,19140427,4,0,0,0,0,0,4,0,4,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7280191,Barry,,,Jersey City,19140421,19140427,5,0,5,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P0966181,Baxter,,,Jersey City,19140421,19140423,3,0,0,0,0,3,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P5247334,Beebe,,,Buffalo,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P9087638,Bentley,,,Providence,19140422,19140422,1,1,0,0,0,0,0,0,0,0,0,1,
researchers/morris,1914,International League,,GKMZSLP,Blancke,Clay,,Toronto,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P7712247,Brandon,,,Buffalo,19140424,19140424,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P1040847,Breen,,,Rochester,19140421,19140427,5,0,0,5,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P5400022,Bruck,,,Jersey City,19140422,19140422,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P8651950,Bues,,,Jersey City,19140421,19140427,5,0,0,0,5,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P8216214,Capron,,,Baltimore,19140423,19140423,1,0,0,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P2840775,Carlo,,,Montreal,19140422,19140422,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P5356691,Carlst'm,,,Montreal,19140423,19140424,2,0,2,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P8321261,Carlstrom,,,Montreal,19140422,19140422,1,0,1,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P8784010,Carpenter,,,#umpire,19140421,19140427,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P7902640,Collins,,,Newark,19140421,19140427,4,0,0,0,0,0,4,0,0,4,0,0,
boxscores/1914/1914-SL,1914,International League,,P3145255,Cooper,,,Jersey City,19140421,19140427,5,0,0,0,0,0,5,0,0,5,0,0,
researchers/blau,1914,International League,,HKQLKRB,Cooper,Frank,,Jersey City,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P0280796,Cottrell,,,Baltimore,19140423,19140427,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1914/1914-SL,1914,International League,,P9445700,Couchman,,,Montreal,19140421,19140424,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1914/1914-SL,1914,International League,,P1194396,Courtney,,,Rochester,19140421,19140421,1,0,0,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P5449522,Cree,,,Baltimore,19140421,19140427,6,0,0,0,0,0,6,0,6,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7393818,Curtis,Cliff,,Newark,19140424,19140424,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P9051884,Dale,,,Montreal,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P7389801,Danforth,,,Baltimore,19140421,19140427,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1914/1914-SL,1914,International League,,P6913107,Daniels,,,Baltimore,19140421,19140427,6,0,0,0,0,0,6,0,0,6,0,0,
boxscores/1914/1914-SL,1914,International League,,P4486283,Deininger,,,Montreal,19140421,19140427,2,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1914/1914-SL,1914,International League,,P3761687,Derrick,,,Baltimore,19140421,19140427,6,0,0,0,0,6,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P3831943,Duchanel,,,Rochester,19140427,19140427,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P4755246,Egan,,,Baltimore,19140421,19140427,3,0,0,0,0,0,0,0,0,0,3,0,
researchers/morris,1914,International League,,QZSCQDM,Egan,Thomas,,Jersey City,,,,,,,,,,,,,,,
researchers/morris,1914,International League,,XKVKMQL,Egan,Thomas,,Jersey City,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P0359849,Ens,,,Providence,19140421,19140425,5,0,0,0,5,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P0953459,Enzmann,,,Newark,19140421,19140421,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P7300885,Eschen,,,Jersey City,19140423,19140423,1,0,0,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P2345010,Fabrique,,,Providence,19140421,19140425,5,0,0,0,0,5,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P2304663,Finneran,,,#umpire,19140421,19140427,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P0228512,Fisher,,,Jersey City,19140421,19140427,5,0,0,0,0,0,5,5,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P4720746,Fisher,,,Toronto,19140421,19140424,4,0,0,0,0,4,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P5521770,Fisher,R.,,Toronto,19140427,19140427,1,0,0,0,0,1,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P5179913,Fitzpa'k,,,Toronto,19140422,19140422,1,0,0,1,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P6069565,Fitzpat'k,,,Toronto,19140421,19140427,2,0,0,2,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P3161140,Fitzpatrick,,,Toronto,19140423,19140424,2,0,0,2,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P1333117,Flynn,,,Montreal,19140421,19140427,2,0,2,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P0283704,Frill,,,Jersey City,19140427,19140427,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P5918521,Fullenweider,,,Buffalo,19140425,19140425,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P7346964,Fullenwider,,,Buffalo,19140421,19140421,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P5393736,Gaw,,,Toronto,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P0138038,Getz,,,Newark,19140421,19140427,4,0,0,4,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P4659954,Gilbert,,,Toronto,19140427,19140427,1,0,0,0,0,0,1,0,0,1,0,0,
researchers/blau,1914,International League,,RQRPCQB,Gilbert,Rufus,,Jersey City,,,,,,,,,,,,,,,
researchers/blau,1914,International League,,RQRPCQB,Gilbert,Rufus,,Toronto,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P7655455,Gilhooley,,,Buffalo,19140423,19140425,3,0,0,0,0,0,3,0,3,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P8338900,Gleich'n,,,Baltimore,19140422,19140427,2,0,2,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P4655131,Gleichman,,,Baltimore,19140423,19140427,2,0,2,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P6635337,Gleichmann,,,Baltimore,19140421,19140424,2,0,2,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7527832,Grover,,,Providence,19140424,19140424,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P2432326,Halligan,,,#umpire,19140421,19140427,,,,,,,,,,,,,
researchers/blau,1914,International League,,GHNMFYN,Harris,Herbert,,Jersey City,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P6165100,Harrison,,,#umpire,19140421,19140427,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P7818549,Hart,,,#umpire,19140421,19140425,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P1391095,Hearn,,,Toronto,19140427,19140427,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P5644476,Hearne,,,Toronto,19140422,19140422,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P6748908,Heckinger,,,Newark,19140421,19140427,3,0,0,0,0,0,0,0,0,0,3,0,
boxscores/1914/1914-SL,1914,International League,,P3735573,Herbert,,,Toronto,19140423,19140424,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1914/1914-SL,1914,International League,,P8496870,Hoff,,,Rochester,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P6394269,Holmquist,Jeff,,Newark,19140427,19140427,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P7773001,Houser,,,Buffalo,19140421,19140425,5,0,5,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P3826798,Howley,,,Montreal,19140421,19140423,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1914/1914-SL,1914,International League,,P5634407,Hughes,,,Rochester,19140421,19140421,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P4517063,Hulswitt,Rudy,,Jersey City,19140421,19140421,1,0,0,1,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7258275,Hulswitt,,,Jersey City,19140422,19140427,4,0,0,4,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P5431708,Jackson,,,Buffalo,19140421,19140425,4,0,0,0,0,0,4,4,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7221162,Jacyson,,,Buffalo,19140422,19140422,1,0,0,0,0,0,1,1,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P3962089,Jamieson,,,Buffalo,19140425,19140425,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P0691820,Jarman,,,Baltimore,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P1800552,Johnson,,,Toronto,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P9280693,Jones,,,Montreal,19140422,19140422,1,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1914/1914-SL,1914,International League,,P1675303,Jordan,,,Toronto,19140421,19140427,5,0,5,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7282691,Keefe,,,Rochester,19140427,19140427,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P8839893,Keller,,,Montreal,19140421,19140427,5,0,0,5,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P8644751,Kelley,,,Toronto,19140421,19140422,2,0,0,0,0,0,1,0,1,0,1,0,
boxscores/1914/1914-SL,1914,International League,,P4732010,Kelly,,,Toronto,19140423,19140427,3,0,0,0,0,0,0,0,0,0,3,0,
boxscores/1914/1914-SL,1914,International League,,P7471157,Kippert,,,Montreal,19140423,19140427,3,0,0,0,0,0,3,0,0,3,0,0,
boxscores/1914/1914-SL,1914,International League,,P5787391,Kocher,,,Providence,19140422,19140425,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1914/1914-SL,1914,International League,,P8815593,Koehler,,,Jersey City,19140424,19140427,2,0,0,0,0,2,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P2799605,Kritchell,,,Buffalo,19140422,19140423,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1914/1914-SL,1914,International League,,P8950830,Kroy,,,Toronto,19140421,19140427,5,0,0,0,0,0,5,0,0,5,0,0,
boxscores/1914/1914-SL,1914,International League,,P4624629,Lalonge,,,Buffalo,19140421,19140424,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1914/1914-SL,1914,International League,,P5992909,Lidgate,,,Baltimore,19140423,19140424,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1914/1914-SL,1914,International League,,P4469503,Madden,,,Montreal,19140422,19140427,3,0,0,0,0,0,0,0,0,0,3,0,
boxscores/1914/1914-SL,1914,International League,,P2805802,Malay,,,Montreal,19140421,19140427,5,0,0,0,0,0,5,5,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7967028,Mason,,,Montreal,19140427,19140427,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P3909937,Mattern,,,Montreal,19140421,19140421,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P1914845,Mays,,,Providence,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P4394914,McAvoy,,,Baltimore,19140427,19140427,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1914/1914-SL,1914,International League,,P8776974,McCarthy,,,Buffalo,19140421,19140425,5,0,0,4,0,0,1,0,1,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P4934765,McCloskey,,,Rochester,19140421,19140421,1,0,0,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P4389607,McConnell,George,,Buffalo,19140422,19140422,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P0389214,McIntire,,,Providence,19140421,19140421,1,0,0,0,0,0,1,1,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P0349678,McIntyre,,,Providence,19140422,19140425,4,0,0,0,0,0,4,4,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P4263568,McMillan,,,Rochester,19140421,19140427,5,0,0,0,0,5,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P9195529,Meikle,Willard,,Rochester,19140424,19140424,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P1231649,Morrisette,,,Baltimore,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P6582041,Morse,,,Buffalo,19140425,19140425,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P7366228,Mowe,,,Newark,19140421,19140427,4,0,0,0,0,4,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7337852,Mueller,,,#umpire,19140424,19140424,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P0458067,Mullen,,,#umpire,19140422,19140422,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P8065879,Mullin,,,#umpire,19140421,19140427,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P8982099,Murray,,,Buffalo,19140421,19140422,2,0,0,0,0,0,2,0,0,2,0,0,
boxscores/1914/1914-SL,1914,International League,,P4114988,Myers,,,Newark,19140421,19140424,3,0,0,0,0,0,3,0,3,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P7184061,Myers,Hi,,Newark,19140427,19140427,1,0,0,0,0,0,1,0,1,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P9262560,Nallen,,,#umpire,19140427,19140427,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P6870372,Nallin,,,#umpire,19140421,19140424,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P2806574,North,,,Providence,19140424,19140424,1,1,0,0,0,0,0,0,0,0,0,1,
researchers/blau,1914,International League,,VYLBHZW,North,Lou,,Providence,,,,,,,,,,,,,,,
researchers/blau,1914,International League,,VYVFMFP,North,Lou,,Providence,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P8242043,O'Hara,,,Toronto,19140421,19140427,5,0,0,0,0,0,5,5,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P0887640,Oldham,,,Providence,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P0324504,Onslow,E.,,Providence,19140421,19140425,4,0,4,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P5249309,Onslow,J.,,Providence,19140421,19140424,3,0,0,0,0,0,0,0,0,0,3,0,
boxscores/1914/1914-SL,1914,International League,,P6299365,Onslow,,,Providence,19140422,19140422,1,0,1,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P5014921,Paddock,,,Buffalo,19140422,19140425,4,0,0,0,0,0,4,0,1,3,0,0,
boxscores/1914/1914-SL,1914,International League,,P1431997,Parent,,,Baltimore,19140421,19140427,6,0,0,1,5,0,0,0,0,0,0,0,
researchers/morris,1914,International League,,XPSLYHJ,Pearce,Bunny,,Jersey City,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P0626284,Peck,,,Toronto,19140427,19140427,1,0,0,0,1,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P4025294,Pedone,,,Baltimore,19140423,19140423,1,0,0,0,0,0,0,0,0,0,0,0,
researchers/blau,1914,International League,,NBQVKSB,Pedone,George,,Baltimore,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P5533552,Pick,,,Toronto,19140421,19140424,4,0,0,0,4,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P9572604,Pipp,,,Rochester,19140421,19140427,5,0,5,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P6243149,Platte,,,Providence,19140421,19140425,5,0,0,0,0,0,5,0,0,5,0,0,
boxscores/1914/1914-SL,1914,International League,,P5528534,Powell,,,Providence,19140421,19140425,5,0,0,0,0,0,5,0,5,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P8726874,Priest,,,Rochester,19140421,19140427,5,0,0,0,0,0,5,0,0,5,0,0,
boxscores/1914/1914-SL,1914,International League,,P8955584,Priest,,,Toronto,19140427,19140427,1,0,0,0,0,0,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P4446462,Purtell,,,Montreal,19140421,19140427,5,0,0,0,0,5,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P8636466,Reisigl,,,Providence,19140425,19140425,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P2684039,Richter,,,Montreal,19140422,19140422,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P9897859,Ritter,,,Toronto,19140421,19140421,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P4719392,Roach,,,Buffalo,19140421,19140425,5,0,0,0,0,5,0,0,0,0,0,0,
boxscores/1914/1914-SL,1914,International League,,P1112221,Rogge,,,Toronto,19140423,19140427,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1914/1914-SL,1914,International League,,P6247654,Rorty,,,#umpire,19140421,19140425,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P3995005,Russell,,,Baltimore,19140424,19140424,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P6253462,Ruth,,,Baltimore,19140422,19140427,4,2,0,0,0,0,0,0,0,0,0,2,
researchers/blau,1914,International League,,GVHPZPJ,Sandusky,Frank,,Baltimore,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P6324967,Schacht,Al,,Newark,19140423,19140423,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P2559472,Schultz,,,Providence,19140425,19140425,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1914/1914-SL,1914,International League,,P2588432,Schultz,,,Rochester,19140421,19140427,5,0,0,0,5,0,0,0,0,0,0,0,
researchers/blau,1914,International League,,PRVLKNX,Schwab,Frank,,Toronto,,,,,,,,,,,,,,,
boxscores/1914/1914-SL,1914,International League,,P6919122,Shean,,,Providence,19140421,19140425,5,0,0,5,0,0,0,0,0,0,0,0,
