source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Interstate League,apple,B00362,Apple,,1,Wellsville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,apple,B00362,Apple,,2,Jamestown,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,apple,B00362,Apple,,T,,,,44,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,apple,F20128,Apple,,1,Wellsville,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,apple,F20128,Apple,,2,Jamestown,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,apple,F20128,Apple,,T,,,,,,,44,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,argus,B00450,Argus,,0,Hornell,,,11,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,argus,F20594,Argus,,0,Hornell,,,,,,,,,,,,,11,,
minoraverages/1915Spalding,1914,Interstate League,bierne,F20636,Bierne,,0,Warren,,,,,,,,,,,,,,5,
minoraverages/1915Spalding,1914,Interstate League,bliss,B00076,Bliss,,0,Wellsville,,,30,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,bliss,F20072,Bliss,,0,Wellsville,,,,,30,,,,,,,,,,
researchers/blau,1914,Interstate League,,KJLVMTG,Bohrer,,,Hornell,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,bradley,B00806,Bradley,,0,Bradford,,,12,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,bradley,F20792,Bradley,,0,Bradford,,,,,,,,,,,,,,12,
minoraverages/1915Spalding,1914,Interstate League,brady,B00264,Brady,,0,Warren,,,49,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,brady,F20014,Brady,,0,Warren,,,,,49,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,brennan,F20648,Brennan,,0,Warren,,,,,,,,,,,,,,4,
minoraverages/1915Spalding,1914,Interstate League,brooks,B00149,Brooks,,0,Hornell,,,39,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,brooks,F20298,Brooks,,0,Hornell,,,,,,,,,39,,,,,,
minoraverages/1915Spalding,1914,Interstate League,brown,F20657,Brown,,0,Olean,,,,,,,,,,,,,,5,
minoraverages/1915Spalding,1914,Interstate League,burns,B00434,Burns,,0,Warren,,,41,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,burns,F20463,Burns,,0,Warren,,,,,,,,,41,,,,,,
researchers/blau,1914,Interstate League,,SMZBQGZ,Cadigan,Thomas,,Hornell,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,carling,B00174,Carling,,0,Warren,,,48,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,carling,F20095,Carling,,0,Warren,,,,,,48,,,,,,,,,
researchers/blau,1914,Interstate League,,ZWHZXDX,Carling,,,Hornell,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,carlton,B00442,Carlton,,0,Wellsville,,,34,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,carlton,F20539,Carlton,,0,Wellsville,,,,,,,,,,,,,34,,
minoraverages/1915Spalding,1914,Interstate League,clare,B00207,Clare,,0,Olean,,,39,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,clare,F20612,Clare,,0,Olean,,,,,,,,,,,,,39,,
minoraverages/1915Spalding,1914,Interstate League,clark-bra,B00590,Clark,,0,Bradford,,,48,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Interstate League,clark-war,B00614,Clark,,0,Warren,,,14,,,,,,,,,,,,
