source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Kansas State League,addington,B00442,Addington,,0,Hutchinson,,,79,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,addington,F20166,Addington,,0,Hutchinson,,,,,,,75,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,allingham,B00293,Allingham,,0,Great Bend,,,87,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,allingham,F20046,Allingham,,0,Great Bend,,,,,86,,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,beltz,B00590,Beltz,,0,Emporia,,,23,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,beltz,F20745,Beltz,,0,Emporia,,,,,,,,,,,,,,23,
minoraverages/1915Spalding,1914,Kansas State League,beltz,P10070,Beltz,,0,Emporia,,,,23,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,blue,B00381,Blue,,1,Hutchinson,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,blue,B00381,Blue,,2,Great Bend,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,blue,B00381,Blue,,T,,,,88,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,blue,F20102,Blue,,1,Hutchinson,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,blue,F20102,Blue,,2,Great Bend,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,blue,F20102,Blue,,T,,,,,,,20,,,,,,,,,
minoraverages/1915Spalding,1914,Kansas State League,blue,F20211,Blue,,1,Hutchinson,,,,,,,,yes,,,,,,,
