source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,allen-hen,B00037,Allen,,0,Henderson,,,112,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,allen-hen,F20067,Allen,,0,Henderson,,,,,52,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,allen-hen,F20505,Allen,,0,Henderson,,,,,,,,,54,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,allen-cla,P10244,Allen,,0,Clarksville,,,,,,,,,,,,,,,
researchers/blau,1914,Kentucky-Illinois-Tennessee League,,CMBVXCF,Allen,M.,,Clarksville,,,,,,,,,,,,,,,
researchers/blau,1914,Kentucky-Illinois-Tennessee League,,CMBVXCF,Allen,M.,,Henderson,,,,,,,,,,,,,,,
researchers/morris,1914,Kentucky-Illinois-Tennessee League,*allison,LJWWMRN,Allison,,,Ownesboro,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,ashby,B00059,Ashby,,0,Henderson,,,84,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,ashby,F20657,Ashby,,0,Henderson,,,,,,,,,61,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,ashby,F20935,Ashby,,0,Henderson,,,,,,,,,,,,,21,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,bailey,B00739,Bailey,,0,Henderson,,,45,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,bailey,F20673,Bailey,,0,Henderson,,,,,,,,,,,,,,28,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,bailey,P10137,Bailey,,0,Henderson,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,bradshaw,B00255,Bradshaw,,0,Owensboro,,,104,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,bradshaw,F20334,Bradshaw,,0,Owensboro,,,,,,,,95,,,,,,,
researchers/blau,1914,Kentucky-Illinois-Tennessee League,bradshaw,CKZPGLV,Bradshaw,Dallas,,Harrisburg,,,,,,,,,,,,,,,
researchers/blau,1914,Kentucky-Illinois-Tennessee League,bradshaw,CKZPGLV,Bradshaw,Dallas,,Owensboro,,,,,,,,,,,,,,,
researchers/morris,1914,Kentucky-Illinois-Tennessee League,bradshaw,BKLDDMQ,Bradshaw,,,Ownesboro,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,breaux,B00488,Breaux,,1,Hopkinsville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,breaux,B00488,Breaux,,2,Cairo,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,breaux,B00488,Breaux,,T,,,,38,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,breaux,F20425,Breaux,,0,Cairo,,,,,,,,,38,,,,,,
researchers/blau,1914,Kentucky-Illinois-Tennessee League,breaux,QGJLCRC,Breaux,Russell,,Cairo,,,,,,,,,,,,,,,
researchers/blau,1914,Kentucky-Illinois-Tennessee League,breaux,QGJLCRC,Breaux,Russell,,Hopkinsville,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,brinkman,B00833,Brinkman,,0,Cairo,,,11,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,brinkman,F21013,Brinkman,,0,Cairo,,,,,,,,,,,,,11,,
researchers/blau,1914,Kentucky-Illinois-Tennessee League,brinkman,KGGHFBD,Brinkman,Fred,,Cairo,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,budke,B00705,Budke,,0,Owensboro,,,28,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Kentucky-Illinois-Tennessee League,budke,F20350,Budke,,0,Owensboro,,,,,,,,17,,,,,,,
researchers/morris,1914,Kentucky-Illinois-Tennessee League,budke,KVKBFQB,Budke,,,Ownesboro,,,,,,,,,,,,,,,
