source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Michigan State League,altenburg,B00163,Altenburg,,0,Ludington,,,116,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,altenburg,F20713,Altenburg,,0,Ludington,,,,,,,,,116,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,arndt,B00488,Arndt,,0,Muskegon,,,59,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,arndt,F20046,Arndt,,0,Muskegon,,,,,59,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,asher,B00324,Asher,,0,Ludington,,,33,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,asher,F21013,Asher,,0,Ludington,,,,,,,,,,,,,,23,
minoraverages/1915Spalding,1914,Michigan State League,asher,P10070,Asher,,0,Ludington,,,,23,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,B00196,Barger,,1,Traverse City,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,B00196,Barger,,2,Manistee,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,B00196,Barger,,T,,,,105,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,F20102,Barger,,1,Traverse City,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,F20102,Barger,,2,Manistee,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,F20102,Barger,,T,,,,,,84,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,F20189,Barger,,1,Traverse City,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,F20189,Barger,,2,Manistee,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,barger,F20189,Barger,,T,,,,,,,21,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,bartell,B00865,Bartell,,0,Manistee,,,14,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,bartell,F20981,Bartell,,0,Manistee,,,,,,,,,,,,,,14,
minoraverages/1915Spalding,1914,Michigan State League,bartell,P10024,Bartell,,0,Manistee,,,,14,,,,,,,,,,,
researchers/morris,1914,Michigan State League,,KPJDZNS,Bartell,,,Manistee,,,,,,,,,,,,,,,
researchers/morris,1914,Michigan State League,,QJBHWPZ,Bartell,,,Manistee,,,,,,,,,,,,,,,
researchers/morris,1914,Michigan State League,,TCQFNPD,Bartell,,,Manistee,,,,,,,,,,,,,,,
researchers/morris,1914,Michigan State League,,NCRCCRS,Bartels,Red,,Manistee,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Michigan State League,baum,B00059,Baum,,0,Cadillac,,,116,,,,,,,,,,,,
