source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Middle Texas League,allison-tem,B00163,Allison,F.,0,Temple,,,78,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,allison-lam,B00255,Allison,,0,Lampasas,,,37,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,allison-bar,B01007,Allison,B.,0,Bartlett,,,29,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,allison-tem,F20166,Allison,F.,0,Temple,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,allison-lam,F20254,Allison,,0,Lampasas,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,allison-bar,F21000,Allison,B.,0,Bartlett,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,andrews,B00021,Andrews,,0,Belton,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,andrews,F20023,Andrews,,0,Belton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,andrews,P10289,Andrews,,0,Belton,,,,20,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,awalt,B01162,Awalt,,0,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,awalt,P10304,Awalt,,0,Bartlett,,,,7,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,bailey,B00961,Bailey,,0,Brenham,,,10,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,bailey,F20962,Bailey,,0,Brenham,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,barry,B00985,Barry,,0,Bartlett,,,11,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,barry,F20981,Barry,,0,Bartlett,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,beaver,B00854,Beaver,,0,Lampasas,,,23,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,beaver,F20855,Beaver,,0,Lampasas,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Middle Texas League,bertetti,B00840,Bertetti,,0,Brenham,,,33,,,,,,,,,,,,
