source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Nebraska State League,,B00771,Acock,,0,Kearney,,,102,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F20131,Acock,,0,Kearney,,,,,,102,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F21174,Acock,,0,Kearney,,,,,,,,,102,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B00623,Adams,,0,Kearney,,,10,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B01119,Adams,,0,Columbus,,,92,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F20222,Adams,,0,Columbus,,,,,,92,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F21491,Adams,,0,Columbus,,,,,,,,,92,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F21553,Adams,,0,Kearney,,,,,,,,,10,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F22169,Adams,,0,Kearney,,,,,,,,,,,,,,10,
minoraverages/1915Spalding,1914,Nebraska State League,,P10486,Adams,,0,Kearney,,,,9,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,P10019,Artley,,0,Superior,,,,4,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B01156,Ash,,0,York,,,25,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F20233,Ash,,0,York,,,,,,25,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F21589,Ash,,0,York,,,,,,,,,25,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B01345,Atherton,,0,Beatrice,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B00811,Bechtold,,0,York,,,98,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F21403,Bechtold,,0,York,,,,,,,,,98,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B00718,Begley,,0,Superior,,,41,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F20046,Begley,,0,Superior,,,,,41,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F20571,Begley,,0,Superior,,,,,,,,,41,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B00117,Bennett,,0,Hastings,,,99,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F20776,Bennett,,0,Hastings,,,,,,,,,99,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B01300,Bernsen,,0,York,,,17,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F21566,Bernsen,,0,York,,,,,,,,,17,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B00488,Berte,,0,Kearney,,,45,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F20375,Berte,,0,Kearney,,,,,,,,45,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F21084,Berte,,0,Kearney,,,,,,,,,45,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,B00544,Bischop,,0,Superior,,,51,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F20997,Bischop,,0,Superior,,,,,,,,,51,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,,F21912,Bischop,,0,Superior,,,,,,,,,,,,,,51,
