source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,North Carolina League,,B00278,Angier,,0,Durham,,,110,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20547,Angier,,0,Durham,,,,,,,,,110,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B01029,Austin,,0,Asheville,,,11,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20505,Austin,,0,Asheville,,,,,,,,,11,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B00450,Belanger,,0,Durham,,,34,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20768,Belanger,,0,Durham,,,,,,,,,29,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B00553,Boyle,P.,0,Greensboro,,,69,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B00752,Boyle,C.,0,Durham,,,41,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20189,Boyle,P.,0,Greensboro,,,,,,26,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20350,Boyle,C.,0,Durham,,,,,,,12,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20496,Boyle,P.,0,Greensboro,,,,,,,,,13,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20908,Boyle,P.,0,Greensboro,,,,,,,,,,,,,,30,
minoraverages/1915Spalding,1914,North Carolina League,,F21229,Boyle,C.,0,Durham,,,,,,,,,,,,,41,,
minoraverages/1915Spalding,1914,North Carolina League,,P10277,Boyle,P.,0,Greensboro,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B00059,Breslin,,0,Greensboro,,,10,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20807,Breslin,,0,Greensboro,,,,,,,,,10,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B00898,Brittain,,0,Asheville,,,36,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20240,Brittain,,0,Asheville,,,,,,,36,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B00904,Brown,,0,Winston-Salem,,,10,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F21021,Brown,,0,Winston-Salem,,,,,,,,,,,,,,10,
minoraverages/1915Spalding,1914,North Carolina League,,P10043,Brown,,0,Winston-Salem,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B00125,Bumb,,0,Asheville,,,115,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20046,Bumb,,0,Asheville,,,,,115,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,B00335,Butts,,0,Durham,,,121,,,,,,,,,,,,
minoraverages/1915Spalding,1914,North Carolina League,,F20552,Butts,,0,Durham,,,,,,,,,121,,,,,,
