source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Western Tri-State League,,B00515,Baker,,0,Baker,,,37,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20518,Baker,,0,Baker,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10168,Baker,,0,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00092,Berry,,1,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00092,Berry,,2,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00092,Berry,,T,,,,88,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20425,Berry,,1,North Yakima,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20425,Berry,,2,Baker,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20425,Berry,,T,,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00488,Bowden,,0,Pendleton,,,18,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00528,Bridger,,0,Walla Walla,,,26,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20620,Bridger,,0,Walla Walla,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10070,Bridger,,0,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00434,Briggs,,0,Pendleton,,,96,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20240,Briggs,,0,Pendleton,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00553,Brown,,0,Walla Walla,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20661,Brown,,0,Walla Walla,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10176,Cellars,,0,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00130,Cellers,,0,Baker,,,58,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20350,Cellers,,0,Baker,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00308,Childers,,0,Walla Walla,,,93,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20144,Childers,,0,Walla Walla,,,,,,,yes,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00370,Coen,,0,Pendleton,,,64,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20222,Coen,,0,Pendleton,,,,,,,,yes,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00293,Cushman,,0,North Yakima,,,11,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20153,Cushman,,0,North Yakima,,,,,,,yes,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00362,Daly,,0,Pendleton,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20458,Daly,,0,Pendleton,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10184,Daly,,0,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00278,Devine,,0,North Yakima,,,13,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20375,Devine,,0,North Yakima,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00589,Dunn,,0,Walla Walla,,,24,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20388,Dunn,,0,Walla Walla,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00566,Fitchner,,0,Pendleton,,,28,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20539,Fitchner,,0,Pendleton,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10043,Fitchner,,0,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00397,Ford,,0,North Yakima,,,66,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20067,Ford,,0,North Yakima,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20102,Ford,,0,North Yakima,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20265,Ford,,0,North Yakima,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00045,French,,0,Baker,,,85,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20128,French,,0,Baker,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00174,Fuller,,1,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00174,Fuller,,2,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00174,Fuller,,T,,,,92,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20046,Fuller,,1,Baker,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20046,Fuller,,2,North Yakima,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20046,Fuller,,T,,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20737,Fuller,,1,Baker,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20737,Fuller,,2,North Yakima,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20737,Fuller,,T,,,,,,,,,,,,,,yes,,
researchers/morris,1914,Western Tri-State League,,STZBWNS,Fuller,Nick,,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00502,Fulwider,,0,Baker,,,47,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20526,Fulwider,,0,Baker,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10159,Fulwider,,1,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10159,Fulwider,,2,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10159,Fulwider,,T,,,,,,,,,,,,,,,,
researchers/morris,1914,Western Tri-State League,,PRFQJSD,Fulwider,C.,,Baker City,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00442,Gardner,,0,Walla Walla,,,29,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20391,Gardner,,0,Walla Walla,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00427,Greene,,0,North Yakima,,,61,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20115,Greene,,0,North Yakima,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00469,Harmon,,0,Walla Walla,,,11,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20316,Harmon,,0,Walla Walla,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00319,Harrod,,0,North Yakima,,,84,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20131,Harrod,,0,North Yakima,,,,,,,yes,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00646,Holmes,,0,North Yakima,,,17,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20648,Holmes,,0,North Yakima,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00609,Jackson,,0,Walla Walla,,,17,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00037,Johnson,,0,Walla Walla,,,92,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20417,Johnson,,0,Walla Walla,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00667,Jones,,0,Baker,,,12,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00638,Kile,,0,North Yakima,,,21,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20612,Kile,,0,North Yakima,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10192,Kile,,0,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00491,King,,0,Baker,,,91,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20673,King,,0,Baker,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00381,Krause,,0,North Yakima,,,96,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20206,Krause,,0,North Yakima,,,,,,,,yes,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00207,Leeper,,0,Walla Walla,,,58,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20430,Leeper,,0,Walla Walla,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20482,Leeper,,0,Walla Walla,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10100,Leeper,,0,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00614,Lewis,,1,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00614,Lewis,,2,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00614,Lewis,,T,,,,26,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20463,Lewis,,1,Pendleton,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20463,Lewis,,2,North Yakima,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20463,Lewis,,T,,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10202,Lewis,,1,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10202,Lewis,,2,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10202,Lewis,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00163,Lind,,0,Baker,,,96,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20327,Lind,,0,Baker,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00084,Lodell,,0,Pendleton,,,86,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20023,Lodell,,0,Pendleton,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00590,Lund,,0,Walla Walla,,,19,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20560,Lund,,0,Walla Walla,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10097,Lund,,0,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00343,Lundstrum,,0,Walla Walla,,,93,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20190,Lundstrum,,0,Walla Walla,,,,,,,,yes,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00264,McKeen,,1,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00264,McKeen,,2,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00264,McKeen,,3,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00264,McKeen,,T,,,,68,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20072,McKeen,,1,Walla Walla,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20072,McKeen,,2,Pendleton,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20072,McKeen,,3,Baker,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20072,McKeen,,T,,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20401,McKeen,,0,Pendleton,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00324,McQuary,,1,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00324,McQuary,,2,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00324,McQuary,,T,,,,49,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20298,McQuary,,1,Pendleton,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20298,McQuary,,2,North Yakima,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20298,McQuary,,T,,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20505,McQuary,,0,North Yakima,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10145,McQuary,,1,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10145,McQuary,,2,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10145,McQuary,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00149,Meili,,0,Baker,,,21,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20571,Meili,,0,Baker,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10113,Meili,,0,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00013,Mensor,,0,Pendleton,,,18,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20279,Mensor,,0,Pendleton,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00101,Nadeau,,0,Baker,,,65,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20303,Nadeau,,0,Baker,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00117,Naughton,,0,Pendleton,,,96,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20095,Naughton,,0,Pendleton,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00229,Osborne,,0,Pendleton,,,46,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20474,Osborne,,0,Pendleton,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10024,Osborne,,0,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00021,Pembrooke,,0,Pendleton,,,88,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20657,Pembrooke,,0,Pendleton,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00125,Peterson,,0,Pendleton,,,81,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00286,Peterson,,0,North Yakima,,,59,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20166,Peterson,,0,Pendleton,,,,,,,yes,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20449,Peterson,,0,North Yakima,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20547,Peterson,,0,North Yakima,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20685,Peterson,,0,Pendleton,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10056,Peterson,,0,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00255,Plautz,,0,North Yakima,,,65,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20369,Plautz,,0,North Yakima,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00577,Pugsley,,0,North Yakima,,,15,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20552,Pugsley,,0,North Yakima,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00335,Reese,,0,Walla Walla,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20496,Reese,,0,Walla Walla,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10019,Reese,,0,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00210,Remmer,,0,Walla Walla,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20700,Remmer,,0,Walla Walla,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00158,Schmidt,,0,Walla Walla,,,89,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20080,Schmidt,,0,Walla Walla,,,,,,yes,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00403,Schroeder,,0,Pendleton,,,32,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20604,Schroeder,,0,Pendleton,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10035,Schroeder,,0,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00068,Sheely,,0,Walla Walla,,,93,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20038,Sheely,,0,Walla Walla,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20713,Sheely,,0,Walla Walla,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00182,Sigsby,,0,Baker,,,86,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20177,Sigsby,,0,Baker,,,,,,,yes,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00059,Stokke,,0,North Yakima,,,64,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20051,Stokke,,0,North Yakima,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20254,Stokke,,0,North Yakima,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00450,Sutherland,,0,Baker,,,49,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20594,Sutherland,,0,Baker,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10062,Sutherland,,0,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00475,Taylor,,0,North Yakima,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20699,Taylor,,0,North Yakima,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00196,Telford,,0,Walla Walla,,,20,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20583,Telford,,0,Walla Walla,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10137,Telford,,0,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00241,Togneri,,0,Baker,,,88,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20211,Togneri,,0,Baker,,,,,,,,yes,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00076,Varian,,0,Pendleton,,,87,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20342,Varian,,0,Pendleton,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00531,Wallace,,1,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00531,Wallace,,2,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00531,Wallace,,T,,,,95,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20334,Wallace,,0,Walla Walla,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00416,Walters,,1,Pendleton,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00416,Walters,,2,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00416,Walters,,3,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00416,Walters,,4,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00416,Walters,,T,,,,65,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20014,Walters,,1,Pendleton,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20014,Walters,,2,North Yakima,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20014,Walters,,3,Baker,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20014,Walters,,4,Walla Walla,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20014,Walters,,T,,,,,,yes,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00623,Washington,,1,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00623,Washington,,2,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00623,Washington,,T,,,,12,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20636,Washington,,0,Walla Walla,,,,,,,,,,,,,,yes,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10121,Washington,,1,Walla Walla,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10121,Washington,,2,Baker,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10121,Washington,,T,,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00651,Watts,,0,Baker,,,11,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00356,Webb,,0,North Yakima,,,66,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20721,Webb,,0,North Yakima,,,,,,,,,,,,,yes,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00672,Welch,,0,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,P10081,Welch,,0,North Yakima,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00232,Wetzel,,0,Baker,,,22,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20233,Wetzel,,0,Baker,,,,,,,,,yes,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,B00544,Whitt,,0,Pendleton,,,46,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20189,Whitt,,0,Pendleton,,,,,,,,yes,,,,,,,
minoraverages/1915Spalding,1914,Western Tri-State League,,F20287,Whitt,,0,Pendleton,,,,,,,,,yes,,,,,,
