source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,American Association,,P10606,Aldridge,,0,Indianapolis,,6,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B00356,Alexander,,0,Kansas City,70,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F21609,Alexander,,0,Kansas City,,,,,,,,,,,69,,
minoraverages/1916Reach,1915,American Association,,B00491,Allison,,0,Kansas City,20,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F21092,Allison,,0,Kansas City,,,,,,,,,,,,20,
minoraverages/1916Reach,1915,American Association,,P10410,Allison,,0,Kansas City,,24,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,P11222,Allison,,0,Kansas City,,24,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B00196,Altizer,,0,Minneapolis,149,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20552,Altizer,,0,Minneapolis,,,,,,35,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20981,Altizer,,0,Minneapolis,,,,,,,114,,,,,,
minoraverages/1916Reach,1915,American Association,,B00335,Autrey,,0,Minneapolis,138,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20067,Autrey,,1,St. Paul,,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20067,Autrey,,2,Minneapolis,,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20067,Autrey,,T,,,,137,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,P10746,Bacon,,0,Columbus,,2,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B00293,Barbeau,,0,Milwaukee,121,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20233,Barbeau,,0,Milwaukee,,,,90,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20449,Barbeau,,0,Milwaukee,,,,,15,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B01234,Bassler,,0,Cleveland,29,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F21590,Bassler,,0,Cleveland,,,,,,,,,,,20,,
minoraverages/1916Reach,1915,American Association,,B00059,Beall,J.,0,Milwaukee,154,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B01291,Beall,G.,0,Cleveland,69,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20046,Beall,G.,0,Cleveland,,,69,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20864,Beall,J.,0,Milwaukee,,,,,,,149,,,,,,
minoraverages/1916Reach,1915,American Association,,P10767,Benn,,0,Cleveland,,3,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,P10516,Bennett,,0,Columbus,,10,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,P11350,Bennett,,0,Columbus,,10,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B00904,Benson,,0,Columbus,145,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20316,Benson,,0,Columbus,,,,143,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B00898,Bentley,,0,Minneapolis,16,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,P10277,Bentley,,0,Minneapolis,,14,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,P11254,Bentley,,0,Minneapolis,,14,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B00771,Berg,,0,Milwaukee,131,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20240,Berg,,0,Milwaukee,,,,25,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20474,Berg,,0,Milwaukee,,,,,19,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20594,Berg,,0,Milwaukee,,,,,,87,,,,,,,
minoraverages/1916Reach,1915,American Association,,B00370,Billings,,0,Cleveland,68,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F21646,Billings,,0,Cleveland,,,,,,,,,,,53,,
minoraverages/1916Reach,1915,American Association,,B00912,Blackburn,,0,Indianapolis,81,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F21667,Blackburn,,0,Indianapolis,,,,,,,,,,,76,,
minoraverages/1916Reach,1915,American Association,,P10738,Boothby,,0,Columbus,,6,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B00667,Bowman,,0,Cleveland,20,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F21084,Bowman,,0,Cleveland,,,,,,,,,,,,19,
minoraverages/1916Reach,1915,American Association,,P10385,Bowman,,0,Cleveland,,20,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,P11190,Bowman,,0,Cleveland,,20,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,B01119,Brannan,,0,Milwaukee,115,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F21672,Brannan,,0,Milwaukee,,,,,,,,,,,108,,
minoraverages/1916Reach,1915,American Association,,B00076,Bratchi,,0,Columbus,25,,,,,,,,,,,,
minoraverages/1916Reach,1915,American Association,,F20832,Bratchi,,0,Columbus,,,,,,,25,,,,,,
minoraverages/1916Reach,1915,American Association,,B00783,Brenton,,0,Cleveland,31,,,,,,,,,,,,
