source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
retrosheet/1915,1915,American League,acosm101,acosm101,Acosta,Merito,,Washington,19150415,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,American League,agnes101,agnes101,Agnew,Sam,,St. Louis,19150414,19151003,,,,,,,,,,,,,
researchers/mcconnell,1915,American League,ainse101,CYKQXPR,Ainsmith,Edward,,Washington,,,,,,,,,,,,,,,
retrosheet/1915,1915,American League,ainse101,ainse101,Ainsmith,Eddie,,Washington,19150414,19150930,,,,,,,,,,,,,
retrosheet/1915,1915,American League,alexw101,alexw101,Alexander,Walt,,New York,19150802,19151007,,,,,,,,,,,,,
retrosheet/1915,1915,American League,alexw101,alexw101,Alexander,Walt,,St. Louis,19150415,19150415,,,,,,,,,,,,,
retrosheet/1915,1915,American League,altrn101,altrn101,Altrock,Nick,,Washington,19150719,19150719,,,,,,,,,,,,,
retrosheet/1915,1915,American League,anckw101,anckw101,Ancker,Walter,,Philadelphia,19150903,19150914,,,,,,,,,,,,,
researchers/mcconnell,1915,American League,austj101,BGPBXQB,Austin,James,,St. Louis,,,,,,,,,,,,,,,
retrosheet/1915,1915,American League,austj101,austj101,Austin,Jimmy,,St. Louis,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,ayerd101,ayerd101,Ayers,Doc,,Washington,19150415,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,American League,baked102,baked102,Baker,Del,,Detroit,19150414,19150930,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bakeh101,bakeh101,Baker,Howard,,Chicago,19150422,19150429,,,,,,,,,,,,,
researchers/morris,1915,American League,bankb101,SSBBGYW,Bankston,,,Philadelphia,,,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bankb101,bankb101,Bankston,Bill,,Philadelphia,19150805,19150927,,,,,,,,,,,,,
retrosheet/1915,1915,American League,barbw101,barbw101,Barbare,Walter,,Cleveland,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,barbt101,barbt101,Barber,Turner,,Washington,19150819,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,American League,barne104,barne104,Barney,Ed,,New York,19150722,19150807,,,,,,,,,,,,,
retrosheet/1915,1915,American League,barrj104,barrj104,Barry,Jack,,Boston,19150703,19151013,,,,,,,,,,,,,
retrosheet/1915,1915,American League,barrj104,barrj104,Barry,Jack,,Philadelphia,19150414,19150619,,,,,,,,,,,,,
retrosheet/1915,1915,American League,baump101,baump101,Baumann,Paddy,,New York,19150426,19151007,,,,,,,,,,,,,
retrosheet/1915,1915,American League,baumg101,baumg101,Baumgardner,George,,St. Louis,19150415,19150509,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bentj101,bentj101,Bentley,Jack,,Washington,19150415,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,American League,benzj101,benzj101,Benz,Joe,,Chicago,19150424,19151002,,,,,,,,,,,,,
retrosheet/1915,1915,American League,billj103,billj103,Billings,Josh,,Cleveland,19150426,19150925,,,,,,,,,,,,,
retrosheet/1915,1915,American League,blacl101,blacl101,Blackburne,Lena,,Chicago,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,boehg101,boehg101,Boehler,George,,Detroit,19150421,19150924,,,,,,,,,,,,,
retrosheet/1915,1915,American League,boehj101,boehj101,Boehling,Joe,,Washington,19150417,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bolab101,bolab101,Boland,Bernie,,Detroit,19150414,19151002,,,,,,,,,,,,,
retrosheet/1915,1915,American League,boonl101,boonl101,Boone,Luke,,New York,19150414,19151007,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bosth101,bosth101,Bostick,Henry,,Philadelphia,19150518,19150519,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bowma101,bowma101,Bowman,Abe,,Cleveland,19150623,19150623,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bradn101,bradn101,Brady,Neal,,New York,19150925,19151007,,,,,,,,,,,,,
retrosheet/1915,1915,American League,brenl101,brenl101,Brenton,Lynn,,Cleveland,19150816,19150929,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bresr101,bresr101,Bressler,Rube,,Philadelphia,19150416,19150921,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bretj101,bretj101,Breton,Jim,,Chicago,19150414,19150717,,,,,,,,,,,,,
retrosheet/1915,1915,American League,brieb101,brieb101,Brief,Bunny,,Chicago,19150414,19150711,,,,,,,,,,,,,
retrosheet/1915,1915,American League,browb103,browb103,Brown,Boardwalk,,New York,19150416,19151007,,,,,,,,,,,,,
retrosheet/1915,1915,American League,burkc101,burkc101,Burkam,Chauncey,,St. Louis,19150624,19150624,,,,,,,,,,,,,
retrosheet/1915,1915,American League,burng102,burng102,Burns,George,,Detroit,19150526,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bushd102,bushd102,Bush,Donie,,Detroit,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,bushj102,bushj102,Bush,Bullet Joe,,Philadelphia,19150415,19150922,,,,,,,,,,,,,
retrosheet/1915,1915,American League,cadyh101,cadyh101,Cady,Hick,,Boston,19150414,19151013,,,,,,,,,,,,,
retrosheet/1915,1915,American League,caldr101,caldr101,Caldwell,Ray,,New York,19150419,19151004,,,,,,,,,,,,,
retrosheet/1915,1915,American League,carrb101,carrb101,Carrigan,Bill,,Boston,19150415,19151011,,,,,,,,,,,,,
retrosheet/1915,1915,American League,cartp101,cartp101,Carter,Paul,,Cleveland,19150828,19150929,,,,,,,,,,,,,
retrosheet/1915,1915,American League,cavep101,cavep101,Cavet,Pug,,Detroit,19150416,19150710,,,,,,,,,,,,,
retrosheet/1915,1915,American League,chapr101,chapr101,Chapman,Ray,,Cleveland,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,chapl101,chapl101,Chappell,Larry,,Chicago,19150423,19150423,,,,,,,,,,,,,
retrosheet/1915,1915,American League,cicoe101,cicoe101,Cicotte,Eddie,,Chicago,19150414,19150929,,,,,,,,,,,,,
retrosheet/1915,1915,American League,cobbt101,cobbt101,Cobb,Ty,,Detroit,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,colek101,colek101,Cole,King,,New York,19150713,19150920,,,,,,,,,,,,,
retrosheet/1915,1915,American League,colla101,colla101,Collamore,Allan,,Cleveland,19150818,19151002,,,,,,,,,,,,,
retrosheet/1915,1915,American League,colle101,colle101,Collins,Eddie,,Chicago,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,collr103,collr103,Collins,Ray,,Boston,19150415,19151007,,,,,,,,,,,,,
retrosheet/1915,1915,American League,colls101,colls101,Collins,Shano,,Chicago,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,comsr101,comsr101,Comstock,Ralph,,Boston,19150416,19150422,,,,,,,,,,,,,
retrosheet/1915,1915,American League,coneb101,coneb101,Cone,Bob,,Philadelphia,19150725,19150725,,,,,,,,,,,,,
retrosheet/1915,1915,American League,connt101,connt101,Connolly,Tom,,Washington,19150512,19151002,,,,,,,,,,,,,
retrosheet/1915,1915,American League,conwo101,conwo101,Conway,Owen,,Philadelphia,19150621,19150623,,,,,,,,,,,,,
retrosheet/1915,1915,American League,cookd101,cookd101,Cook,Doc,,New York,19150414,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,American League,cookr102,cookr102,Cook,Rollin,,St. Louis,19150706,19150811,,,,,,,,,,,,,
retrosheet/1915,1915,American League,coopg102,coopg102,Cooper,Guy,,Boston,19150924,19150924,,,,,,,,,,,,,
retrosheet/1915,1915,American League,corca101,corca101,Corcoran,Art,,Philadelphia,19150909,19150909,,,,,,,,,,,,,
retrosheet/1915,1915,American League,cotte101,cotte101,Cottrell,Ensign,,New York,19150527,19150709,,,,,,,,,,,,,
retrosheet/1915,1915,American League,coumf101,coumf101,Coumbe,Fritz,,Cleveland,19150417,19150925,,,,,,,,,,,,,
retrosheet/1915,1915,American League,coveh101,coveh101,Coveleski,Harry,,Detroit,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,crans102,crans102,Crane,Sam,,Philadelphia,19150825,19150921,,,,,,,,,,,,,
retrosheet/1915,1915,American League,craws101,craws101,Crawford,Sam,,Detroit,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,creeb101,creeb101,Cree,Birdie,,New York,19150414,19150921,,,,,,,,,,,,,
retrosheet/1915,1915,American League,crowc101,crowc101,Crowell,Cap,,Philadelphia,19150623,19150924,,,,,,,,,,,,,
retrosheet/1915,1915,American League,dalet101,dalet101,Daley,Tom,,New York,19150422,19150709,,,,,,,,,,,,,
retrosheet/1915,1915,American League,dalrb101,dalrb101,Dalrymple,Bill,,St. Louis,19150706,19150722,,,,,,,,,,,,,
retrosheet/1915,1915,American League,dalyt102,dalyt102,Daly,Tom,,Chicago,19150414,19150826,,,,,,,,,,,,,
retrosheet/1915,1915,American League,damrh101,damrh101,Damrau,Harry,,Philadelphia,19150917,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,American League,dannb101,dannb101,Danner,Buck,,Philadelphia,19150917,19150924,,,,,,,,,,,,,
retrosheet/1915,1915,American League,daush101,daush101,Dauss,Hooks,,Detroit,19150415,19150930,,,,,,,,,,,,,
retrosheet/1915,1915,American League,davic104,davic104,Davies,Chick,,Philadelphia,19150415,19150929,,,,,,,,,,,,,
retrosheet/1915,1915,American League,davib104,davib104,Davis,Bud,,Philadelphia,19150419,19150923,,,,,,,,,,,,,
retrosheet/1915,1915,American League,david102,david102,Davis,Dixie,,Chicago,19150902,19150905,,,,,,,,,,,,,
retrosheet/1915,1915,American League,davih101,davih101,Davis,Harry,,Philadelphia,19150529,19150807,,,,,,,,,,,,,
retrosheet/1915,1915,American League,dee-s101,dee-s101,Dee,Shorty,,St. Louis,19150914,19150914,,,,,,,,,,,,,
retrosheet/1915,1915,American League,demmr101,demmr101,Demmitt,Ray,,Chicago,19150414,19150521,,,,,,,,,,,,,
retrosheet/1915,1915,American League,donob101,donob101,Donovan,Bill,,New York,19150606,19150909,,,,,,,,,,,,,
retrosheet/1915,1915,American League,dubuj101,dubuj101,Dubuc,Jean,,Detroit,19150417,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,American League,dumog101,dumog101,Dumont,George,,Washington,19150914,19151002,,,,,,,,,,,,,
retrosheet/1915,1915,American League,eastc101,eastc101,East,Carl,,St. Louis,19150824,19150824,,,,,,,,,,,,,
retrosheet/1915,1915,American League,ecclh101,ecclh101,Eccles,Harry,,Philadelphia,19150913,19150927,,,,,,,,,,,,,
retrosheet/1915,1915,American League,edwar101,edwar101,Edwards,Ralph,,Philadelphia,19150917,19150917,,,,,,,,,,,,,
retrosheet/1915,1915,American League,eganb101,eganb101,Egan,Ben,,Cleveland,19150416,19150923,,,,,,,,,,,,,
retrosheet/1915,1915,American League,engej101,engej101,Engel,Joe,,Washington,19150507,19150718,,,,,,,,,,,,,
