source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,Central League,,B01269,Ainsworth,,0,Fort Wayne,,,38,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20908,Ainsworth,,0,Fort Wayne,,,,,,,,,,,,,,37,
minoraverages/1916Reach,1915,Central League,,P10043,Ainsworth,,0,Fort Wayne,,,,37,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00117,Alcock,,1,Erie,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00117,Alcock,,2,Grand Rapids,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00117,Alcock,,T,,,,95,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20279,Alcock,,1,Erie,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20279,Alcock,,2,Grand Rapids,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20279,Alcock,,T,,,,,,,49,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20375,Alcock,,1,Erie,,,,,,,yes,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20375,Alcock,,2,Grand Rapids,,,,,,,yes,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20375,Alcock,,T,,,,,,,,46,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00308,Aldridge,,0,Erie,,,31,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F21013,Aldridge,,0,Erie,,,,,,,,,,,,,,30,
minoraverages/1916Reach,1915,Central League,,P10062,Aldridge,,0,Erie,,,,30,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00241,Altenberg,,0,Youngstown,,,114,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F21356,Altenberg,,0,Youngstown,,,,,,,,,114,,,,,,
minoraverages/1916Reach,1915,Central League,,B00324,Altermatt,,0,Evansville,,,119,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20369,Altermatt,,0,Evansville,,,,,,,119,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00278,Anderson,,1,Grand Rapids,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00278,Anderson,,2,Wheeling,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00278,Anderson,,T,,,,128,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20067,Anderson,,1,Grand Rapids,,,,,yes,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20067,Anderson,,2,Wheeling,,,,,yes,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20067,Anderson,,T,,,,,,128,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B01143,Barron,,0,Wheeling,,,14,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20832,Barron,,0,Wheeling,,,,,,,,,,,,,,14,
minoraverages/1916Reach,1915,Central League,,P10550,Barron,,0,Wheeling,,,,14,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00833,Behan,,0,Erie,,,13,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20657,Behan,,0,Erie,,,,,,,,12,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00515,Bell,,1,Fort Wayne,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00515,Bell,,2,Wheeling,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00515,Bell,,T,,,,29,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20298,Bell,,1,Fort Wayne,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20298,Bell,,2,Wheeling,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20298,Bell,,T,,,,,,,18,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20417,Bell,,1,Fort Wayne,,,,,,,yes,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20417,Bell,,2,Wheeling,,,,,,,yes,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20417,Bell,,T,,,,,,,,11,,,,,,,,
minoraverages/1916Reach,1915,Central League,,P10097,Bell,,0,Grand Rapids,,,,5,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00646,Beyers,,0,Fort Wayne,,,111,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20721,Beyers,,0,Fort Wayne,,,,,,,,,,,,,111,,
minoraverages/1916Reach,1915,Central League,,B00577,Blount,,0,Youngstown,,,120,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F21475,Blount,,0,Youngstown,,,,,,,,,120,,,,,,
minoraverages/1916Reach,1915,Central League,,B00319,Brant,,0,Fort Wayne,,,124,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20233,Brant,,0,Fort Wayne,,,,,,42,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20552,Brant,,0,Fort Wayne,,,,,,,,82,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00125,Bratchi,,0,Fort Wayne,,,124,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F21590,Bratchi,,0,Fort Wayne,,,,,,,,,124,,,,,,
minoraverages/1916Reach,1915,Central League,,B00182,Brautigan,,0,Fort Wayne,,,45,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20254,Brautigan,,0,Terre Haute,,,,,,19,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20583,Brautigan,,0,Terre Haute,,,,,,,,27,,,,,,,
minoraverages/1916Reach,1915,Central League,,B01288,Brown,,0,Terre Haute,,,14,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20131,Brown,,0,Terre Haute,,,,,,11,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00806,Brubaker,,0,Fort Wayne,,,42,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20526,Brubaker,,0,Fort Wayne,,,,,,,,42,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00434,Callahan,,0,Grand Rapids,,,52,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20153,Callahan,,0,Grand Rapids,,,,,,50,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00973,Cannon,,0,Erie,,,11,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F21286,Cannon,,0,Erie,,,,,,,,,11,,,,,,
minoraverages/1916Reach,1915,Central League,,B01093,Cantley,,0,Evansville,,,33,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20956,Cantley,,0,Evansville,,,,,,,,,,,,,,33,
minoraverages/1916Reach,1915,Central League,,P10121,Cantley,,0,Evansville,,,,33,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00531,Carlson,,0,Grand Rapids,,,12,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F21101,Carlson,,0,Grand Rapids,,,,,,,,,,,,,,12,
minoraverages/1916Reach,1915,Central League,,P10336,Carlson,,0,Grand Rapids,,,,12,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,P10035,Clark,,0,Evansville,,,,4,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,B00920,Clemens,,0,Dayton,,,74,,,,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20177,Clemens,,0,Dayton,,,,,,30,,,,,,,,,
minoraverages/1916Reach,1915,Central League,,F20604,Clemens,,0,Dayton,,,,,,,,17,,,,,,,
minoraverages/1916Reach,1915,Central League,,F21651,Clemens,,0,Dayton,,,,,,,,,28,,,,,,
minoraverages/1916Reach,1915,Central League,,B01402,Close,,0,Erie,,,10,,,,,,,,,,,,
