source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,Colonial League,,B00879,Adams,,0,Pawtucket,,,17,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21442,Adams,,0,Pawtucket,,,,,,,,,,,,,,19,
minoraverages/1916Reach,1915,Colonial League,,P10244,Adams,,0,Pawtucket,,,,19,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00614,Aldred,,1,Pawtucket,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00614,Aldred,,2,Brockton,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00614,Aldred,,3,New Bedford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00614,Aldred,,T,,,,84,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20737,Aldred,,1,Pawtucket,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20737,Aldred,,2,Brockton,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20737,Aldred,,3,New Bedford,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20737,Aldred,,T,,,,,,,,,,84,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00528,Bangs,,0,Brockton,,,82,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20254,Bangs,,0,Brockton,,,,,,89,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00502,Barry,,1,Taunton,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00502,Barry,,2,Pawtucket,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00502,Barry,,T,,,,59,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21130,Barry,,1,Taunton,,,,,,,,,,,,,yes,,
minoraverages/1916Reach,1915,Colonial League,,F21130,Barry,,2,Pawtucket,,,,,,,,,,,,,yes,,
minoraverages/1916Reach,1915,Colonial League,,F21130,Barry,,T,,,,,,,,,,,,,,59,,
minoraverages/1916Reach,1915,Colonial League,,B01108,Beason,,0,Brockton,,,29,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21544,Benson,,0,Brockton,,,,,,,,,,,,,,28,
minoraverages/1916Reach,1915,Colonial League,,P10176,Benson,,0,Brockton,,,,28,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00241,Bentley,,1,Fall River,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00241,Bentley,,2,Springfield,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00241,Bentley,,T,,,,97,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20375,Bentley,,1,Fall River,,,,,,,yes,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20375,Bentley,,2,Springfield,,,,,,,yes,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20375,Bentley,,T,,,,,,,,29,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20547,Bentley,,1,Fall River,,,,,,,,yes,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20547,Bentley,,2,Springfield,,,,,,,,yes,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20547,Bentley,,T,,,,,,,,,68,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B01234,Billiard,,0,Hartford,,,23,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21335,Billiard,,0,Hartford,,,,,,,,,,,,,,17,
minoraverages/1916Reach,1915,Colonial League,,P10043,Billiard,,0,Hartford,,,,17,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20878,Bottomley,,1,Brockton,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20878,Bottomley,,2,New Bedford,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20878,Bottomley,,T,,,,,,,,,,30,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21196,Bottomley,,1,Pawtucket,,,,,,,,,,,,,yes,,
minoraverages/1916Reach,1915,Colonial League,,F21196,Bottomley,,2,New Bedford,,,,,,,,,,,,,yes,,
minoraverages/1916Reach,1915,Colonial League,,F21196,Bottomley,,T,,,,,,,,,,,,,,14,,
minoraverages/1916Reach,1915,Colonial League,,B00491,Bottomly,,1,Pawtucket,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00491,Bottomly,,2,New Bedford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00491,Bottomly,,T,,,,46,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00158,Boucher,,0,Pawtucket,,,42,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20342,Boucher,,0,Pawtucket,,,,,,10,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20496,Boucher,,0,Pawtucket,,,,,,,,32,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00229,Boyle,,0,Pawtucket,,,18,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20657,Boyle,,0,Pawtucket,,,,,,,,,7,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21232,Boyle,,0,Pawtucket,,,,,,,,,,,,,,11,
minoraverages/1916Reach,1915,Colonial League,,P10336,Boyle,,0,Pawtucket,,,,11,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00680,Burns,,0,Pawtucket,,,39,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B01242,Burns,,0,Pawtucket,,,5,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20115,Burns,,0,Pawtucket,,,,,39,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21609,Burns,,0,Pawtucket,,,,,,,,,,,,,,6,
minoraverages/1916Reach,1915,Colonial League,,P10373,Burns,,0,Pawtucket,,,,6,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00021,Cabrera,,0,Springfield,,,24,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20474,Cabrera,,0,Springfield,,,,,,,,24,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B01086,Cannon,,0,Hartford,,,26,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21174,Cannon,,0,Hartford,,,,,,,,,,,,,25,,
minoraverages/1916Reach,1915,Colonial League,,B00577,Carr,,0,Pawtucket,,,92,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20401,Carr,,0,Pawtucket,,,,,,,92,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00811,Cassavant,,0,New Bedford,,,16,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20841,Cassavant,,0,New Bedford,,,,,,,,,13,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00747,Chappelle,,0,New Haven,,,13,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21319,Chappelle,,0,New Haven,,,,,,,,,,,,,,12,
minoraverages/1916Reach,1915,Colonial League,,P10202,Chappelle,,0,New Haven,,,,12,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00293,Chouinard,,0,Hartford,,,74,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20571,Chouinard,,0,Hartford,,,,,,,,45,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20886,Chouinard,,0,Hartford,,,,,,,,,24,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00182,Coles,,0,New Haven,,,103,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20768,Coles,,0,New Haven,,,,,,,,,101,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00434,Collins,,0,Springfield,,,51,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21059,Collins,,0,Springfield,,,,,,,,,50,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00646,Connell,,1,Fall River,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00646,Connell,,2,New Bedford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00646,Connell,,T,,,,32,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21149,Connell,,1,Fall River,,,,,,,,,,,,,yes,,
minoraverages/1916Reach,1915,Colonial League,,F21149,Connell,,2,New Bedford,,,,,,,,,,,,,yes,,
minoraverages/1916Reach,1915,Colonial League,,F21149,Connell,,T,,,,,,,,,,,,,,25,,
minoraverages/1916Reach,1915,Colonial League,,B00117,Courtney,,0,Brockton,,,69,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20131,Courtney,,0,Brockton,,,,,43,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20391,Courtney,,0,Brockton,,,,,,,16,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20636,Courtney,,0,Brockton,,,,,,,,,10,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00397,Crooke,,0,New Bedford,,,84,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20072,Crooke,,0,New Bedford,,,,,84,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00623,Dean,,0,Taunton,,,15,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20298,Dean,,0,Taunton,,,,,,15,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00013,Delahanty,,0,Hartford,,,76,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20222,Delahanty,,0,Hartford,,,,,,63,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00590,Demoe,,1,New Bedford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00590,Demoe,,2,Hartford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00590,Demoe,,T,,,,93,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20190,Demoe,,1,New Bedford,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20190,Demoe,,2,Hartford,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20190,Demoe,,T,,,,,,,50,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20560,Demoe,,1,New Bedford,,,,,,,,yes,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20560,Demoe,,2,Hartford,,,,,,,,yes,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20560,Demoe,,T,,,,,,,,,43,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00783,Dempsey,,0,Brockton,,,78,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21158,Dempsey,,0,Brockton,,,,,,,,,,,,,78,,
minoraverages/1916Reach,1915,Colonial League,,B00806,Devinney,,0,New Bedford,,,44,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F21528,Devinney,,0,New Bedford,,,,,,,,,,,,,,28,
minoraverages/1916Reach,1915,Colonial League,,P10231,Devinney,,0,New Bedford,,,,28,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00822,Dickinson,,0,Brockton,,,12,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20864,Dickinson,,0,Brockton,,,,,,,,,12,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B01007,Doherty,,0,Brockton,,,102,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,F20482,Doherty,,0,Brockton,,,,,,,,102,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00450,Dukette,,1,Pawtucket,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00450,Dukette,,2,New Bedford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,,B00450,Dukette,,T,,,,79,,,,,,,,,,,,
