source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,B01415,Alexander,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,B00182,Alford,,0,Dothan,,,12,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,F20829,Alford,,0,Dothan,,,,,,,,,,,,,12,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,F20316,Anderson,,0,Thomasville,,,,,,,,,11,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,F20463,Anderson,,0,Thomasville,,,,,,,,46,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,B00502,Ansley,,0,Brunswick,,,1,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,B00912,Antley,,0,Waycross,,,38,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,F20240,Antley,,0,Waycross,,,,,,,,,14,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,F20956,Antley,,0,Waycross,,,,,,,,,,,,,,20,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,P10202,Antley,,0,Waycross,,,,20,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,B01181,Askew,,0,Dothan,,,4,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,B00577,Attride,,0,Dothan,,,27,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,F20807,Attride,,0,Dothan,,,,,,,,,,,,,17,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,B00936,Baker,,1,Dothan,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,,B00936,Baker,,2,Gainesville,,,,,,,,,,,,,,,
