source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20919,Aaron,,0,Rome,,,,,,,,,,,,,,17,
minoraverages/1916Reach,1915,Georgia-Alabama League,,P10137,Aaron,,0,Rome,,,,18,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,P10159,Abercrombie,,0,Griffin,,,,2,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00638,Allison,,0,LaGrange,,,58,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20131,Allison,,0,LaGrange,,,,,,55,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20014,Amason,,0,LaGrange,,,,,58,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20893,Anderson,,0,Griffin,,,,,,,,,,,,,,15,
minoraverages/1916Reach,1915,Georgia-Alabama League,,P10113,Anderson,,0,Griffin,,,,13,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00101,Baker,,0,Talladega,,,61,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20401,Baker,,0,Talladega,,,,,,,,,,,,,61,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00286,Barrett,,0,Talladega,,,53,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00092,Boland,,0,LaGrange,,,58,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20792,Bostwick,,0,Griffin,,,,,,,,,,,,,,10,
minoraverages/1916Reach,1915,Georgia-Alabama League,,P10348,Bostwick,,0,Griffin,,,,8,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00308,Bowden,,0,Griffin,,,44,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20190,Bowden,,0,Griffin,,,,,,,34,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00084,Boyd,,0,Newnan,,,60,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00747,Boyd,,0,Newnan,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20547,Boyd,,0,Newnan,,,,,,,,,60,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00646,Boykin,,0,Anniston,,,45,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20449,Boykin,,0,Anniston,,,,,,,,,,,,,11,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20685,Boykin,,0,Anniston,,,,,,,,,25,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00515,Bradley,,0,Talladega,,,18,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20673,Bradley,,0,Talladega,,,,,,,,,18,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00196,Brazier,,0,Griffin,,,26,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20594,Brazier,,0,Griffin,,,,,,,,,26,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00293,Brittain,,0,Anniston,,,23,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20177,Brittain,,0,Anniston,,,,,,42,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00158,Brooks,,0,Griffin,,,14,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,P10168,Brooks,,0,Griffin,,,,10,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00577,Brown,,1,Anniston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00577,Brown,,2,LaGrange,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00577,Brown,,T,,,,22,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20604,Brown,,1,Anniston,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20604,Brown,,2,LaGrange,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20604,Brown,,T,,,,,,,,,,22,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00278,Burgess,,0,Rome,,,27,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20206,Burgess,,0,Newnan,,,,,,,27,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20943,Burleson,,0,LaGrange,,,,,,,,,,,,,,9,
minoraverages/1916Reach,1915,Georgia-Alabama League,,P10097,Burleson,,0,Rome,,,,8,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20518,Camp,,0,Talladega,,,,,,,,,57,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00059,Campbell,,0,Talladega,,,57,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00427,Chastant,,1,Anniston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00427,Chastant,,2,Newnan,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00427,Chastant,,T,,,,58,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20095,Chastant,,1,Newnan,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20095,Chastant,,2,Anniston,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20095,Chastant,,T,,,,,,,31,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,F20458,Chastant,,0,Anniston,,,,,,,,,27,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00475,Clapp,,1,Anniston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00475,Clapp,,2,Talladega,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Georgia-Alabama League,,B00475,Clapp,,T,,,,37,,,,,,,,,,,,
