source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B01124,Baldwin,,0,Peoria,,,32,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21475,Baldwin,,0,Peoria,,,,,,,,,,,,,29,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B01359,Barnes,J.,0,Davenport,,,37,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21037,Barnes,J.,0,Davenport,,,,,,,,,,,,,,30,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21343,Barnes,V.,0,Davenport,,,,,,,,,,,,,,7,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10035,Barnes,J.,0,Davenport,,,,30,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10429,Barnes,V.,0,Davenport,,,,7,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00117,Baxter,,0,Rockford,,,118,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20829,Baxter,,0,Rockford,,,,,,,,,118,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00416,Biltz,,0,Decatur,,,92,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20685,Biltz,,0,Decatur,,,,,,,,,92,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B01108,Bird,,0,Rockford,,,10,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21319,Bird,,0,Rockford,,,,,,,,,,,,,,6,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10019,Bird,,0,Rockford,,,,6,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00037,Block,,0,Freeport,,,21,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20700,Block,,0,Freeport,,,,,,,,,19,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00887,Boelzle,,0,Quincy,,,97,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21469,Boelzle,,0,Quincy,,,,,,,,,,,,,87,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B01162,Bohen,,1,Peoria,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B01162,Bohen,,2,Moline,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B01162,Bohen,,T,,,,30,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21232,Bohen,,1,Peoria,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21232,Bohen,,2,Moline,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21232,Bohen,,T,,,,,,,,,,,,,,,30,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10215,Bohen,,1,Peoria,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10215,Bohen,,2,Moline,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10215,Bohen,,T,,,,,30,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00229,Bossoloni,,1,Rockford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00229,Bossoloni,,2,Freeport,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00229,Bossoloni,,T,,,,104,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20222,Bossoloni,,1,Rockford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20222,Bossoloni,,2,Freeport,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20222,Bossoloni,,T,,,,,,,21,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20547,Bossoloni,,1,Rockford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20547,Bossoloni,,2,Freeport,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20547,Bossoloni,,T,,,,,,,,,,78,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00739,Boyle,,0,Peoria,,,92,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20095,Boyle,,0,Peoria,,,,,92,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00293,Brannigan,,0,Decatur,,,12,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20482,Brannigan,,0,Decatur,,,,,,,,12,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00101,Breen,,0,Rockford,,,129,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20279,Breen,,0,Rockford,,,,,,,129,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00752,Brewer,,1,Dubuque,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00752,Brewer,,2,Freeport,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00752,Brewer,,T,,,,76,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20080,Brewer,,1,Dubuque,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20080,Brewer,,2,Freeport,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20080,Brewer,,T,,,,,,76,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00589,Bromwich,,0,Davenport,,,113,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20316,Bromwich,,0,Davenport,,,,,,,113,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00442,Brown,,0,Decatur,,,92,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B01234,Brown,,0,Peoria,,,16,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20303,Brown,,0,Decatur,,,,,,,78,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F20342,Brown,,0,Decatur,,,,,,,,14,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21000,Brown,,0,Peoria,,,,,,,,,,,,,,15,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10121,Brown,,0,Peoria,,,,15,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00840,Burnham,,1,Dubuque,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00840,Burnham,,2,Freeport,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,B00840,Burnham,,T,,,,34,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21356,Burnham,,1,Dubuque,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21356,Burnham,,2,Freeport,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,F21356,Burnham,,T,,,,,,,,,,,,,,,32,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10231,Burnham,,1,Dubuque,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Illinois-Indiana-Iowa League,,P10231,Burnham,,2,Freeport,,,,,,,,,,,,,,,
