source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
retrosheet/1915,1915,National League,adams-pit,adamb104,Adams,Babe,,Pittsburgh,19150417,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,National League,adams-phi,adamb106,Adams,Bert,,Philadelphia,19150505,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,National League,adams-chi,adamk101,Adams,Karl,,Chicago,19150419,19150923,,,,,,,,,,,,,
retrosheet/1915,1915,National League,aitchison,aitcr101,Aitchison,Raleigh,,Brooklyn,19150417,19150620,,,,,,,,,,,,,
retrosheet/1915,1915,National League,alexander,alexg102,Alexander,Pete,,Philadelphia,19150414,19151011,,,,,,,,,,,,,
retrosheet/1915,1915,National League,ames ,amesr101,Ames,Red,,Cincinnati,19150414,19150717,,,,,,,,,,,,,
retrosheet/1915,1915,National League,ames ,amesr101,Ames,Red,,St. Louis,19150726,19151002,,,,,,,,,,,,,
retrosheet/1915,1915,National League,appleton,apple101,Appleton,Ed,,Brooklyn,19150416,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,National League,archer,archj102,Archer,Jimmy,,Chicago,19150414,19151002,,,,,,,,,,,,,
retrosheet/1915,1915,National League,babington,babic101,Babington,Charlie,,New York,19150720,19150926,,,,,,,,,,,,,
researchers/blau,1915,National League,baird,VQLZGGX,Baird,Doug,,Pittsburgh,,,,,,,,,,,,,,,
retrosheet/1915,1915,National League,baird,baird101,Baird,Doug,,Pittsburgh,19150417,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,National League,baker,bakeh101,Baker,Howard,,New York,19151006,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,National League,bancroft,bancd101,Bancroft,Dave,,Philadelphia,19150414,19151013,,,,,,,,,,,,,
retrosheet/1915,1915,National League,barnes,barnj102,Barnes,Jesse,,Boston,19150730,19150921,,,,,,,,,,,,,
retrosheet/1915,1915,National League,barney,barne104,Barney,Ed,,Pittsburgh,19150823,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,National League,baumgartner,baums101,Baumgartner,Stan,,Philadelphia,19150505,19150930,,,,,,,,,,,,,
retrosheet/1915,1915,National League,beall,bealj101,Beall,Johnny,,Cincinnati,19150925,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,National League,beck,beckz101,Beck,Zinn,,St. Louis,19150414,19150930,,,,,,,,,,,,,
retrosheet/1915,1915,National League,becker-phi,beckb101,Becker,Beals,,Philadelphia,19150414,19151013,,,,,,,,,,,,,
retrosheet/1915,1915,National League,becker-ny,beckm101,Becker,Marty,,New York,19150908,19151006,,,,,,,,,,,,,
retrosheet/1915,1915,National League,benton,bentr102,Benton,Rube,,Cincinnati,19150415,19150808,,,,,,,,,,,,,
retrosheet/1915,1915,National League,benton,bentr102,Benton,Rube,,New York,19150825,19151004,,,,,,,,,,,,,
retrosheet/1915,1915,National League,bescher,bescb101,Bescher,Bob,,St. Louis,19150414,19150926,,,,,,,,,,,,,
researchers/morris,1915,National League,betzel,TJWPXQR,Betzel,Albert,,St. Louis,,,,,,,,,,,,,,,
retrosheet/1915,1915,National League,betzel,betzb101,Betzel,Bruno,,St. Louis,19150414,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,National League,blackburn,blace101,Blackburn,Earl,,Boston,19150930,19151007,,,,,,,,,,,,,
researchers/blau,1915,National League,boardman,QBNSSYJ,Boardman,Charlie,,St. Louis,,,,,,,,,,,,,,,
researchers/blau,1915,National League,boardman,QJJZFSW,Boardman,Charlie,,St. Louis,,,,,,,,,,,,,,,
retrosheet/1915,1915,National League,boardman,boarc101,Boardman,Charlie,,St. Louis,19150914,19150921,,,,,,,,,,,,,
retrosheet/1915,1915,National League,brainard,braif101,Brainard,Fred,,New York,19150417,19151007,,,,,,,,,,,,,
retrosheet/1915,1915,National League,bresnahan,bresr102,Bresnahan,Roger,,Chicago,19150417,19151003,,,,,,,,,,,,,
retrosheet/1915,1915,National League,brown-cin,browc104,Brown,Curly,,Cincinnati,19150417,19150601,,,,,,,,,,,,,
retrosheet/1915,1915,National League,brown-bro,browe101,Brown,Elmer,,Brooklyn,19150414,19150414,,,,,,,,,,,,,
retrosheet/1915,1915,National League,brown-stl,browj108,Brown,Jim,,St. Louis,19150913,19150913,,,,,,,,,,,,,
retrosheet/1915,1915,National League,burns-phi,burne101,Burns,Ed,,Philadelphia,19150424,19151013,,,,,,,,,,,,,
retrosheet/1915,1915,National League,burns-ny,burng101,Burns,George,,New York,19150414,19151007,,,,,,,,,,,,,
retrosheet/1915,1915,National League,butler,butla101,Butler,Art,,St. Louis,19150414,19150912,,,,,,,,,,,,,
