source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,New England Lague,,P10244,Barron,,0,Lawrence,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10192,Daniels,,0,Worcester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10277,Dedrick,,0,Lynn,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10184,Durning,,1,Lynn,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10184,Durning,,2,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10184,Durning,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10070,Fuller,,0,Lawrence,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10289,Green,,0,Lowell,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10137,Horsey,,0,Manchester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10145,Houser,,0,Lowell,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10290,Jewett,,0,Lynn,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10348,Johnston,,1,Worcester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10348,Johnston,,2,Manchester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10348,Johnston,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10043,Jordan,,0,Portland,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10121,King,,1,Manchester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10121,King,,2,Lowell,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10121,King,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10113,Lohman,,0,Lowell,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10019,Martin,,0,Portland,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10357,Martin,,1,Lewiston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10357,Martin,,2,Lynn,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10357,Martin,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10097,Mayberry,,0,Portland,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10100,McCabe,,1,Lewiston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10100,McCabe,,2,Lynn,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10100,McCabe,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10024,More,,0,Portland,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10361,Mulrenan,,0,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10168,Pearson,,0,Lawrence,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10253,Pennington,,1,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10253,Pennington,,2,Lawrence,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10253,Pennington,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10304,Press,,1,Lynn,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10304,Press,,2,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10304,Press,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10215,Rettig,,0,Lewiston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10231,Rieger,,1,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10231,Rieger,,2,Manchester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10231,Rieger,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10176,Schwartz,,0,Lewiston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10202,Shears,,0,Lawrence,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10385,Sline,,0,Manchester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10336,Smith,,0,Manchester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10035,Thompson,,0,Lawrence,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10320,Tuckey,,0,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10056,Tuero,,0,Lewiston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10081,Van Dyke,,0,Worcester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10062,Watkins,,0,Portland,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10312,Weaver,,0,Worcester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10373,Whittaker,,0,Lewiston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10159,Williams,,0,Lynn,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10266,Williams,,1,Portland,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10266,Williams,,2,Lowell,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10266,Williams,,T,,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England Lague,,P10228,Zieser,,0,Lowell,,,,,,,,,,,,,,,
