source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,New England League,ahearn,B00286,Ahearn,,0,Lowell,,,84,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,ahearn,F20962,Ahearn,,0,Lowell,,,,,,,,,,,,,83,,
minoraverages/1916Reach,1915,New England League,barron,B01197,Barron,,0,Lawrence,,,36,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,barron,F21343,Barron,,0,Lawrence,,,,,,,,,,,,,,26,
minoraverages/1916Reach,1915,New England League,barron,P10244,Barron,,0,Lawrence,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,barrows,B00013,Barrows,,0,Lowell,,,114,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,barrows,F20552,Barrows,,0,Lowell,,,,,,,,,114,,,,,,
minoraverages/1916Reach,1915,New England League,becker,B00362,Becker,,0,Lewiston,,,92,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,becker,F20807,Becker,,0,Lewiston,,,,,,,,,90,,,,,,
minoraverages/1916Reach,1915,New England League,bowcock,B00865,Bowcock,,0,Lowell,,,51,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,bowcock,F20190,Bowcock,,0,Lowell,,,,,,51,,,,,,,,,
minoraverages/1916Reach,1915,New England League,bowden,B00068,Bowden,,0,Portland,,,15,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,brickley,B00985,Brickley,,0,Lawrence,,,16,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,brickley,F20699,Brickley,,0,Lawrence,,,,,,,,,16,,,,,,
minoraverages/1916Reach,1915,New England League,briggs,B00158,Briggs,,0,Manchester,,,114,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,briggs,F20737,Briggs,,0,Manchester,,,,,,,,,114,,,,,,
minoraverages/1916Reach,1915,New England League,burns,B00207,Burns,,0,Portland,,,114,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,burns,F20620,Burns,,0,Portland,,,,,,,,,102,,,,,,
minoraverages/1916Reach,1915,New England League,cabrera,B01108,Cabrera,,0,Worcester,,,34,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,cabrera,F20463,Cabrera,,0,Worcester,,,,,,,,31,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,B00806,Campbell,,1,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,B00806,Campbell,,2,Worcester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,B00806,Campbell,,3,Manchester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,B00806,Campbell,,T,,,,66,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,F20240,Campbell,,1,Fitchburg,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,F20240,Campbell,,2,Worcester,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,F20240,Campbell,,3,Manchester,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,F20240,Campbell,,T,,,,,,,47,,,,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,F20924,Campbell,,1,Fitchburg,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,F20924,Campbell,,2,Worcester,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,F20924,Campbell,,3,Manchester,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,New England League,campbell,F20924,Campbell,,T,,,,,,,,,,20,,,,,,
minoraverages/1916Reach,1915,New England League,carroll,B00973,Carroll,,0,Worcester,,,110,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,carroll,F20855,Carroll,,0,Worcester,,,,,,,,,47,,,,,,
minoraverages/1916Reach,1915,New England League,carroll,F21000,Carroll,,0,Worcester,,,,,,,,,,,,,57,,
minoraverages/1916Reach,1915,New England League,clancy,B00450,Clancy,,1,Portland,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clancy,B00450,Clancy,,2,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clancy,B00450,Clancy,,T,,,,69,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clancy,F20254,Clancy,,1,Portland,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clancy,F20254,Clancy,,2,Fitchburg,,,,,,yes,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clancy,F20254,Clancy,,T,,,,,,,35,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clancy,F20458,Clancy,,0,Portland,,,,,,,,22,,,,,,,
minoraverages/1916Reach,1915,New England League,clay,B00241,Clay,,1,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clay,B00241,Clay,,2,Worcester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clay,B00241,Clay,,T,,,,22,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clay,F20685,Clay,,1,Fitchburg,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,New England League,clay,F20685,Clay,,2,Worcester,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,New England League,clay,F20685,Clay,,T,,,,,,,,,,20,,,,,,
minoraverages/1916Reach,1915,New England League,clemens,B00117,Clemens,,0,Portland,,,122,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,clemens,F20648,Clemens,,0,Portland,,,,,,,,,122,,,,,,
minoraverages/1916Reach,1915,New England League,collins,B00912,Collins,,1,Worcester,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,collins,B00912,Collins,,2,Fitchburg,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,collins,B00912,Collins,,T,,,,30,,,,,,,,,,,,
minoraverages/1916Reach,1915,New England League,collins,F20878,Collins,,1,Worcester,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,New England League,collins,F20878,Collins,,2,Fitchburg,,,,,,,,,yes,,,,,,
