source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,New York State League,adams,B01010,Adams,,0,Binghamton,,,6,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,ahearn,B01269,Ahearn,,0,Utica,,,7,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,ahearn,F21381,Ahearn,,0,Utica,,,,,,,,,,,,,7,,
minoraverages/1916Reach,1915,New York State League,ahles,B00904,Ahles,,0,Utica,,,34,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,ahles,F21416,Ahles,,0,Utica,,,,,,,,,,,,,34,,
minoraverages/1916Reach,1915,New York State League,ash,B01007,Ash,,0,Troy,,,8,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,ash,F20425,Ash,,0,Troy,,,,,8,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,barberich,B01242,Barberich,,0,Syracuse,,,8,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,barberich,F20810,Barberich,,0,Syracuse,,,,,,,,,,,,,,8,
minoraverages/1916Reach,1915,New York State League,barberich,P10024,Barberich,,0,Syracuse,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,baxter-alb,B00638,Baxter,,0,Albany,,,40,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,baxter-wb,B00973,Baxter,,0,Wilkes-Barre,,,72,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,baxter-alb,F20673,Baxter,,0,Albany,,,,,,,,40,,,,,,,
minoraverages/1916Reach,1915,New York State League,baxter-wb,F20737,Baxter,,0,Wilkes-Barre,,,,,,,,72,,,,,,,
minoraverages/1916Reach,1915,New York State League,becker,B01093,Becker,,0,Binghamton,,,10,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,becker,F20342,Becker,,0,Binghamton,,,,,,,,,10,,,,,,
minoraverages/1916Reach,1915,New York State League,bell,B01124,Bell,,0,Syracuse,,,8,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,bell,F21117,Bell,,0,Syracuse,,,,,,,,,,,,,,8,
minoraverages/1916Reach,1915,New York State League,bell,P10192,Bell,,0,Syracuse,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,bemis,F21255,Bemis,,0,Elmira,,,,,,,,,,,,,81,,
minoraverages/1916Reach,1915,New York State League,blake,B00229,Blake,,0,Binghamton,,,34,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,blake,F20211,Blake,,0,Binghamton,,,,,,,,,34,,,,,,
minoraverages/1916Reach,1915,New York State League,brackett,B00335,Brackett,,0,Albany,,,120,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,brackett,F20265,Brackett,,0,Albany,,,,,,,,,120,,,,,,
minoraverages/1916Reach,1915,New York State League,breckenridge,B00667,Breckenridge,,0,Troy,,,91,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,breckenridge,F20303,Breckenridge,,0,Troy,,,,,,,,,91,,,,,,
minoraverages/1916Reach,1915,New York State League,bretskie,B01181,Bretskie,,0,Wilkes-Barre,,,29,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,bretskie,F21059,Bretskie,,0,Wilkes-Barre,,,,,,,,,,,,,,29,
minoraverages/1916Reach,1915,New York State League,bretskie,P10361,Bretskie,,0,Wilkes-Barre,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,brieger,B00531,Brieger,,0,Wilkes-Barre,,,59,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,brieger,F21264,Brieger,,0,Wilkes-Barre,,,,,,,,,,,,,59,,
minoraverages/1916Reach,1915,New York State League,brower,B00182,Brower,,0,Utica,,,46,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,brower,F20943,Brower,,0,Utica,,,,,,,,,,,,,,46,
minoraverages/1916Reach,1915,New York State League,brower,P10159,Brower,,0,Utica,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,brown,B00502,Brown,,0,Wilkes-Barre,,,116,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,brown,F20080,Brown,,0,Wilkes-Barre,,,,,,,,,116,,,,,,
minoraverages/1916Reach,1915,New York State League,bruggy,B00196,Bruggy,,0,Troy,,,54,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,bruggy,F20463,Bruggy,,0,Troy,,,,,54,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,buck,B00747,Buck,,0,Utica,,,21,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,buck,F21076,Buck,,0,Utica,,,,,,,,,,,,,,21,
minoraverages/1916Reach,1915,New York State League,buck,P10168,Buck,,0,Utica,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,buckles,B00833,Buckles,,0,Troy,,,39,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,buckles,F20893,Buckles,,0,Troy,,,,,,,,,,,,,,39,
minoraverages/1916Reach,1915,New York State League,buckles,P10081,Buckles,,0,Troy,,,,,,,,,,,,,,,
