source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,North Carolina State League,,B00045,Anderson,,0,Charlotte,45,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20458,Anderson,,0,Charlotte,,,,,,45,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B01007,Angier,,0,Durham,101,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20552,Angier,,0,Durham,,,,,,,101,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B01064,Atkinson,A. B.,0,Durham,32,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F21000,Atkinson,A. B.,0,Durham,,,,,,,,,,,,32,
minoraverages/1916Reach,1915,North Carolina State League,,P10176,Atkinson,,0,Durham,,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00037,Barber,,0,Winston-Salem,92,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20673,Barber,,0,Winston-Salem,,,,,,,92,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B01055,Baumgartner,,0,Winston-Salem,39,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20956,Baumgartner,,0,Winston-Salem,,,,,,,,,,,,39,
minoraverages/1916Reach,1915,North Carolina State League,,P10168,Baumgartner,,0,Winston-Salem,,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00771,Boggess,,0,Winston-Salem,40,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20067,Boggess,,0,Winston-Salem,,,39,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00920,Boyle,,0,Durham,68,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F21207,Boyle,,0,Durham,,,,,,,,,,,71,,
minoraverages/1916Reach,1915,North Carolina State League,,B00278,Bradshaw,,0,Asheville,122,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20177,Bradshaw,,0,Asheville,,,,69,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20474,Bradshaw,,0,Asheville,,,,,,56,,,,,,,
