source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,Pacific Coast League,ables,F21308,Ables,,1,Oakland,,,,,,,,,,,,,,yes,
minoraverages/1916Reach,1915,Pacific Coast League,ables,F21308,Ables,,2,San Francisco,,,,,,,,,,,,,,yes,
minoraverages/1916Reach,1915,Pacific Coast League,ables,F21308,Ables,,T,,,,,,,,,,,,,,,36,
minoraverages/1916Reach,1915,Pacific Coast League,ables,P10493,Ables,,0,Oakland,,,,36,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,ables,P10930,Ables,,1,Oakland,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,ables,P10930,Ables,,2,San Francisco,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,ables,P10930,Ables,,T,,,,,36,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,allen,B01359,Allen,,0,San Francisco,,,36,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,autrey,B00264,Autrey,,0,San Francisco,,,14,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,autrey,F20014,Autrey,,0,San Francisco,,,,,14,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,barbour,F20449,Barbeur,,0,Salt Lake,,,,,,,86,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,barbour,B00397,Bariores,,0,Salt Lake,,,86,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,bassler,B00416,Bassler,,0,Los Angeles,,,48,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,bassler,F21531,Bassler,,0,Los Angeles,,,,,,,,,,,,,37,,
minoraverages/1916Reach,1915,Pacific Coast League,bates,B00286,Bates,,0,Portland,,,164,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,bates,F20128,Bates,,0,Portland,,,,,19,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,bates,F20375,Bates,,0,Portland,,,,,,,144,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,beatty,B01010,Batty,,0,San Francisco,,,43,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,baum,B01216,Baum,,0,San Francisco,,,54,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,baum,F21013,Baum,,0,San Francisco,,,,,,,,,,,,,,54,
minoraverages/1916Reach,1915,Pacific Coast League,baum,P10056,Baum,,0,San Francisco,,,,55,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,baum,P10622,Baum,,0,San Francisco,,,,55,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,bayless,B00528,Bayless,,0,Vernon,,,173,,,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,bayless,F20685,Bayless,,0,Vernon,,,,,,,,,173,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,beatty,F20051,Beatty,,1,Los Angeles,,,,,yes,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,beatty,F20051,Beatty,,2,San Francisco,,,,,yes,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,beatty,F20051,Beatty,,T,,,,,,43,,,,,,,,,,
minoraverages/1916Reach,1915,Pacific Coast League,beer,B00957,Beer,,0,Oakland,,,26,,,,,,,,,,,,
