source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1915/1915-AJ,1915,Rio Grande Association,andrada,P2302455,Andrada,,,Tucson,19150518,19150530,5,4,0,0,0,0,0,0,0,0,0,4,
boxscores/1915/1915-AJ,1915,Rio Grande Association,andrada,P5075830,Andrada,,,Phoenix,19150623,19150627,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1915/1915-AR,1915,Rio Grande Association,andrada,P0795774,Andrada,,,Phoenix,19150623,19150627,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1915/1915-AR,1915,Rio Grande Association,andrada,P8839423,Andrada,,,Tucson,19150430,19150530,6,6,0,0,0,0,0,0,0,0,0,6,
boxscores/1915/1915-EPH,1915,Rio Grande Association,andrada,P3841545,Andrada,,,Tucson,19150505,19150531,9,5,0,0,0,0,3,0,1,2,0,5,
boxscores/1915/1915-EPH,1915,Rio Grande Association,andrada,P5865800,Andrada,,,Phoenix,19150623,19150627,2,2,0,0,0,0,0,0,0,0,0,2,
minoraverages/Nemec,1915,Rio Grande Association,andrada,B00013,Andrada,,1,Tucson,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Rio Grande Association,andrada,B00013,Andrada,,2,Phoenix,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Rio Grande Association,andrada,B00013,Andrada,,T,,,,12,,,,,,yes,,,,,yes,
minoraverages/Nemec,1915,Rio Grande Association,andrada,P10019,Andrada,,1,Tucson,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Rio Grande Association,andrada,P10019,Andrada,,2,Phoenix,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Rio Grande Association,andrada,P10019,Andrada,,T,,,,,8,,,,,,,,,,,
researchers/morris,1915,Rio Grande Association,,VQMXXCN,Andrada,Frank,,Tucson,,,,,,,,,,,,,,,
boxscores/1915/1915-EPH,1915,Rio Grande Association,andrada,P8314509,Andrade,,,Tucson,19150430,19150430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-AJ,1915,Rio Grande Association,andrada,P2957829,Andrado,,,Tucson,19150430,19150430,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-AJ,1915,Rio Grande Association,andrada,P6321985,Andrana,,,Tucson,19150505,19150505,1,1,0,0,0,0,0,0,0,0,0,1,
minoraverages/Nemec,1915,Rio Grande Association,archibald,B00021,Archibald,,0,Tucson,,,1,,,,,,yes,,,,,,
boxscores/1915/1915-AR,1915,Rio Grande Association,archibald,P7158748,Archibold,,,Tucson,19150625,19150625,1,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1915/1915-EPH,1915,Rio Grande Association,archibald,P4469606,Archibold,,,Tucson,19150625,19150625,1,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1915/1915-AJ,1915,Rio Grande Association,armstrong,P9569489,Armstrong,,,El Paso,19150511,19150516,2,2,0,0,0,0,0,0,0,0,0,2,
