source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,Texas League,,B01384,Abrogast,,0,,,,10,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20776,Abrogast,,0,,,,,,,,,,,,,,9,,
minoraverages/1916Reach,1915,Texas League,,B00948,Allen,,0,,,,92,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B01162,Allen,L.,0,,,,20,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B01431,Allen,R.,0,,,,38,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20391,Allen,,0,,,,,,,,,,,,,,,38,
minoraverages/1916Reach,1915,Texas League,,F20657,Allen,,0,,,,,,,,,,,,,,89,,
minoraverages/1916Reach,1915,Texas League,,F21783,Allen,L.,0,,,,,,,,,,,,15,,,,
minoraverages/1916Reach,1915,Texas League,,P10228,Allen,,0,,,,,38,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B00794,Ashton,,0,,,,25,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20240,Ashton,,0,,,,,,,,,,,,,,,25,
minoraverages/1916Reach,1915,Texas League,,P10266,Ashton,,0,,,,,25,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B00255,Atz,,0,,,,156,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20962,Atz,,0,,,,,,,156,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B00638,Baerwald,,0,,,,121,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21840,Baerwald,,0,,,,,,,,,,,84,,,,,
minoraverages/1916Reach,1915,Texas League,,F21553,Baggan,,0,,,,,,,,,,,,,24,,,
minoraverages/1916Reach,1915,Texas League,,F21854,Baggan,,0,,,,,,,,,,,127,,,,,
minoraverages/1916Reach,1915,Texas League,,B00488,Balenti,,0,,,,148,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21356,Balenti,,0,,,,,,,,,148,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B01108,Barfoot,,0,,,,41,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20211,Barfoot,,0,,,,,,,,,,,,,,,37,
minoraverages/1916Reach,1915,Texas League,,P10290,Barfoot,,0,,,,,36,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B00232,Barr,,0,,,,142,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21045,Barr,,0,,,,,,,17,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21149,Barr,,0,,,,,,,,8,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21672,Barr,,0,,,,,,,,,,,,30,,,,
minoraverages/1916Reach,1915,Texas League,,F21961,Barr,,0,,,,,,,,,,,85,,,,,
minoraverages/1916Reach,1915,Texas League,,F21577,Bearwald,,0,,,,,,,,,,,,,37,,,
minoraverages/1916Reach,1915,Texas League,,B00381,Becker,,0,,,,132,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21566,Becker,,0,,,,,,,,,,,,,81,,,
minoraverages/1916Reach,1915,Texas League,,F21651,Becker,,0,,,,,,,,,,,,50,,,,
minoraverages/1916Reach,1915,Texas League,,B00397,Betts,,0,,,,68,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20768,Betts,,0,,,,,,,,,,,,,,48,,
minoraverages/1916Reach,1915,Texas League,,F21589,Betts,,0,,,,,,,,,,,,,20,,,
minoraverages/1916Reach,1915,Texas League,,B00747,Birch,,0,,,,121,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20375,Birch,,0,,,,,,,,,,,,,,,5,
minoraverages/1916Reach,1915,Texas League,,F20807,Birch,,0,,,,,,12,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21130,Birch,,0,,,,,,,,6,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B00450,Bobo,,0,,,,124,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21324,Bobo,,0,,,,,,,,,11,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20737,Boland,,0,,,,,,,,,,,,,,71,,
minoraverages/1916Reach,1915,Texas League,,B01466,Bono,,0,,,,27,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20401,Bono,,0,,,,,,,,,,,,,,,27,
minoraverages/1916Reach,1915,Texas League,,P10373,Bono,,0,,,,,27,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F22012,Bouden,,0,,,,,,,,,,,6,,,,,
minoraverages/1916Reach,1915,Texas League,,B01234,Bowden,,0,,,,7,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B01376,Brady,,0,,,,98,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20449,Brady,,0,,,,,,,,,,,,,,,40,
minoraverages/1916Reach,1915,Texas League,,P10137,Brady,,0,,,,,40,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B01086,Brant,,0,,,,37,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20417,Brant,,0,,,,,,,,,,,,,,,37,
minoraverages/1916Reach,1915,Texas League,,P10312,Brant,,0,,,,,38,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B00783,Breaux,,0,,,,26,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21999,Breaux,,0,,,,,,,,,,,9,,,,,
minoraverages/1916Reach,1915,Texas League,,B01275,Browning,,0,,,,13,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20233,Browning,,0,,,,,,,,,,,,,,,12,
minoraverages/1916Reach,1915,Texas League,,P10399,Browning,,0,,,,,12,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B00822,Brownlow,,0,,,,146,,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21174,Brownlow,,0,,,,,,,,87,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F21293,Brownlow,,0,,,,,,,,,57,,,,,,,
minoraverages/1916Reach,1915,Texas League,,F20594,Burch,,0,,,,,,,,,,,,,,97,,
minoraverages/1916Reach,1915,Texas League,,P10588,Burch,,0,,,,,6,,,,,,,,,,,
minoraverages/1916Reach,1915,Texas League,,B01546,Burmeister,,0,,,,6,,,,,,,,,,,,
