source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1915/1915-SL,1915,Western League,agnew,P7590519,Agnew,,,St. Joseph,19150424,19150426,3,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1915/1915-SL,1915,Western League,aldridge,P7042599,Aldridge,,,Denver,19150424,19150424,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-SL,1915,Western League,altman,P8240504,Alteman,,,Lincoln,19150428,19150428,1,0,0,0,0,0,1,0,1,0,0,0,
boxscores/1915/1915-SL,1915,Western League,altman,P1851923,Altman,,,Lincoln,19150427,19150429,2,0,0,0,0,0,1,0,1,0,0,0,
minoraverages/1916Reach,1915,Western League,arellanes,B01428,Arellanes,,0,Denver,,,16,,,,,,,,,,,,
minoraverages/1916Reach,1915,Western League,arellanes,F21286,Arellanes,,0,Denver,,,,,,,,,,,,,,16,
minoraverages/1916Reach,1915,Western League,arellanes,P10503,Arellanes,,0,Denver,,,,16,,,,,,,,,,,
boxscores/1915/1915-SL,1915,Western League,baker-wic+dm,P2276757,Baker,,,Wichita,19150423,19150428,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1915/1915-SL,1915,Western League,baker-sj,P5471466,Baker,,,St. Joseph,19150424,19150428,3,2,0,0,0,0,0,0,0,0,0,2,
minoraverages/1916Reach,1915,Western League,baker-wic+dm,B01359,Baker,,0,Des Moines,,,34,,,,,,,,,,,,
minoraverages/1916Reach,1915,Western League,baker-wic+dm,F21475,Baker,,1,Des Moines,,,,,,,,,,,,,,yes,
minoraverages/1916Reach,1915,Western League,baker-wic+dm,F21475,Baker,,2,Wichita,,,,,,,,,,,,,,yes,
minoraverages/1916Reach,1915,Western League,baker-wic+dm,F21475,Baker,,T,,,,,,,,,,,,,,,33,
minoraverages/1916Reach,1915,Western League,baker-wic+dm,P10478,Baker,,1,Wichita,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Western League,baker-wic+dm,P10478,Baker,,2,Des Moines,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Western League,baker-wic+dm,P10478,Baker,,T,,,,,34,,,,,,,,,,,
minoraverages/1916Reach,1915,Western League,bennett,B00427,Bennett,,0,Wichita,,,54,,,,,,,,,,,,
