source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1917Reach,1916,American Association,acosta,B00651,Acosta,,0,Minneapolis,,,122,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,acosta,F21021,Acosta,,0,Minneapolis,,,,,,,,,122,,,,,,
minoraverages/1917Reach,1916,American Association,adams,B01466,Adams,,0,Toledo,,,35,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,adams,F21434,Adams,,0,Toledo,,,,,,,,,,,,,,33,
minoraverages/1917Reach,1916,American Association,adams,P10542,Adams,,0,Toledo,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,adams,P11095,Adams,C.,0,Toledo,,,,33,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,aitchison,P10687,Aitchison,R.,0,Milwaukee,,,,7,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,aldridge,B00528,Aldridge,,0,Indianapolis,,,35,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,aldridge,F21427,Aldridge,,0,Indianapolis,,,,,,,,,,,,,,35,
minoraverages/1917Reach,1916,American Association,aldridge,P10081,Aldridge,,0,Indianapolis,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,aldridge,P10894,Aldridge,,0,Indianapolis,,,,35,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,altizer,B00149,Altizer,,0,Minneapolis,,,164,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,altizer,F20131,Altizer,,0,Minneapolis,,,,,25,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,altizer,F20350,Altizer,,0,Minneapolis,,,,,,,55,,,,,,,,
minoraverages/1917Reach,1916,American Association,altizer,F21117,Altizer,,0,Minneapolis,,,,,,,,,73,,,,,,
minoraverages/1917Reach,1916,American Association,bailey-tol,B01477,Bailey,,0,Toledo,,,44,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bailey-tol,F21370,Bailey,,0,Toledo,,,,,,,,,,,,,,44,
minoraverages/1917Reach,1916,American Association,bailey-tol,P10429,Bailey,,0,Toledo,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bailey-tol,P11067,Bailey,W.,0,Toledo,,,,44,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bailey-col,P11391,Bailey,,0,Columbus,,,,2,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,barney,B00806,Barney,,0,Louisville,,,60,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,barney,F20768,Barney,,0,Louisville,,,,,,,,,52,,,,,,
minoraverages/1917Reach,1916,American Association,beall-mil,B00101,Beall,,0,Milwaukee,,,136,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,beall-tol,B00255,Beall,,0,Toledo,,,17,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,beall-tol,F20046,Beall,,0,Toledo,,,,,16,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,beall-mil,F20792,Beall,,0,Milwaukee,,,,,,,,,130,,,,,,
minoraverages/1917Reach,1916,American Association,beck,B01203,Beck,,0,Kansas City,,,20,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,beck,F20014,Beck,,0,Kansas City,,,,,18,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,becker,B00021,Becker,,0,Kansas City,,,153,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,becker,F20970,Becker,,0,Kansas City,,,,,,,,,152,,,,,,
minoraverages/1917Reach,1916,American Association,bedient,P10244,Bedient,,0,Toledo,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bedient,P11046,Bedient,H.,0,Toledo,,,,49,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,benson,B00920,Benson,,0,Milwaukee,,,154,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,benson,F20265,Benson,,0,Milwaukee,,,,,,152,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bentley,B00117,Bentley,,0,Minneapolis,,,36,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bentley,F21739,Bentley,,0,Minneapolis,,,,,,,,,,,,,,19,
minoraverages/1917Reach,1916,American Association,bentley,P10503,Bentley,,0,Minneapolis,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bentley,P10818,Bentley,,0,Minneapolis,,,,21,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,benton,P11350,Benton,,1,Milwaukee,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,benton,P11350,Benton,,2,St. Paul,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,benton,P11350,Benton,,T,,,,,6,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,berghammer,B00531,Berghammer,,0,St. Paul,,,140,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,berghammer,F20287,Berghammer,,0,St. Paul,,,,,,15,,,,,,,,,
minoraverages/1917Reach,1916,American Association,berghammer,F20518,Berghammer,,0,St. Paul,,,,,,,,124,,,,,,,
minoraverages/1917Reach,1916,American Association,berry,B01143,Berry,,0,Kansas City,,,122,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,berry,F20699,Berry,,0,Kansas City,,,,,,,,,,,,,117,,
minoraverages/1917Reach,1916,American Association,billings,B00957,Billings,,0,Louisville,,,49,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,billings,F20583,Billings,,0,Louisville,,,,,,,,,,,,,47,,
minoraverages/1917Reach,1916,American Association,block,B01288,Block,,0,Milwaukee,,,28,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,blodgett,B01630,Blodgett,,0,Columbus,,,31,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,blodgett,F21651,Blodgett,,0,Columbus,,,,,,,,,,,,,,31,
minoraverages/1917Reach,1916,American Association,blodgett,P10202,Blodgett,,0,Columbus,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,blodgett,P11144,Blodgett,,0,Columbus,,,,31,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bluejacket,P11233,Bluejacket,,0,Milwaukee,,,,3,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,boardman,P11417,Boardman,,0,St. Paul,,,,1,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bowman,P11388,Bowman,,0,Toledo,,,,2,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bradley,B00726,Bradley,H.,0,Columbus,,,146,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bradley,F20023,Bradley,H.,0,Columbus,,,,,145,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,brady,B01032,Brady,,0,Columbus,,,27,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,brady,F21672,Brady,,0,Columbus,,,,,,,,,,,,,,27,
minoraverages/1917Reach,1916,American Association,brady,P10399,Brady,,0,Columbus,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,brady,P11038,Brady,N.,0,Columbus,,,,27,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bratchi,B01275,Bratchi,,0,Columbus,,,55,,,,,,,,,,,,
minoraverages/1917Reach,1916,American Association,bratchi,F21149,Bratchi,,0,Columbus,,,,,,,,,54,,,,,,
minoraverages/1917Reach,1916,American Association,bresnahan,B00840,Bresnahan,,0,Toledo,,,44,,,,,,,,,,,,
