source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1917Reach,1916,Northwestern League,,B00638,Acosta,,0,Vancouver,,,51,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F21013,Acosta,,0,Vancouver,,,,,,,,,,,,,,37,
minoraverages/1917Reach,1916,Northwestern League,,P10244,Acosta,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,P10373,Alexander,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00623,Altman,,0,Butte,,,31,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20832,Altman,,1,Butte,,,,,,,,,,,,,yes,,
minoraverages/1917Reach,1916,Northwestern League,,F20832,Altman,,2,Vancouver,,,,,,,,,,,,,yes,,
minoraverages/1917Reach,1916,Northwestern League,,F20832,Altman,,T,,,,,,,,,,,,,,24,,
minoraverages/1917Reach,1916,Northwestern League,,B00614,Baldwin,,0,Tacoma,,,47,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20943,Baldwin,,0,Tacoma,,,,,,,,,,,,,49,,
minoraverages/1917Reach,1916,Northwestern League,,B00646,Bankhead,,1,Butte,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00646,Bankhead,,2,Tacoma,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00646,Bankhead,,T,,,,79,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20526,Bankhead,,1,Butte,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20526,Bankhead,,2,Great Falls,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20526,Bankhead,,3,Tacoma,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20526,Bankhead,,T,,,,,,,,,,82,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00904,Barham,,0,Vancouver,,,23,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F21255,Barham,,0,Vancouver,,,,,,,,,,,,,,23,
minoraverages/1917Reach,1916,Northwestern League,,P10357,Barham,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00879,Bartholomey,,0,Tacoma,,,57,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20878,Bartholomey,,0,Tacoma,,,,,,,,,,,,,57,,
minoraverages/1917Reach,1916,Northwestern League,,B00264,Bennett,,0,Great Falls,,,121,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20211,Bennett,,0,Great Falls,,,,,,118,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00084,Bigbee,,0,Tacoma,,,111,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20612,Bigbee,,0,Tacoma,,,,,,,,,111,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00174,Boeckel,,0,Great Falls,,,60,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20287,Boeckel,,0,Great Falls,,,,,,,64,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00362,Bohne,,0,Tacoma,,,122,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20391,Bohne,,0,Tacoma,,,,,,,,127,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B01064,Bonner,,0,Tacoma,,,30,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,P10289,Bonner,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00182,Brinker,,0,Vancouver,,,125,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20604,Brinker,,0,Vancouver,,,,,,,,,127,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00833,Brooks,,0,Seattle,,,14,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20080,Brooks,,0,Seattle,,,,,14,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00343,Brown,,0,Vancouver,,,130,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B01078,Brown,Bob,0,Vancouver,,,26,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20206,Brown,,0,Vancouver,,,,,,131,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20417,Brown,Bob,0,Vancouver,,,,,,,,13,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,P10361,Browning,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00887,Cadman,,0,Seattle,,,89,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20810,Cadman,,0,Seattle,,,,,,,,,,,,,87,,
minoraverages/1917Reach,1916,Northwestern League,,B00577,Callahan,,0,Vancouver,,,68,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20648,Callahan,,0,Vancouver,,,,,,,,,31,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F21084,Callahan,,0,Vancouver,,,,,,,,,,,,,,24,
minoraverages/1917Reach,1916,Northwestern League,,P10312,Callahan,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00092,Calvo,,0,Vancouver,,,104,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20547,Calvo,,0,Vancouver,,,,,,,,,108,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00286,Carman,,0,Tacoma,,,51,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20023,Carman,,0,Tacoma,,,,,10,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20713,Carman,,0,Tacoma,,,,,,,,,42,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00854,Check,,0,Great Falls,,,51,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00806,Cheek,,0,Vancouver,,,110,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20864,Cheek,,0,Vancouver,,,,,,,,,,,,,98,,
minoraverages/1917Reach,1916,Northwestern League,,F20303,Chick,,0,Great Falls,,,,,,,51,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00739,Clark,,0,Great Falls,,,41,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F21125,Clark,,0,Great Falls,,,,,,,,,,,,,,24,
minoraverages/1917Reach,1916,Northwestern League,,P10215,Clark,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00356,Coltrin,,0,Spokane,,,99,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20240,Coltrin,,0,Spokane,,,,,,,76,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20463,Coltrin,,0,Spokane,,,,,,,,21,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00589,Connelly,,0,Tacoma,,,32,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20518,Connolly,,0,Tacoma,,,,,,,,,29,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00207,Crisp,,0,Great Falls,,,28,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20855,Crisp,,0,Great Falls,,,,,,,,,,,,,23,,
minoraverages/1917Reach,1916,Northwestern League,,B00528,Cunningham,W.,0,Seattle,,,119,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00680,Cunningham,T.,0,Seattle,,,50,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20560,Cunningham,,0,Seattle,,,,,,,,,122,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20919,Cunningham,T.,0,Seattle,,,,,,,,,,,,,45,,
minoraverages/1917Reach,1916,Northwestern League,,B00961,Eastley,,0,Seattle,,,30,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F21076,Eastley,,0,Seattle,,,,,,,,,,,,,,28,
minoraverages/1917Reach,1916,Northwestern League,,P10081,Eastley,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00125,Eldred,,0,Seattle,,,92,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20699,Eldred,,0,Seattle,,,,,,,,,90,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F21059,Engle,,0,Great Falls,,,,,,,,,,,,,,10,
minoraverages/1917Reach,1916,Northwestern League,,P10410,Engle,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00308,Evans,,0,Spokane,,,44,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F21158,Evans,,0,Spokane,,,,,,,,,,,,,,33,
minoraverages/1917Reach,1916,Northwestern League,,P10043,Evans,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00163,Fitzsimmons,,0,Butte,,,126,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20388,Fitzsimmons,,1,Vancouver,,,,,,,,yes,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20388,Fitzsimmons,,2,Butte,,,,,,,,yes,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20388,Fitzsimmons,,T,,,,,,,,,128,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20144,Follman,,0,Vancouver,,,,,28,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20768,Follman,,0,Vancouver,,,,,,,,,22,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20893,Follman,,0,Vancouver,,,,,,,,,,,,,31,,
minoraverages/1917Reach,1916,Northwestern League,,B00747,Folman,,0,Vancouver,,,89,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00278,Fries,,0,Spokane,,,119,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20657,Fries,,1,Tacoma,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20657,Fries,,2,Spokane,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20657,Fries,,T,,,,,,,,,,117,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00037,Gharrity,,0,Great Falls,,,35,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20474,Gharrity,,0,Great Falls,,,,,,,,14,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20496,Gharrity,,0,Great Falls,,,,,,,,,22,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00672,Giddings,,0,Seattle,,,107,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20046,Giddings,,1,Vancouver,,,,,yes,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20046,Giddings,,2,Seattle,,,,,yes,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20046,Giddings,,T,,,,,,90,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00370,Gislason,,0,Spokane,,,108,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20189,Gislason,,0,Spokane,,,,,,115,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,P10121,Glavenich,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00076,Grover,,0,Butte,,,126,,,,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,F20177,Grover,,0,Butte,,,,,,126,,,,,,,,,
minoraverages/1917Reach,1916,Northwestern League,,B00442,Guigni,,0,Spokane,,,81,,,,,,,,,,,,
