source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1917Reach,1916,South Atlantic League,,B01170,Agnier,,1,Columbia,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B01170,Agnier,,2,Jacksonville,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B01170,Agnier,,T,,,,91,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B01275,Allen,,0,Jacksonville,,,16,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F21196,Allen,,0,Jacksonville,,,,,,,,,,,,,,15,
minoraverages/1917Reach,1916,South Atlantic League,,P10432,Allen,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F20886,Angier,,1,Columbia,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F20886,Angier,,2,Jacksonville,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F20886,Angier,,T,,,,,,,,,,85,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B01291,Atkinson,,0,Columbia,,,39,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F21229,Atkinson,,0,Columbia,,,,,,,,,,,,,,34,
minoraverages/1917Reach,1916,South Atlantic League,,P10159,Atkinson,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B00241,Baker,O.,0,Albany,,,23,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B00356,Baker,H.,0,Jacksonville,,,121,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F21381,Baker,O.,0,Albany,,,,,,,,,,,,,,19,
minoraverages/1917Reach,1916,South Atlantic League,,F21695,Baker,H.,0,Jacksonville,,,,,,,,,,,,,119,,
minoraverages/1917Reach,1916,South Atlantic League,,P10336,Baker,O.,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B01162,Baumgardner,,0,Macon,,,29,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,P10493,Baumgardner,,0,all,,,,,,,,,,,,,,,
researchers/blau,1916,South Atlantic League,,DCFBFSC,Baumgartner,Harry,,Macon,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B01415,Beers,,0,Charleston,,,13,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F21651,Beers,,0,Charleston,,,,,,,,,,,,,13,,
minoraverages/1917Reach,1916,South Atlantic League,,B00811,Biemiller,,0,Macon,,,42,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F20648,Biemiller,,0,Macon,,,,,,,,36,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B00854,Boland,,0,Macon,,,36,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F20316,Boland,,0,Macon,,,,,,34,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B00293,Bowden,,0,Montgomery,,,93,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F20924,Bowden,,0,Montgomery,,,,,,,,,74,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F21726,Bowden,,0,Montgomery,,,,,,,,,,,,,19,,
researchers/blau,1916,South Atlantic League,,WBZMDLD,Bowden,Tim,,Montgomery,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B00278,Bradshaw,,0,Columbia,,,37,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F20166,Bradshaw,,0,Columbia,,,,,,36,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B00695,Brannen,,1,Montgomery,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B00695,Brannen,,2,Columbia,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,B00695,Brannen,,T,,,,32,,,,,,,,,,,,
minoraverages/1917Reach,1916,South Atlantic League,,F21130,Brannen,,1,Montgomery,,,,,,,,,,,,,,yes,
minoraverages/1917Reach,1916,South Atlantic League,,F21130,Brannen,,2,Columbus,,,,,,,,,,,,,,yes,
minoraverages/1917Reach,1916,South Atlantic League,,F21130,Brannen,,T,,,,,,,,,,,,,,,17,
