source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1921Reach,1920,Michigan-Ontario League,,B01359,Allen,,0,Battle Creek,,,7,,,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F21196,Allen,,0,Battle Creek,,,,,,,,,,6,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,B00174,Anderson,,0,Flint,,,119,,,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F20046,Anderson,,0,Flint,,,,,119,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,B01444,Barnhaeft,,0,Kitchener,,,41,,,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,B00705,Beattie,,0,Kitchener,,,118,,,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F20023,Beattie,,0,Kitchener,,,,,118,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,B00488,Behan,,0,Hamilton,,,76,,,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F20496,Behan,,0,Hamilton,,,,,,,,41,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F20776,Behan,,0,Hamilton,,,,,,,8,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F22310,Behan,,0,Hamilton,,,,,,,,,,,,,,25,
minoraverages/1921Reach,1920,Michigan-Ontario League,,P10176,Behan,,0,Hamilton,,,,25,,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,B01156,Bippes,,0,Flint,,,15,,,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F20552,Bippes,,0,Flint,,,,,,,,15,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,B00229,Blake,,0,Hamilton,,,80,,,,,,,,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F21021,Blake,,0,Hamilton,,,,,,,,,,62,,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F21515,Blake,,0,Hamilton,,,,,,,,,,,7,,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,F21718,Blake,,0,Hamilton,,,,,,,,,,,,11,,,
minoraverages/1921Reach,1920,Michigan-Ontario League,,B00961,Bodecker,,0,Flint,,,51,,,,,,,,,,,,
