source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1921Reach,1920,Pacific Coast International League,,B00920,Abrams,,0,Tacoma,,,25,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20166,Abrams,,0,Tacoma,,,,,,,,,,,,,,25,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10192,Abrams,,0,Tacoma,,,,25,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01108,Alexander,,1,Seattle,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01108,Alexander,,2,Victoria,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01108,Alexander,,T,,,,9,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10062,Alexander,,1,Victoria,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10062,Alexander,,2,Seattle,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10062,Alexander,,T,,,,,9,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01523,Allamanda,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01538,Anderson,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10640,Anderson,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00308,Anfinson,,0,Tacoma,,,83,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20153,Anfinson,,0,Tacoma,,,,,,,,,,,,,,44,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20518,Anfinson,,0,Tacoma,,,,,,,,,,,,,44,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20784,Anfinson,,0,Tacoma,,,,,,17,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F21045,Anfinson,,0,Tacoma,,,,,,,,,11,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00416,Arnspiger,,0,Spokane,,,5,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00068,Barnabe,,0,Yakima,,,104,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20279,Barnabe,,0,Yakima,,,,,,,,,,,,,,8,
minoraverages/1921Reach,1920,Pacific Coast International League,,F21264,Barnabe,,0,Yakima,,,,,,,,,99,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10228,Barnabe,,0,Yakima,,,,8,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01345,Barr,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01291,Barton,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01203,Blankenship,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01250,Blossom,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10441,Blossom,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00324,Boelzle,,0,Seattle,,,95,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20474,Boelzle,,0,Seattle,,,,,,,,,,,,,91,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00117,Bourg,,0,Tacoma,,,94,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F21362,Bourg,,0,Tacoma,,,,,,,,,94,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01032,Brakke,,0,Tacoma,,,14,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20115,Brakke,,0,Tacoma,,,,,,,,,,,,,,14,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10277,Brakke,,0,Tacoma,,,,14,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01546,Brindza,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10622,Brindza,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01509,Brinker,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00207,Brown,,0,Victoria,,,113,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01490,Brown,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F21196,Brown,,0,Victoria,,,,,,,,,110,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00450,Cadman,,0,Yakima,,,113,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20449,Cadman,,0,Yakima,,,,,,,,,,,,,113,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00577,Callan,,0,Yakima,,,66,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F21370,Callan,,0,Yakima,,,,,,,,,65,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00961,Carden,,0,Spokane,,,9,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F21416,Carden,,0,Spokane,,,,,,,,,9,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00614,Carman,,0,Victoria,,,118,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00515,Church,,0,Victoria,,,120,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20864,Church,,0,Victoria,,,,,,,120,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01337,Coen,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00158,Cole,,0,Tacoma,,,48,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,F20177,Cole,,0,Tacoma,,,,,,,,,,,,,,32,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10035,Cole,,0,Tacoma,,,,32,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B01428,Collins,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,P10611,Collins,,0,,,,,,,,,,,,,,,,
minoraverages/1921Reach,1920,Pacific Coast International League,,B00381,Cook,,0,Yakima,,,6,,,,,,,,,,,,
